"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"q1_feedback","Integer","","Recommended","Do you think that this participant received the real feedback or the sham feedback treatment?","0;1;9","0 = Sham Feedback; 1 = Real Feedback; 9 = Uncertain",""
"q1a_ineffective","Integer","","Recommended","If you selected REAL FEEDBACK, or SHAM FEEDBACK, why do you think so?: It was ineffective","0::2","0 = No; 1 = Yes; 2 = Unsure",""
"q1b_effective","Integer","","Recommended","If you selected REAL FEEDBACK, or SHAM FEEDBACK, why do you think so?: It was effective","0::2","0 = No; 1 = Yes; 2 = Unsure",""
"q1c_aes","Integer","","Recommended","If you selected REAL FEEDBACK, or SHAM FEEDBACK, why do you think so?: It caused noticeable adverse events","0::2","0 = No; 1 = Yes; 2 = Unsure",""
"q1d_other","Integer","","Recommended","If you selected REAL FEEDBACK, or SHAM FEEDBACK, why do you think so?: Other (please specify in comments","0::2","0 = No; 1 = Yes; 2 = Unsure",""
"q2_confidence","Integer","","Recommended","If you selected REAL FEEDBACK, or SHAM FEEDBACK, how certain are you of your guess in question 1?","0::2","0 = Not very confident at all; 1 = Somewhat confident; 2 = Pretty confident",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"site","String","101","Recommended","Site","","Study Site",""
"session","Integer","","Recommended","Session","","",""
"validity","String","13","Recommended","Validity rating","Yes;No;Questionnable","",""
"resp_source","Integer","","Recommended","Respondent Source","1::6","1= subject; 2= parent; 3= clinician; 4= teacher; 5= trainer; 6= fidelity reviewer","source"
"rater","Integer","","Recommended","Blinded Rater","1::3;98","1 = Trainer; 2 = Investigator; 3 = Coordinator; 97 = Other Study Staff",""
"part_blinding","Integer","","Recommended","Participant Blinding: On a scale of 1 to 10, how sure is the participant that they received midazolam (1) or ketamine (10)?","1::10","1= Sure treatment was midazolam; 5= Neutral; 10= Sure treatment was ketamine",""
"invest_blinding","Integer","","Recommended","Investigator Blinding: On a scale of 1 to 10, how sure are you that the participant received midazolam (1) or ketamine (10)?","1::10","1= Sure treatment was midazolam; 5= Neutral; 10= Sure treatment was ketamine",""
