"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bmmr_01","Integer","","Recommended","I usually put background music on to make the atmosphere more pleasant","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_02","Integer","","Recommended","When I'm busy around the house and no one else is around, I like to have some music on the background","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_03","Integer","","Recommended","I listen to music to make cleaning and doing other housework more pleasant","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_04","Integer","","Recommended","I listen to music to perk up after a rough day","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_05","Integer","","Recommended","When I'm exhausted, I listen to music to perk up","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_06","Integer","","Recommended","When I'm tired out, I rest by listening to music","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_07","Integer","","Recommended","Music has offered me magnificent experiences","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_08","Integer","","Recommended","I want to feel the music in my whole body","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_09","Integer","","Recommended","I feel fantastic putting my soul fully into the music","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_10","Integer","","Recommended","For me, music is a way to forget about my worries","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_11","Integer","","Recommended","When stressful thoughts keep going round and round in my head, I start to listen to music to get them off my mind","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_12","Integer","","Recommended","When I feel bad, I try to get myself in a better mood by engaging in some nice, music-related activity","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_13","Integer","","Recommended","When I'm really angry, I feel like listening to some angry music","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_14","Integer","","Recommended","When everything feels bad, it helps me to listen to music that expresses my bad feelings","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_15","Integer","","Recommended","When I'm angry with someone, I listen to music that expresses my anger","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_16","Integer","","Recommended","Music helps me to understand different feelings in myself","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_17","Integer","","Recommended","Music has helped me to work through hard experiences","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_18","Integer","","Recommended","When I'm distressed by something, music helps me to clarify my feelings","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_19","Integer","","Recommended","When everything feels bad, music understands and comforts me","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_20","Integer","","Recommended","When I'm feeling sad, listening to music comforts me","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_21","Integer","","Recommended","I listen to music to find solace when worries overwhelm me","1::5","1 = Strongly Disagree; 2 = Disagree; 3 = Neither Agree nor Disagree; 4 = Agree; 5 = Strongly Agree",""
"bmmr_entertainment","Float","","Recommended","Brief Music in Mood Regulation - Entertainment subscore","1::5","Mean of items bmmr_01 through bmmr_03",""
"bmmr_revival","Float","","Recommended","Brief Music in Mood Regulation - Revival subscore","1::5","Mean of items bmmr_04 through bmmr_06",""
"bmmr_sensation","Float","","Recommended","Brief Music in Mood Regulation - Strong Sensation subscore","1::5","Mean of items bmmr_07 through bmmr_09",""
"bmmr_diversion","Float","","Recommended","Brief Music in Mood Regulation - Diversion subscore","1::5","Mean of items bmmr_10 through bmmr_12",""
"bmmr_discharge","Float","","Recommended","Brief Music in Mood Regulation - Discharge subscore","1::5","Mean of items bmmr_13 through bmmr_15",""
"bmmr_mental","Float","","Recommended","Brief Music in Mood Regulation - Mental Work subscore","1::5","Mean of items bmmr_16 through bmmr_18",""
"bmmr_solace","Float","","Recommended","Brief Music in Mood Regulation - Solace subscore","1::5","Mean of items bmmr_19 through bmmr_21",""
