"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"bpass01","Integer","","Required","1. Sociability with Peers","1;2;3;4;5;9","1 = Super-normal, above average, significantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 4 = Outside the normal range, definitely below average, or impaired; 5 = Far outside the normal range, well below average, or significantly impaired",""
"bpass02","Integer","","Required","2. Sociability in Groups","1;2;3;4;5;9","1 = Super-normal, above average, significantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 4 = Outside the normal range, definitely below average, or impaired; 5 = Far outside the normal range, well below average, or significantly impaired",""
"bpass03","Integer","","Recommended","3. Interests","1;2;3;4;5;9","1 = Supra-normal, above average, signi¿cantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 4 = Outside the normal range, de¿nitely below average, or impaired; 5 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass04","Integer","","Recommended","4. Flexibility in Schedule and Routine","1;2;3;4;5;9","1 = Supra-normal, above average, signi¿cantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 4 = Outside the normal range, de¿nitely below average, or impaired; 5 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass05","Integer","","Required","5. Flexibility in Physical Environment","1;2;3;4;5;9","1 = Super-normal, above average, significantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 4 = Outside the normal range, definitely below average, or impaired; 5 = Far outside the normal range, well below average, or significantly impaired",""
"bpass06","Integer","","Required","6. Anxiety","1;2;3;4;5;9","1 = Super-normal, above average, significantly better than most people; 2 = Normal, average, typical functioning for a person of that age and life circumstance; 3 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 4 = Outside the normal range, definitely below average, or impaired; 5 = Far outside the normal range, well below average, or significantly impaired",""
"bpass07","Integer","","Required","7. Sensitivity to Environment","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 3 = Outside the normal range, de¿nitely below average, or impaired; 4 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass08","Integer","","Required","8. Non-verbal: Eye Gaze","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 3 = Outside the normal range, de¿nitely below average, or impaired; 4 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass09","Integer","","Required","9. Social Smiling","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 3 = Outside the normal range, definitely below average, or impaired; 4 = Far outside the normal range, well below average, or significantly impaired",""
"bpass10","Integer","","Required","10. Facial Expressions","1;2;3;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 3 = Outside the normal range, definitely below average, or impaired; 4 = Far outside the normal range, well below average, or significantly impaired",""
"bpass11","Integer","","Required","11. Detail in Conversation","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 3 = Outside the normal range, de¿nitely below average, or impaired; 4 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass12","Integer","","Required","12. Sensitivity to Listener","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not signi¿cantly impaired; 3 = Outside the normal range, de¿nitely below average, or impaired; 4 = Far outside the normal range, well below average, or signi¿cantly impaired",""
"bpass13","Integer","","Required","13. Prosody","1;2;3;4;9","1 = Normal, average, typical functioning for a person of that age and life circumstance; 2 = On the lower end of the average range or somewhat lower than most people, but not significantly impaired; 3 = Outside the normal range, definitely below average, or impaired; 4 = Far outside the normal range, well below average, or significantly impaired",""
"bpsoc","Float","","Required","BPASS - Social Interest (mean items 1,2)","","",""
"bpexpr","Float","","Required","BPASS - Expressiveness (mean items 8,9,10,13","","",""
"bpconv","Float","","Required","BPASS - Conversational Skill (mean items 11,12)","","",""
"bprest","Float","","Required","BPASS - Restricted Interests (mean items 3,4,5)","","",""
