"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bsphs_1","Integer","","Recommended","I have difficulty in sharing my problems with a stranger even though he is a professional.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_2","Integer","","Recommended","I worry about being stigmatized as ''problematic'' and/or ''crazy'' if I seek psychological help.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_3","Integer","","Recommended","I don''t want to spend time seeking psychological help as it would take too long.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_4","Integer","","Recommended","I don''t trust professionals to keep my issues confidential.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_5","Integer","","Recommended","I feel ashamed to tell my problems to the professional giving psychological.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_6","Integer","","Recommended","I worry about what other people would think about me if I seek psychological help.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_7","Integer","","Recommended","I don''t know how to contact professionals who provide psychological help.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_8","Integer","","Recommended","I refuse to give information about my private problems (sex,  violence, etc.)","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_9","Integer","","Recommended","I worry about whether my friends would mock me if I seek psychological help.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_10","Integer","","Recommended","I don''t want to seek psychological help as places that provide such services are far away.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_11","Integer","","Recommended","I would feel weak if I told my problems to a professional.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_12","Integer","","Recommended","I worry that the professional wouldn''t understand me.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_13","Integer","","Recommended","My self-confidence might decrease if I seek psychological help.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_14","Integer","","Recommended","I don''t want to seek psychological help as it's not accepted as ''normal/ natural'' in the culture in which I grew up.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_15","Integer","","Recommended","I worry that if I take psychological help once, then I would need it whenever I have a problem.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_16","Integer","","Recommended","I worry about whether the professional would listen to me adequately.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
"bsphs_17","Integer","","Recommended","I worry that the professional would be insensitive to my problems, as s/he constantly meets people with similar problems.","1::5","1= Strongly Disgree; 2= Disagree; 3= Agree and Disagree Equally; 4= Agree; 5= Strongly Agree",""
