"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","medhx_guidid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","body_shape_questionnaire_bsq_timestamp"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","medhx_age_months"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"bsq1","Integer","","Recommended","Has feeling bored made you brood about your shape?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_01"
"bsq2","Integer","","Recommended","Have you been so worried about your shape that you have been feeling that you ought to diet?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_02,bsq_1"
"bsq3","Integer","","Recommended","Have you thought that your thighs, hips or bottom are too large for the rest of you?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_03"
"bsq4","Integer","","Recommended","Have you been afraid that you might become fat (or fatter)?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_04,bsq_2"
"bsq5","Integer","","Recommended","Have you worried about your flesh not being firm enough?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_05"
"bsq6","Integer","","Recommended","Has feeling full (e.g., after eating a large meal) made you feel fat?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_06,bsq_3"
"bsq7","Integer","","Recommended","Have you felt so bad about your shape that you have cried?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_07"
"bsq8","Integer","","Recommended","Have you avoided running because your flesh might wobble?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_08"
"bsq9","Integer","","Recommended","Has being with thin women made you feel self-conscious about your shape?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_09"
"bsq10","Integer","","Recommended","Have you worried about your thighs spreading out when sitting down?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_10"
"bsq11","Integer","","Recommended","Has eating even a small amount of food made you feel fat?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_11"
"bsq12","Integer","","Recommended","Have you noticed the shape of other women and felt that your own shape compared unfavorably?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_12,bsq_4"
"bsq13","Integer","","Recommended","Has thinking about your shape interfered with your ability to concentrate (e.g., while watching television, reading, listening to conversations)?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_13,bsq_5"
"bsq14","Integer","","Recommended","Has being naked, such as when you take a bath, made you feel fat?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_14,bsq_6"
"bsq15","Integer","","Recommended","Have you avoided wearing clothes which make you particularly aware of the shape of your body?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_15"
"bsq16","Integer","","Recommended","Have you imagined cutting off fleshy areas of your body?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_16,bsq_7"
"bsq17","Integer","","Recommended","Has eating sweets, or other high calorie foods made you feel fat?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_17"
"bsq18","Integer","","Recommended","Have you not gone out to social occasions (e.g., parties) because you have felt bad about your shape?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_18,bsq_8"
"bsq19","Integer","","Recommended","Have you felt excessively large and rounded?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_19,bsq_9"
"bsq20","Integer","","Recommended","Have you felt ashamed of your body?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_20"
"bsq21","Integer","","Recommended","Has worry about your shape made you diet?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_21"
"bsq22","Integer","","Recommended","Have you felt happiest about your shape when your stomach has been empty (e.g., in the morning)?","1::6","1 = Never; 2 = Rarely; 3 = Sometimes; 4 = Often; 5 = Very Often; 6 = Always","bsq_22"
