"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"bsri_1","Integer","","Recommended","Right now, I am reflecting about my mood.","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_2","Integer","","Recommended","Right now, I wonder why I react the way I do.","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_3","Integer","","Recommended","Right now, I wonder why I always feel the way I do.","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_4","Integer","","Recommended","Right now, I am thinking: ''why do I have problems other people don't have?''","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_5","Integer","","Recommended","Right now, I am rehashing in my mind recent things I've said or done.","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_6","Integer","","Recommended","Right now, I am thinking: ''why can't I handle things better?''","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_7","Integer","","Recommended","Right now, it is hard for me to shut off negative thoughts about myself.","0::100","0 = Completely disagree; 100 = Completely agree",""
"bsri_8","Integer","","Recommended","Right now, I wonder why I can't respond in a better way.","0::100","0 = Completely disagree; 100 = Completely agree",""
