"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","","tpid"
"session_id","String","20","Recommended","session ID/screening ID","","",""
"trtarm","String","200","Recommended","Treatment arm","","","random_group"
"sldc228","Integer","","Recommended","Suicidal Behavior: Ideation","0::2","No information=0, No=1, Yes=2","suicide"
"btb1","Integer","","Recommended","how serious is suicide ideation","0::8","0=Not Serious At All; 8=Most Serious",""
"btb2","Integer","","Recommended","level of anxiety","0::8","0=Not Anxious At All; 8=Most Anxious","anx"
"btb3","Integer","","Recommended","level of depression","0::8","0=Not Depression At All; 8=Most Depression","dep"
"btb9","String","100","Recommended","Number 1 Problem in Life","","","p1"
"btb10","String","100","Recommended","Number 2 Problem in Life","","","p2"
"btb11","String","100","Recommended","Number 3 Problem in Life","","","p3"
"btb4","Integer","","Recommended","Number 1 Problem in Life rating","0::8","0=Not Serious At All; 8=Most Serious",""
"btb5","Integer","","Recommended","Number 2 Problem in Life rating","0::8","0=Not Serious At All; 8=Most Serious",""
"btb6","Integer","","Recommended","Number 3 Problem in Life rating","0::8","0=Not Serious At All; 8=Most Serious",""
"btb7","Integer","","Recommended","What was the GAD-7 score obtained on the questionnaire?","","","gad7"
"btb8","Integer","","Recommended","What was the PHQ-9 score obtained on the questionnaire?","","","phq9"
"version_form","String","121","Recommended","Form used/assessment name","","","formid"
"genad1","Integer","","Recommended","Feeling nervous, anxious or on edge","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","nervous"
"genad2","Integer","","Recommended","Not being able to stop or control worrying","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","control_worrying"
"genad3","Integer","","Recommended","Worrying too much about different things","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","worrying_things"
"genad4","Integer","","Recommended","Trouble relaxing","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","trouble_relaxing"
"genad5","Integer","","Recommended","Being so restless that it's hard to sit still","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","restless"
"genad6","Integer","","Recommended","Becoming easily annoyed or irritated","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","irritated"
"genad7","Integer","","Recommended","Feeling afraid as if something awful might happen","0::3","0= Not at all; 1= Several days; 2= More than half the days; 3= Nearly every day","afraid"
"gad_total","Integer","","Recommended","GAD Score","","Total of GAD problems","score"
