"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","participantid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","bldatecomplete"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","guid_sex"
"byaacq01","Integer","","Recommended","While drinking, I have said or done embarrassing things.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq02","Integer","","Recommended","I have had a hangover (headache, sick stomach) the morning after I had been drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq03","Integer","","Recommended","I have felt very sick to my stomach or thrown up after drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq04","Integer","","Recommended","I often have ended up drinking on nights when I had planned not to drink.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq05","Integer","","Recommended","I have taken foolish risks when I have been drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq06","Integer","","Recommended","I have passed out from drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq07","Integer","","Recommended","I have found that I needed larger amounts of alcohol to feel any effect, or that I could no longer get high or drunk on the amount that used to get me high or drunk.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq08","Integer","","Recommended","When drinking, I have done impulsive things that I regretted later.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq09","Integer","","Recommended","I've not been able to remember large stretches of time while drinking heavily.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq10","Integer","","Recommended","I have driven a car when I knew I had too much to drink to drive safely.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq11","Integer","","Recommended","I have not gone to work or missed classes at school because of drinking, a hangover, or illness caused by drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq12","Integer","","Recommended","My drinking has gotten me into sexual situations I later regretted.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq13","Integer","","Recommended","I have often found it difficult to limit how much I drink.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq14","Integer","","Recommended","I have become very rude, obnoxious, or insulting after drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq15","Integer","","Recommended","I have woken up in an unexpected place after heavy drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq16","Integer","","Recommended","I have felt badly about myself because of my drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq17","Integer","","Recommended","I have had less energy or felt tired because of my drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq18","Integer","","Recommended","The quality of my work or schoolwork has suffered because of my drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq19","Integer","","Recommended","I have spent too much time drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq20","Integer","","Recommended","I have neglected my obligations to family, work or school because of drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq21","Integer","","Recommended","My drinking has created problems between myself and my boyfriend/girlfriend/spouse, parents, or other near relatives.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq22","Integer","","Recommended","I have been overweight because of drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq23","Integer","","Recommended","My physical appearance has been harmed by my drinking.","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq24","Integer","","Recommended","I have felt like I needed a drink after I'd gotten up (that is, before breakfast).","0::6","0=No or not in the past 3 months; 1=1-2 times; 2=3-4 times; 3=5-6 times; 4=7-8 times; 5=9-10 times; 6=11 or more times",""
"byaacq08yn","Integer","","Recommended","When drinking, I have done impulsive things that I regretted later.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","impulsive_byaacq,yaacq_29"
"byaacq09yn","Integer","","Recommended","I've not been able to remember large stretches of time while drinking heavily.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","amnesia_byaacq,yaacq_32"
"byaacq10yn","Integer","","Recommended","I have driven a car when I knew I had too much to drink to drive safely.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","driving_byaacq,yaacq_4"
"byaacq11yn","Integer","","Recommended","I have not gone to work or missed classes at school because of drinking, a hangover, or illness caused by drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","missing_school_work_byaacq,yaacq_15"
"byaacq12yn","Integer","","Recommended","My drinking has gotten me into sexual situations I later regretted.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","sexual_byaacq,yaacq_31"
"byaacq13yn","Integer","","Recommended","I have often found it difficult to limit how much I drink.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","limit_byaacq,yaacq_30"
"byaacq14yn","Integer","","Recommended","I have become very rude, obnoxious, or insulting after drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","rude_byaacq,yaacq_17"
"byaacq15yn","Integer","","Recommended","I have woken up in an unexpected place after heavy drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","unexpected_place_byaacq,yaacq_24"
"byaacq16yn","Integer","","Recommended","I have felt badly about myself because of my drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","self_esteem_byaacq,yaacq_3"
"byaacq17yn","Integer","","Recommended","I have had less energy or felt tired because of my drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","no_energy_byaacq,yaacq_46"
"byaacq18yn","Integer","","Recommended","The quality of my work or schoolwork has suffered because of my drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","quality_of_work_byaacq,yaacq_2"
"byaacq19yn","Integer","","Recommended","I have spent too much time drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","time_spent_byaacq,yaacq_14"
"byaacq20yn","Integer","","Recommended","I have neglected my obligations to family, work or school because of drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","nglctd_obligation_byaacq,yaacq_27"
"byaacq21yn","Integer","","Recommended","My drinking has created problems between myself and my friends, dating/hook-up partner, boyfriend/girlfriend/spouse, parents, and/or other near relatives.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","familial_problems_byaacq,yaacq_11"
"byaacq22yn","Integer","","Recommended","I have been overweight because of drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","overweight_byaacq,yaacq_38"
"byaacq23yn","Integer","","Recommended","My physical appearance has been harmed by my drinking.","0::3","0 = No; 1 = Yes; 2 = I don't drink; 3 = I prefer not to answer","physical_appearance_byaacq,yaacq_35"
