"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","SUBJECT,subject"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","CAIDATE,caidate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"aescode","Integer","","Recommended","Staff code number of person completing this form","","999= Missing Data","CAICODE,caicode"
"visit","String","60","Recommended","Visit name","","",""
"cai1p","Integer","","Recommended","Difficulty maintaining newly learned verbal information in mind for brief periods (long enough to use)?  Patient","0::7","0=N/A",""
"cai1i","Integer","","Recommended","Difficulty maintaining newly learned verbal information in mind for brief periods (long enough to use)?  Informant","0::7","",""
"cai1c","Integer","","Recommended","Difficulty maintaining newly learned verbal information in mind for brief periods (long enough to use)?  Composite","0::7","",""
"cai2p","Integer","","Recommended","""Difficulty performing """"on the spot"""" mental manipulations or computations? Patient ""","0::7","",""
"cai2i","Integer","","Recommended","""Difficulty performing """"on the spot"""" mental manipulations or computations? Informant ""","0::7","",""
"cai2c","Integer","","Recommended","""Difficulty performing """"on the spot"""" mental manipulations or computations? Composite ""","0::7","",""
"cai3p","Integer","","Recommended","Problems sustaining concentration over time (without distraction)? Patient","0::7","",""
"cai3i","Integer","","Recommended","Problems sustaining concentration over time (without distraction)? Informant","0::7","",""
"cai3c","Integer","","Recommended","Problems sustaining concentration over time (without distraction)? Composite","0::7","",""
"cai4p","Integer","","Recommended","Difficulty focusing on select information (if there is not obvious distraction)? Patient","0::7","",""
"cai4i","Integer","","Recommended","Difficulty focusing on select information (if there is not obvious distraction)? Informant","0::7","",""
"cai4c","Integer","","Recommended","Difficulty focusing on select information (if there is not obvious distraction)? Composite","0::7","",""
"cai5p","Integer","","Recommended","Trouble learning and remembering verbal material? Patient","0::7","",""
"cai5i","Integer","","Recommended","Trouble learning and remembering verbal material? Informant","0::7","",""
"cai5c","Integer","","Recommended","Trouble learning and remembering verbal material? Composite","0::7","",""
"cai6p","Integer","","Recommended","Difficulty recalling recent events? Patient","0::7","",""
"cai6i","Integer","","Recommended","Difficulty recalling recent events? Informant","0::7","",""
"cai6c","Integer","","Recommended","Difficulty recalling recent events? Composite","0::7","",""
"cai7p","Integer","","Recommended","Lack of flexibility in generating alternate plans when needed? Patient","0::7","",""
"cai7i","Integer","","Recommended","Lack of flexibility in generating alternate plans when needed? Informant","0::7","",""
"cai7c","Integer","","Recommended","Lack of flexibility in generating alternate plans when needed? Composite","0::7","",""
"cai8p","Integer","","Recommended","Problems in situations requiring judgment? Patient","0::7","",""
"cai8i","Integer","","Recommended","Problems in situations requiring judgment? Informant","0::7","",""
"cai8c","Integer","","Recommended","Problems in situations requiring judgment? Composite","0::7","",""
"cai9p","Integer","","Recommended","Performs tasks slowly? Patient","0::7","",""
"cai9i","Integer","","Recommended","Performs tasks slowly? Informant","0::7","",""
"cai9c","Integer","","Recommended","Performs tasks slowly? Composite","0::7","",""
"cai10p","Integer","","Recommended","Difficulty appreciating another person's intentions/point of view?  Patient","0::7","",""
"cai10i","Integer","","Recommended","Difficulty appreciating another person's intentions/point of view?  Informant","0::7","",""
"cai10c","Integer","","Recommended","Difficulty appreciating another person's intentions/point of view? Composite","0::7","",""
"caicgicip","Integer","","Recommended","Global severity of cognitive impairment from patient interview.","0::7","",""
"caicgicii","Integer","","Recommended","Global severity of cognitive impairment from informant interview.","0::7","",""
"caicgicic","Integer","","Recommended","Global severity of cognitive impairment from composite interview","0::7","",""
"bafinfo","Integer","","Recommended","Check if the Assessment was not done.","0::2","0=No; 1=Yes; 2=Unverified","CAIINFO,caiinfo"
"site","String","101","Recommended","Site","","Study Site",""
"caigafcogsp","Integer","","Recommended","Global assessment of function - cognition in schizophrenia from patient interview.","0::100","",""
"caigafcogsi","Integer","","Recommended","Global assessment of function - cognition in schizophrenia from informant interview.","0::100","",""
"caigafcogsc","Integer","","Recommended","Global assessment of function - cognition in schizophrenia from composite interview.","0::100","",""
