"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"num_in_call","Integer","","Recommended","Total number of incoming calls","","",""
"num_out_call","Integer","","Recommended","Total number of outgoing calls","","",""
"num_mis_call","Integer","","Recommended","Total number of missed calls","","",""
"num_in_caller","Integer","","Recommended","Total number of unique incoming callers","","",""
"num_out_caller","Integer","","Recommended","Total number of unique outgoing calls","","",""
"num_mis_caller","Integer","","Recommended","Total number of unique callers missed","","",""
"total_time_in_call","Integer","","Recommended","Total amount of minutes spent on incoming calls","","",""
"total_time_out_call","Integer","","Recommended","Total amount of minutes spent on outgoing calls","","",""
"num_uniq_individualscallortext","Integer","","Recommended","Total number of unique individuals who called or texted the Beiwe user, or who the Beiwe user called or texted. The total number of individuals with any communication contact with the Beiwe user","","",""
"num_s","Integer","","Recommended","Total number of sent SMS texts","","",""
"num_r","Integer","","Recommended","Total number of received SMS texts","","",""
"num_mms_s","Integer","","Recommended","Total number of sent MMS texts","","",""
"num_mms_r","Integer","","Recommended","Total number of received MMS texts","","",""
"num_s_tel","Integer","","Recommended","Total number of people who received texts from subject","","",""
"num_r_tel","Integer","","Recommended","Total number of people who sent texts to subject","","",""
"total_char_s","Integer","","Recommended","Total number of characters sent","","",""
"total_char_r","Integer","","Recommended","Total number of characters received","","",""
"text_reciprocity_incoming","Integer","","Recommended","The total number of times a text is sent to a unique person without response","","",""
"text_reciprocity_outgoing","Integer","","Recommended","The total number of times a text is received by a unique person without response","","",""
