"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ssf_4_completed","Integer","","Recommended","Has this survey been completed?","0;1","0= No; 1= Yes",""
"ssf_4_pain","Integer","","Recommended","Rate psychological pain (hurt, anguish, or misery in your mind, not stress, not physical pain)","1::5","1= Low pain; 5= High pain",""
"ssf_4_stress","Integer","","Recommended","Rate stress (your general feeling of being pressured or overwhelmed)","1::5","1= Low stress; 5= High stress",""
"ssf_4_agit","Integer","","Recommended","Rate agitation (emotional urgency; feeling that you need to take action; not irritation; not annoyance)","1::5","1= Low agitation; 5= High agitation",""
"ssf_4_hop","Integer","","Recommended","Rate hopelessness (your expectation that things will not get better no matter what you do)","1::5","1= Low hopelessness; 5= High hopelessness",""
"ssf_4_hate","Integer","","Recommended","Rate self-hate (your general feeling of disliking yourself; having no self-esteem; having no self-respect)","1::5","1= Low self-hate; 5= High self-hate",""
"ssf_4_suic","Integer","","Recommended","Rate overall risk of suicide","1::5","1= Extremely low risk (will not kill self); 5= Extremely high risk (will kill self)",""
"ssf_4_suic_self","Integer","","Recommended","How much is being suicidal related to thoughts and feelings about yourself?","1::5","1= Not at all; 5= Completely",""
"ssf_4_suic_othr","Integer","","Recommended","How much is being suicidal related to thoughts and feeling about others?","1::5","1= Not at all; 5= Completely",""
"ssf_4_live","Integer","","Recommended","I wish to live to the following extent","0::8","0= Not at all; 8= Very much",""
"ssf_4_die","Integer","","Recommended","I wish to die to the following extent","0::8","0= Not at all; 8= Very much",""
"ssf_4_suic_thts","Integer","","Recommended","Suicidal Thoughts/Feelings","0;1","0= No; 1= Yes",""
"ssf_4_man","Integer","","Recommended","Managed Thoughts/Feelings","0;1","0= No; 1= Yes",""
"ssf_4_suic_beh","Integer","","Recommended","Suicidal Behavior","0;1","0= No; 1= Yes",""
"suc_no_longer","String","200","Recommended","The one thing that would help me no longer feel suicidal would be","","",""
"imp_live01","String","200","Recommended","Importance 1: Please list your most important reasons for wanting to live","","",""
"imp_live02","String","200","Recommended","Importance 2: Please list your second most important reasons for wanting to live","","",""
"imp_live03","String","200","Recommended","Importance 3: Please list your third most important reasons for wanting to live","","",""
"imp_live04","String","200","Recommended","Importance 4: Please list your fourth most important reasons for wanting to live","","",""
"imp_live05","String","200","Recommended","Importance 5: Please list your fifth most important reasons for wanting to live","","",""
"imp_die01","String","200","Recommended","Importance 1: Please list your most important reasons for wanting to die","","",""
"imp_die02","String","200","Recommended","Importance 2: Please list your second most important reasons for wanting to die","","",""
"imp_die03","String","200","Recommended","Importance 3: Please list your third most important reasons for wanting to die","","",""
"imp_die04","String","200","Recommended","Importance 4: Please list your fourth most important reasons for wanting to die","","",""
"imp_die05","String","200","Recommended","Importance 5: Please list your fifth most important reasons for wanting to die","","",""
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
