"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"covscrn01","Integer","","Recommended","Have you tested positive for COVID-19 by a medical professional in the past?","1 :: 3; 77; 88; -999","1= Yes; 2= No, I have been tested but the test was negative; 3= No, I have not been tested by a medical professional; 77=Refused; 88=Missing; -99=NA",""
"covscrn02","Integer","","Recommended","How long ago were you tested? (# of days)","","","covscrn02_p"
"covscrn03","Integer","","Recommended","Have you recovered (i.e., do you currently test negative) from your COVID-19 diagnosis?","1 :: 2; 77; 88; -999","1= Yes; 2= No; 77=Refused; 88=Missing; -99=NA",""
"covscrn04","Integer","","Recommended","How long did it take for you to recover (# days)?","1 :: 2; 77; 88; -999","1= Days; 2= I was asymptomatic; 77=Refused; 88=Missing; -99=NA",""
"covscrn05","Integer","","Recommended","How long do you think your symptoms will last (# days)?","1 :: 2; 77; 88; -999","1= Days; 2= I was asymptomatic; 77=Refused; 88=Missing; -99=NA",""
"covscrn04_1_text","Integer","","Recommended","Days it took to recover from COVID-19 Diagnosis.","","",""
"covscrn05_1_text","Integer","","Recommended","Days the participant thinks their symptoms will last.","","",""
"covscrn02_1","Integer","","Recommended","How long ago were you tested? (# of days)","","","covscrn02_n"
"session","Integer","","Recommended","Session","","",""
"survey_duration","Integer","","Recommended","Duration of survey completion, in seconds.","","",""
"race","String","100","Recommended","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"vignette_subversion","Integer","","Recommended","Vignette subversion type.","0::3","0=Full version; 1=No treatment; 2=Alternative treatment; 3Main treatment",""
"vignette_text","String","100","Recommended","Text of vignette presented to participant.","","",""
"vignette_question1","String","100","Recommended","First question presented to participant following the vignette.","","",""
"vignette_answer1","String","100","Recommended","Participant's answer to the first question presented following the vignette.","","",""
"vignette_question2","String","100","Recommended","Second question presented to participant following the vignette.","","",""
"vignette_answer2","String","100","Recommended","Participant's answer to the second question presented following the vignette.","","",""
"vignette_symptoms","Integer","","Recommended","Symptoms in vignette version.","1::3","1= Low. No fever, but has fatigue and stomach cramps, stays at home; 1=Med. A fever of 101iF (38iC) and difficulty breathing, stays at home; 3=High. A fever of 104iF (40C), is hospitalized.",""
"vignette_alternative_treatment","String","100","Recommended","Alternative treatment in vignette version.","","",""
"vignette_outcome","Integer","","Recommended","Outcome in vignette version.","0;1","0=R (Recovery) Within 5 days all symptoms disappear; 1= NR (No Recovery) Symptoms show little change after 7 days.",""
"ageyears","Integer","","Recommended","Age in years","","",""
"discussfreq_1","Integer","","Recommended","How often do you discuss with or hear from the following groups of people about COVID-19? Family members and friends","1 :: 5","1 = less than once a month; 2 = 1-2 times a month; 3 = once a week; 4 = a few times a week; 5 = every day",""
"discussfreq_2","Integer","","Recommended","How often do you discuss with or hear from the following groups of people about COVID-19? Leaders in your community","1 :: 5","1 = less than once a month; 2 = 1-2 times a month; 3 = once a week; 4 = a few times a week; 5 = every day",""
"discussfreq_3","Integer","","Recommended","How often do you discuss with or hear from the following groups of people about COVID-19? People in different parts of your country","1 :: 5","1 = less than once a month; 2 = 1-2 times a month; 3 = once a week; 4 = a few times a week; 5 = every day",""
"discussfreq_4","Integer","","Recommended","How often do you discuss with or hear from the following groups of people about COVID-19? People in other countries","1 :: 5","1 = less than once a month; 2 = 1-2 times a month; 3 = once a week; 4 = a few times a week; 5 = every day",""
"discussfreq_5","Integer","","Recommended","How often do you discuss with or hear from the following groups of people about COVID-19? People you consider experts on this topic","1 :: 5","1 = less than once a month; 2 = 1-2 times a month; 3 = once a week; 4 = a few times a week; 5 = every day",""
"infoextent_1","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Family members","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_2","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Friends","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_3","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Co-workers","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_4","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? News agencies","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_5","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Social media","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_6","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Scientific papers","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_7","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Announcements / reports from the World Health Organization (WHO)","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_8","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Announcements from the official health protection agency in my country (CDC for US residents)","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_9","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Announcements made by the head of my country (President Trump for US residents)","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"infoextent_10","Float","","Recommended","To what extent have you been getting information about COVID-19 from the following resources? Announcements made by the head of my district (such as state, province; if apply. If not, choose the lowest value)","0::100","Continuous scale with labels: 0 = none at all; 25 = a little; 50 = a moderate amount; 75 = a lot; 100 = all",""
"events_1","Float","","Recommended","To what extent the following sources / events affected your beliefs about COVID-19? The number of known cases of COVID-19 in my country / state","0::100","Continuous scale with labels: 0 = not at all; 100 = very much",""
"events_2","Float","","Recommended","To what extent the following sources / events affected your beliefs about COVID-19? The number of COVID-19 related deaths in my country / state","0::100","Continuous scale with labels: 0 = not at all; 100 = very much",""
"events_3","Float","","Recommended","To what extent the following sources / events affected your beliefs about COVID-19? The number of known cases of COVID-19 in other countries","0::100","Continuous scale with labels: 0 = not at all; 100 = very much",""
"events_4","Float","","Recommended","To what extent the following sources / events affected your beliefs about COVID-19? The number of COVID-19-related deaths in other countries","0::100","Continuous scale with labels: 0 = not at all; 100 = very much",""
