"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cpqa01","Integer","","Recommended","In the last 12 months: Have you tended to use more cannabis on your own than you used to?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa02","Integer","","Recommended","In the last 12 months: Have you worried about meeting people you don't know when you are stoned?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa03","Integer","","Recommended","In the last 12 months: Have you spent more time with cannabis using friends than other kinds of friends?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa04","Integer","","Recommended","In the last 12 months: Have your friends criticized you for using too much cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa05","Integer","","Recommended","In the last 12 months: Have you had any debts?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa06","Integer","","Recommended","In the last 12 months: Have you pawned any of your belongings to buy cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa07","Integer","","Recommended","In the last 12 months: Have you found yourself making excuses about money?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa08","Integer","","Recommended","In the last 12 months: Have you found yourself worried about the amount of money you have been spending on cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa09","Integer","","Recommended","In the last 12 months: Have you been caught lying about money?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa10","Integer","","Recommended","In the last 12 months: Have you been in trouble with the police due to your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa11","Integer","","Recommended","In the last 12 months: Have you been physically sick after using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa12","Integer","","Recommended","In the last 12 months: Have you passed out after using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa13","Integer","","Recommended","In the last 12 months: Have you had pains in your chest or lungs after using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa14","Integer","","Recommended","In the last 12 months: Have you had a persistent chest infection or cough?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa15","Integer","","Recommended","In the last 12 months: Have you felt paranoid or antisocial after using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa16","Integer","","Recommended","In the last 12 months: Have you lost any weight without trying to?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa17","Integer","","Recommended","In the last 12 months: Have you been neglecting yourself physically?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa18","Integer","","Recommended","In the last 12 months: Have you felt depressed for more than a week?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa19","Integer","","Recommended","In the last 12 months: Have you given up any activities you once enjoyed because of cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa20","Integer","","Recommended","In the last 12 months: Have you had less energy than usual?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa21","Integer","","Recommended","In the last 12 months: Have you found it hard to get the same enjoyment from your usual interests?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa22","Integer","","Recommended","In the last 12 months: Has your general health been poorer than usual?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa23","Integer","","Recommended","In the last 12 months: Have you worried about getting out of touch with friends or family?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa24","Integer","","Recommended","In the last 12 months: Have you been concerned about a lack of motivation?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa25","Integer","","Recommended","In the last 12 months: Have you been able to concentrate less than usual?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa26","Integer","","Recommended","In the last 12 months: Have you worried about feelings of personal isolation or detachment?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa27","Integer","","Recommended","In the last 12 months: Do your parent(s) use cannabis on a regular basis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa28","Integer","","Recommended","In the last 12 months: Have your parent(s) complained about you using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa29","Integer","","Recommended","In the last 12 months: Have your parent(s) tried to stop you from using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa30","Integer","","Recommended","In the last 12 months: Have you argued with them (your parent(s)) about your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa31","Integer","","Recommended","In the last 12 months: Have you tried to avoid your parent(s) after you have been using cannabis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa32","Integer","","Recommended","In the last 12 months: Do they (your partner) use cannabis on a regular basis?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa33","Integer","","Recommended","In the last 12 months: Have they (your partner) complained about your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
"cpqa34","Integer","","Recommended","In the last 12 months: Have you argued with them (your partner) about your cannabis use?","0;1;999","0=No; 1=Yes; 999=Skipped",""
