"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"coded_caregiver","Integer","","Recommended","Caregiver that is coded in task","1;2","1=Primary caregiver; 2=Second caregiver",""
"sens_notoys","Integer","","Recommended","Sensitivity/Responsiveness rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"intrus_notoys","Integer","","Recommended","Intrusiveness rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"detach_notoys","Integer","","Recommended","Detachment/Disengagement rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"stim_notoys","Integer","","Recommended","Stimulation of Development rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"posreg_notoys","Integer","","Recommended","Positive Regard for the Child/Positive Affect rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"negreg_notoys","Integer","","Recommended","Negative Regard for the Child/Negative Affect rating for epoch free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"anim_notoys","Integer","","Recommended","Animation rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"sens_toys","Integer","","Recommended","Sensitivity/Responsiveness rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"intrus_toys","Integer","","Recommended","Intrusiveness rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"detach_toys","Integer","","Recommended","Detachment/Disengagement rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"stim_toys","Integer","","Recommended","Stimulation of Development rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"posreg_toys","Integer","","Recommended","Positive Regard for the Child/Positive Affect rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"negreg_toys","Integer","","Recommended","Negative Regard for the Child/Negative Affect rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"anim_toys","Integer","","Recommended","Animation rating for free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"qualinst_notoys","Integer","","Recommended","Quality of Instruction rating for free play activity without toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"qualinst_toys","Integer","","Recommended","Quality of Instruction rating for  free play activity with toys","1::5","1 = Not at all characteristic; 2 = Minimally characteristic; 3 = Somewhat characteristic; 4 = Moderately characteristic; 5 = Highly characteristic",""
"stim_notoys_24m","Integer","","Recommended","Stimulation of Development rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"posreg_notoys_24m","Integer","","Recommended","Positive Regard for the Child/Positive Affect rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"negreg_notoys_24m","Integer","","Recommended","Negative Regard for the Child/Negative Affect rating for epoch free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"anim_notoys_24m","Integer","","Recommended","Animation rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"sens_toys_24m","Integer","","Recommended","Sensitivity/Responsiveness rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"intrus_toys_24m","Integer","","Recommended","Intrusiveness rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"detach_toys_24m","Integer","","Recommended","Detachment/Disengagement rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"stim_toys_24m","Integer","","Recommended","Stimulation of Development rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"posreg_toys_24m","Integer","","Recommended","Positive Regard for the Child/Positive Affect rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"negreg_toys_24m","Integer","","Recommended","Negative Regard for the Child/Negative Affect rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"anim_toys_24m","Integer","","Recommended","Animation rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"qualinst_notoys_24m","Integer","","Recommended","Quality of Instruction rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"qualinst_toys_24m","Integer","","Recommended","Quality of Instruction rating for free play activity with toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"senspar_notoys","Float","","Recommended","Sensitive Parenting Composite - No toys","","composite score",""
"senspar_toys","Float","","Recommended","Sensitive Parenting Composite - Toys","","composite score",""
"harshint_notoys","Float","","Recommended","Harsh Intrusive Parenting Composite - No toys","","composite score",""
"harshint_toys","Float","","Recommended","Harsh Intrusive Parenting Composite - Toys","","composite score",""
"senspar_notoys_24m","Float","","Recommended","Sensitive Parenting Composite - No toys at 24M","","composite score",""
"senspar_toys_24m","Float","","Recommended","Sensitive Parenting Composite - Toys at 24M","","composite score",""
"harshint_notoys_24m","Float","","Recommended","Harsh Intrusive Parenting Composite - No toys at 24M","","composite score",""
"harshint_toys_24m","Float","","Recommended","Harsh Intrusive Parenting Composite - Toys at 24M","","composite score",""
"sens_notoys_24m","Integer","","Recommended","Sensitivity/Responsiveness rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"intrus_notoys_24m","Integer","","Recommended","Intrusiveness rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
"detach_notoys_24m","Integer","","Recommended","Detachment/Disengagement rating for free play activity without toys at 24M","1::7","1 = Not at all characteristic; 3 = Minimally characteristic; 5 = Moderately characteristic; 7 = Highly characteristic",""
