"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","GUID"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","cg_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","chi_gen,gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","cg_comments_misc"
"cg_fulfil","Integer","","Recommended","Fulfillment with carrying out care tasks","1::3","","q80"
"cg_mem_rel","Integer","","Recommended","Relational problems with care reciever","1::3","","q81"
"cg_mental","Integer","","Recommended","Problems with own mental health","1::3","","q82"
"cg_caretask","Integer","","Recommended","Problems combining care tasks with daily activities","1::3","","q83"
"cg_financialprob","Integer","","Recommended","Financial problems because of care tasks","1::3","","q84"
"cg_tasksup","Integer","","Recommended","Support with carrying out care tasks when I need it","1::3","","q85"
"cg_phyhealth","Integer","","Recommended","Problems with my own physical health","1::3","","q86"
"cg_vas","Float","","Recommended","Mark on scale how happy you feel currently","0; 0.5; 1; 1.5; 2; 2.5; 3; 3.5; 4; 4.5; 5; 5.5; 6; 6.5; 7; 7.5; 8; 8.5; 9; 9.5; 10","","careq1"
