"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","patid,record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","pp_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_a"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex_a"
"asstyp","Integer","","Recommended","Assessment type","1::20","1=TADS GATE A; 2=TADS GATE B; 3 = TADS Gate C; 4 = TADS Week 6; 5 = TADS Week 12; 6 = TADS Week 18; 7 = TADS Week 24; 8 = TADS Week 30; 9 = TADS Week 36; 10 = TADS F/U Mo 3; 11 = TADS F/U Mo 6; 12 = TADS F/U Mo 9; 13 = TADS F/U Mo 12; 14 = SOFTAD month 6; 15 = SOFTAD month 12; 16 = SOFTAD month 18; 17 = SOFTAD month 24; 18 = SOFTAD month 30; 19 = SOFTAD month 36; 20 = SOFTAD month 42",""
"bsit0","Float","","Recommended","Weeks from Time 0/baseline to assessment","","","cbqft0,cbqmt0"
"stage","Integer","","Recommended","Study stage","0::5; 51::53; 67; -888; -999","0 = Pre-Randomization (TADS) 1 = Stage 1 (TADS) 2 = Stage 2 (TADS) 3 = Stage 3 (TADS) 4 = Stage 4 (TADS) 5 = Stage 5 (SOFTAD); 51=Treatmentas Usual; 52=Screening Alone; 53=Intervention; 67=Unknown; -888=Not Applicable; -999=Missing;",""
"cbqfrel","Integer","","Recommended","Person most like a father to the adolescent","1::8","1 = My biological / adoptive father; 2 = My stepfather; 3 = My foster father; 4 = My grandfather; 5 = My uncle; 6 = My brother; 7 = Other; 8 = There is no one I consider to be like a father",""
"cbqf1_u","Integer","","Recommended","Question 1. Even when I apologize, my father/mother doesn't say he/she is sorry","0;1","0 = False; 1 = True","cbqm1_u"
"cbqf2_u","Integer","","Recommended","Question 2. My dad/mom doesn't understand me","0;1","0 = False; 1 = True","cbqm2_u"
"cbqf3_u","Integer","","Recommended","Question 3. My dad/mom and I sometimes end our arguments calmly","0;1","0 = True; 1 = False","cbqm3_u"
"cbqf4_u","Integer","","Recommended","Question 4. If I am right, my father/mother doesn't admit it","0;1","0 = False; 1 = True","cbqm4_u"
"cbqf5_u","Integer","","Recommended","Question 5. My dad/mom never asks me questions about things I like to talk about","0;1","0 = False; 1 = True","cbqm5_u"
"cbqf6_u","Integer","","Recommended","Question 6. We joke around often","0;1","0 = True; 1 = False","cbqm6_u"
"cbqf7_u","Integer","","Recommended","Question 7. When I come up with my own ideas, he/she tells me I am disrespectful","0;1","0 = False; 1 = True","cbqm7_u"
"cbqf8_u","Integer","","Recommended","Question 8. I feel like I am always wrong in an argument with my dad/mom","0;1","0 = False; 1 = True","cbqm8_u"
"cbqf9_u","Integer","","Recommended","Question 9. At least once a week, we get angry with each other","0;1","0 = False; 1 = True","cbqm9_u"
"cbqf10_u","Integer","","Recommended","Question 10. My dad/mom answers me when I say something","0;1","0 = True; 1 = False","cbqm10_u"
"cbqf11_u","Integer","","Recommended","Question 11. My dad/mom picks on me","0;1","0 = False; 1 = True","cbqm11_u"
"cbqf12_u","Integer","","Recommended","Question 12. We do a lot of things together","0;1","0 = True; 1 = False","cbqm12_u"
"cbqf13_u","Integer","","Recommended","Question 13. My dad/mom understands me","0;1","0 = True; 1 = False","cbqm13_u"
"cbqf14_u","Integer","","Recommended","Question 14. My dad/mom expects too much of us","0;1","0 = False; 1 = True","cbqm14_u"
"cbqf15_u","Integer","","Recommended","Question 15. We almost never seem to agree","0;1","0 = False; 1 = True","cbqm15_u"
"cbqf16_u","Integer","","Recommended","Question 16. My dad/mom stays calm during a discussion","0;1","0 = True; 1 = False","cbqm16_u"
"cbqf17_u","Integer","","Recommended","Question 17. Several hours after an argument, my dad/mom is still mad at me","0;1","0 = False; 1 = True","cbqm17_u"
"cbqf18_u","Integer","","Recommended","Question 18. I enjoy the talks we have","0;1","0 = True; 1 = False","cbqm18_u"
"cbqf19_u","Integer","","Recommended","Question 19. When I state my own opinion, he/she gets upset","0;1","0 = False; 1 = True","cbqm19_u"
"cbqf20_u","Integer","","Recommended","Question 20. My dad/mom brings up a lot of my faults when we argue","0;1","0 = False; 1 = True","cbqm20_u"
"cbqf21_u","Integer","","Recommended","Question 21. At least three times a week, we get angry at each other","0;1","0 = False; 1 = True","cbqm21_u"
"cbqf22_u","Integer","","Recommended","Question 22. He/she says I am lazy when we argue","0;1","0 = False; 1 = True","cbqm22_u"
"cbqf23_u","Integer","","Recommended","Question 23. My father/mother listens when I need someone to talk to","0;1","0 = True; 1 = False","cbqm23_u"
"cbqf24_u","Integer","","Recommended","Question 24. After an argument which turns out badly, one or both of us apologizes","0;1","0 = True; 1 = False","cbqm24_u"
"cbqf25_u","Integer","","Recommended","Question 25. My dad/mom is a good friend to me","0;1","0 = True; 1 = False","cbqm25_u"
"cbqf26_u","Integer","","Recommended","Question 26. My dad/mom likes my friends","0;1","0 = True; 1 = False","cbqm26_u"
"cbqf27_u","Integer","","Recommended","Question 27. We argue at the dinner table at least half the time we eat together","0;1","0 = False; 1 = True","cbqm27_u"
"cbqf28_u","Integer","","Recommended","Question 28. When we talk, he compares me to other kids","0;1","0 = False; 1 = True","cbqm28_u"
"cbqf29_u","Integer","","Recommended","Question 29. When we argue, my dad/mom makes suggestions that I like","0;1","0 = True; 1 = False","cbqm29_u"
