"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
"proceduretrial","String","20","Recommended","Trial type","","",""
"cdetect_rt","Float","","Recommended","Change Detection Task - Trial Response Time","","",""
"cdetect_mrto","Float","","Recommended","Change Detection Task - Overall Median Response Time","","Median response time, median time between a probe and participant's corresponding response across trials (ms)",""
"cdetect_mce","Float","","Recommended","Change Detection Task - Memory Capacity Estimation","","Estimate of a participant's working memory capacity in number of task items",""
"cdetect_ap","Float","","Recommended","Change Detection Task - Attention Parameter","","Estimate for each participant of the probability that their attention was engaged on any given trial",""
"targetstimnum","Integer","","Recommended","Target stimulus number","1::8","",""
"target_color1","Integer","","Recommended","Color of the (targetstimnum) target stimulus in the array","1::6","1 = Red; 2 = Green; 3 = Blue; 4 = Yellow; 5 = White; 6 = Black",""
"target_posx1","Integer","","Recommended","X-coordinate of the (targetstimnum) target stimulus","-1000::1000","",""
"target_posy1","Integer","","Recommended","Y-coordinate of the (targetstimnum) target stimulus","-1000::1000","",""
"probe_color","Integer","","Recommended","Color of the probe stimulus","1::6","1 = Red; 2 = Green; 3 = Blue; 4 = Yellow; 5 = White; 6 = Black",""
"probe_posx","Integer","","Recommended","X-coordinate of the probe stimulus","-1000::1000","",""
"probe_posy","Integer","","Recommended","Y-coordinate of the probe stimulus","-1000::1000","",""
"runindex","Integer","","Recommended","Index of the experimental run in which the trial occurred.","1::8","1 = First Run; 2 = Second Run; 3 = Third Run; 4 = Fourth Run; 5 = Fifth Run; 6 = Sixth Run; 7 = Seventh Run; 8 = Eighth Run",""
"sirpinvalid","Integer","","Recommended","Indicates whether the trial was recorded outside the stimulus window.","0;1","0 = Valid; 1 = Invalid",""
"rawresponsetime_c","Float","","Recommended","Raw time recorded for the subject's response; begins from 0 at the start of every run","0::100000; -999","In ms; -999 = No Response",""
"targettime","Float","","Recommended","Time at which the target stimuli were presented.","0::100000","In ms",""
"probetime","Float","","Recommended","Time at which the probe stimulus was presented.","0::100000","In ms",""
"probeinstimuli","Integer","","Recommended","Indicates whether the probe was part of the original target stimuli set","0;1","0 = Incorrect; 1 = Correct",""
"deltattargtoprobe","Float","","Recommended","Time difference between the presentation of the target and the probe.","0::100000","In ms",""
"responsecode","Integer","","Recommended","Represents a response button for subject's response","100;200","100 = Response to perceived non-target (left arrow); 200 = Response to perceived target (right arrow)",""
"sirp_rt","Float","","Recommended","Reaction Time","0::100000;-999","In ms; -999=No Response",""
"subjectcorrect","Integer","","Recommended","Indicates whether the subject's response was correct or not","0;1","0 = Incorrect; 1 = Correct",""
