"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","stepid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"dayscons","Integer","","Recommended","days since consent","","",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"certcode","Integer","","Recommended","stepbd certification code","","",""
"newmania","Integer","","Recommended","new episode mania","0;1;-7","0=No; 1=Yes; -7=Refused",""
"newmixed","Integer","","Recommended","new mixed episode","0;1;-7","0=No; 1=Yes; -7=Refused",""
"halldelu","Integer","","Recommended","hallucinations delusions","0;1;-7","0=No; 1=Yes; -7=Refused",""
"psypersi","Integer","","Recommended","psychosis persistant","0;1;-7","0=No; 1=Yes; -7=Refused",""
"schizdis","Integer","","Recommended","meet schizoaffective disorder","0;1;-7","0=No; 1=Yes; -7=Refused",""
"psymania","Integer","","Recommended","psychosis during mania","0;1;-7","0=No; 1=Yes; -7=Refused",""
"lifedx1","String","50","Recommended","Lifetime diagnosis 1","","",""
"lifedxsp","String","50","Recommended","Lifetime diagnosis specify","","",""
"site","String","101","Recommended","Site","","Study Site","site_id,siteid"
"eat_diagnosis_bl","Integer","","Recommended","Conferred participant diagnosis from EDA-5 and PARDI at Baseline","0::16","0= No eating or feeding disorder; 1= Avoidant Restrictive Food Intake Disorder (ARFID); 2= Anorexia Nervosa (restricting type); 3= Anorexia Nervosa (binge eating/purging type); 4= Bulimia Nervosa; 5= Binge Eating Disorder; 6= Rumination Disorder; 7= Pica; 8= Other Specified Feeding and Eating Disorder (OSFED) - Atypical Anorexia Nervosa; 9= OFSED - Subthreshold Bulimia Nervosa; 10= Other Specified Feeding and Eating Disorder (OSFED) - Subthreshold Binge Eating Disorder; 11= Other Specified Feeding and Eating Disorder (OSFED) - Purging Disorder; 12= Other Specified Feeding and Eating Disorder (OSFED) - Night Eating Syndrome; 13= Other Specified Feeding and Eating Disorder (OSFED) - Other; 14= Unspecified Feeding or Eating Disorder (UFED); 15= No diagnosis information available; 16= Subthreshold Avoidant Restrictive Food Intake Disorder (ARFID)",""
"eat_diagnosis_yr1","Integer","","Recommended","Conferred participant diagnosis from EDA-5 and PARDI at Year 1 Follow-up","0::16","0= No eating or feeding disorder; 1= Avoidant Restrictive Food Intake Disorder (ARFID); 2= Anorexia Nervosa (restricting type); 3= Anorexia Nervosa (binge eating/purging type); 4= Bulimia Nervosa; 5= Binge Eating Disorder; 6= Rumination Disorder; 7= Pica; 8= Other Specified Feeding and Eating Disorder (OSFED) - Atypical Anorexia Nervosa; 9= OFSED - Subthreshold Bulimia Nervosa; 10= Other Specified Feeding and Eating Disorder (OSFED) - Subthreshold Binge Eating Disorder; 11= Other Specified Feeding and Eating Disorder (OSFED) - Purging Disorder; 12= Other Specified Feeding and Eating Disorder (OSFED) - Night Eating Syndrome; 13= Other Specified Feeding and Eating Disorder (OSFED) - Other; 14= Unspecified Feeding or Eating Disorder (UFED); 15= No diagnosis information available; 16= Subthreshold Avoidant Restrictive Food Intake Disorder (ARFID)",""
"eat_diagnosis_yr2","Integer","","Recommended","Conferred participant diagnosis from EDA-5 and PARDI at Year 2 Follow-up","0::16","0= No eating or feeding disorder; 1= Avoidant Restrictive Food Intake Disorder (ARFID); 2= Anorexia Nervosa (restricting type); 3= Anorexia Nervosa (binge eating/purging type); 4= Bulimia Nervosa; 5= Binge Eating Disorder; 6= Rumination Disorder; 7= Pica; 8= Other Specified Feeding and Eating Disorder (OSFED) - Atypical Anorexia Nervosa; 9= OFSED - Subthreshold Bulimia Nervosa; 10= Other Specified Feeding and Eating Disorder (OSFED) - Subthreshold Binge Eating Disorder; 11= Other Specified Feeding and Eating Disorder (OSFED) - Purging Disorder; 12= Other Specified Feeding and Eating Disorder (OSFED) - Night Eating Syndrome; 13= Other Specified Feeding and Eating Disorder (OSFED) - Other; 14= Unspecified Feeding or Eating Disorder (UFED); 15= No diagnosis information available; 16= Subthreshold Avoidant Restrictive Food Intake Disorder (ARFID)",""
"eat_diagnosis_final","Integer","","Recommended","Conferred Final participant diagnosis from EDA-5 and PARDI","0::16","0= No eating or feeding disorder; 1= Avoidant Restrictive Food Intake Disorder (ARFID); 2= Anorexia Nervosa (restricting type); 3= Anorexia Nervosa (binge eating/purging type); 4= Bulimia Nervosa; 5= Binge Eating Disorder; 6= Rumination Disorder; 7= Pica; 8= Other Specified Feeding and Eating Disorder (OSFED) - Atypical Anorexia Nervosa; 9= OFSED - Subthreshold Bulimia Nervosa; 10= Other Specified Feeding and Eating Disorder (OSFED) - Subthreshold Binge Eating Disorder; 11= Other Specified Feeding and Eating Disorder (OSFED) - Purging Disorder; 12= Other Specified Feeding and Eating Disorder (OSFED) - Night Eating Syndrome; 13= Other Specified Feeding and Eating Disorder (OSFED) - Other; 14= Unspecified Feeding or Eating Disorder (UFED); 15= No diagnosis information available; 16= Subthreshold Avoidant Restrictive Food Intake Disorder (ARFID)",""
