"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cecpaq_1","Integer","","Recommended","I notice when my child is sad or doesn't feel good","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_2","Integer","","Recommended","I hug, kiss, or hold my child for no particular reason","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_3","Integer","","Recommended","When my child if having a hard time, I am able to help him/her","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_4","Integer","","Recommended","I tell my child how happy s/he makes me","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_5","Integer","","Recommended","I know what my child feels or needs","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_6","Integer","","Recommended","I am able to comfort my child when s/he is scared","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_7","Integer","","Recommended","I listen to my child's feelings and understand them","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_8","Integer","","Recommended","I am able to calm my child when s/he is irritable","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_9","Integer","","Recommended","I understand why my child is scared or upset","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_10","Integer","","Recommended","I am good at attracting my child's attention","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_11","Integer","","Recommended","My child and I have warm, intimate times together","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_12","Integer","","Recommended","When my child is not feeling well, I'm able to comfort him","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_13","Integer","","Recommended","I express affection by hugging, kissing, and holding my child","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_14","Integer","","Recommended","When I'm upset or under stress....I'm on my child's back/I am no more picky than usual","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_15","Integer","","Recommended","When my child does something I don't like....I do something about it every time it happens/I often let it go","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_16","Integer","","Recommended","When my child misbehaves....I raise my voice or yell/I speak to my child calmly","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_17","Integer","","Recommended","When my child won't do what I ask....I often let it go or end up doing it myself / I take some other action","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_18","Integer","","Recommended","When there is a problem with my child....Things build up and I do things I don't mean to/Things don't get out of hand","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_19","Integer","","Recommended","When I give a fair threat or warning....I often don't carry it out / I always do what I said","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_20","Integer","","Recommended","When I say my child can't do something....I let my child do it anyway / I stick to what I said","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_21","Integer","","Recommended","When I say my child can't do something....I let my child do it anyway / I stick to what I said","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_22","Integer","","Recommended","When my child does something I don't like, I insult my child","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_23","Integer","","Recommended","When my child is upset when I say 'no'....back down and give in / I stick to what I said","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_24","Integer","","Recommended","I explain to my child why certain rules must be followed","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_25","Integer","","Recommended","When my child disobeys, I get angry and raise my voice","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_26","Integer","","Recommended","I tell my child that s/he should be ashamed when s/he misbehaves","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_27","Integer","","Recommended","I slap my child when s/she has done something wrong","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_28","Integer","","Recommended","When my child misbehaves, I let my child out of a punishment early","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_29","Integer","","Recommended","When my child does something I don't like, I scowl at him/her and pretend he/she does not exist","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_30","Integer","","Recommended","I explain to my child why s/he is being punished or restricted","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_31","Integer","","Recommended","It happens that my child is not punished when s/h has done something wrong","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_32","Integer","","Recommended","When my child misbehaves, I get angry and grab hold of him/her","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_33","Integer","","Recommended","I make my child feel guilty when s/he doesn't meet my expectations","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_34","Integer","","Recommended","I compliment or hug my child when s/he does something well","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_35","Integer","","Recommended","My child talks me out of being punished after s/he has done something wrong","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_36","Integer","","Recommended","When my child is whining, I get angry and raise my voice","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_37","Integer","","Recommended","When my child does something I don't like, I don't talk to him/her until he/she behaves better","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_38","Integer","","Recommended","I explain to my child the consequences of his/her behavior","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_39","Integer","","Recommended","I spank my child for whining","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_40","Integer","","Recommended","The punishment I give to my child depends on my mood","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_41","Integer","","Recommended","I criticize my child when s/he doesn't meet my expectations","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_42","Integer","","Recommended","I tell my child stories or read books to him/her","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_43","Integer","","Recommended","I sing and dance with my child or listen to music with him/her","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_44","Integer","","Recommended","I take my child outside to play, walk, or cycle","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_45","Integer","","Recommended","I encourage my child to play alone and explore his/her environment","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_46","Integer","","Recommended","I regularly let my child play with other children","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_47","Integer","","Recommended","I regularly let my child play with adults, other than the parents","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_48","Integer","","Recommended","I involve my child in daily activities such as cooking, taking care of pets, or watering plants","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_49","Integer","","Recommended","I take my child with me to do the grocery shopping","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_50","Integer","","Recommended","My child and I play together with colorful toys made of different materials (e.g., soft toys, wooden blocks, rattle book)","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_51","Integer","","Recommended","My child and I play together with toys that can roll (e.g., ball, cars, pull animal)","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_52","Integer","","Recommended","My child and I play together with building blocks, Lego, or other stacking toys","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
"cecpaq_53","Integer","","Recommended","My child has his/her own books that s/he may play with, even though s/he is not careful with them","1::6;-999","1= Never; 2= Rarely; 3= Sometimes; 4= Often; 5= Most of the Time; 6= Always; -999= Missing",""
