"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ces1","Integer","","Recommended","1. This event has become a reference point for the way I understand new experiences.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces2","Integer","","Recommended","2. I automatically see connections and similarities between this event and experiences in my present life.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces3","Integer","","Recommended","3. I feel that this event has become part of my identity","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_1"
"ces4","Integer","","Recommended","4. This event can be seen as a symbol or mark of important themes in my life.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces5","Integer","","Recommended","5. This event is making my life different from the life of most other people.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces6","Integer","","Recommended","6. This event has become a reference point for the way I understand myself and the world.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data",""
"ces7","Integer","","Recommended","7. I believe that people who haven't experienced this type of event think differently than I do.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces8","Integer","","Recommended","8. This event tells a lot about who I am.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces9","Integer","","Recommended","9. I often see connections and similarities between this event and my current relationships with other people.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces10","Integer","","Recommended","10. I feel that this event has become a central part of my life story.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_3"
"ces11","Integer","","Recommended","11. I believe that people who haven't experienced this type of event, have a different way of looking upon themselves than I have.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces12","Integer","","Recommended","12. This event has colored the way I think and feel about other experiences.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_4"
"ces14","Integer","","Recommended","14. If I were to weave a carpet of my life, this event would be in the middle with threads going out to many other experiences.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces15","Integer","","Recommended","15. My life story can be divided into two main chapters: one is before and one is after this event happened.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces13","Integer","","Recommended","13. This event has become a reference point for the way I look upon my future.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data","centrality_of_event_2"
"ces16","Integer","","Recommended","16. This event permanently changed my life.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_5"
"ces17","Integer","","Recommended","17. I often think about the effects this event will have on my future.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_6"
"ces18","Integer","","Recommended","18. This event was a turning point in my life.","1::5; 9999","5= Totally Disagree; 4= Disagree; 3= Neither Disagree or Agree; 2= Agree; 1= Totally Agree; 9999= no data","centrality_of_event_7"
"ces19","Integer","","Recommended","19. If this event had not happened to me, I would be a different person today.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"ces20","Integer","","Recommended","20. When I reflect upon my future, I often think back to this event.","1::5; 9999","1= Totally Disagree; 2= Disagree; 3= Neither Disagree or Agree; 4= Agree; 5= Totally Agree; 9999= no data",""
"cestot","Integer","","Recommended","CES score","","",""
