"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"cgq001","Integer","","Recommended","1.  Will try to comfort or reassure another in distress.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq002","Integer","","Recommended","2.  Is likely to scold another child who violates a household rule.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq003","Integer","","Recommended","3.  Not particularly concerned or worried when s/he has broken a valuable object.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq004","Integer","","Recommended","4.  Likely to offer toys or candy to a distressed peer even without parental suggestion.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq005","Integer","","Recommended","5. Likely to try a prohibited, but attractive activity when alone.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq006","Integer","","Recommended","6. Will spontaneously clean up possessions even without being asked.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq007","Integer","","Recommended","7. May freeze in place when caught doing something bad.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq008","Integer","","Recommended","8. Will spontaneously say sorry after having done something wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq009","Integer","","Recommended","9. May deny that s/he did something wrong even if confronted with the evidence.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq010","Integer","","Recommended","10.  If asked to do something tedious (for example, clean up his/her toys), s/he is likely to complete the task without further supervision.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq011","Integer","","Recommended","11. May occasionally tease a pet if unsupervised.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq012","Integer","","Recommended","12.  When s/he does something wrong, this subject of wrongdoing is likely to come up during his/her play or conversations with siblings/peers.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq013","Integer","","Recommended","13.  Feels good when good things happen to movie characters.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq014","Integer","","Recommended","14. During pretend play with peers, may re-enact themes of wrongdoing or mischief.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq015","Integer","","Recommended","15.  Remembers for a long time past mishaps or instances when s/he did something wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq016","Integer","","Recommended","16.  Unless specifically asked to do so, s/he is not likely to apologize on his/her own.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq017","Integer","","Recommended","17.  Acts upset when s/he sees a hurt animal.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq018","Integer","","Recommended","18.  Likely to feel responsible whenever anything goes wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq019","Integer","","Recommended","19.  Likely to look remorseful or guilty when caught in the middle of a forbidden activity.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq020","Integer","","Recommended","20.  After doing something wrong, may replay that situation with toys or interaction with a peer.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq021","Integer","","Recommended","21.  Does not seem upset when s/he breaks a new toy or object.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq022","Integer","","Recommended","22. Has to be encouraged to say sorry when s/he has done something wrong.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq023","Integer","","Recommended","23.  When s/he has hurt a peer, will try to make up for it by offering toys or prized possession to the other child.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq024","Integer","","Recommended","24.  Likely to become quiet and subdued after doing something wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq025","Integer","","Recommended","25.  Feels bad when reminded about past mischief or wrongdoing.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq026","Integer","","Recommended","26.  Shows concern or makes a comment when coming to a torn page in a book.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq027","Integer","","Recommended","27.  May have trouble sleeping or poor appetite after having done something wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq028","Integer","","Recommended","28. During peer interactions, will introduce themes of wrongdoing or rules (for example, scold a teddy bear for being naughty).","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq029","Integer","","Recommended","29. Rarely cries or looks upset when watching a sad TV show.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq030","Integer","","Recommended","30.  It is easy to bring him/her to tears when discussing something that s/he has done wrong.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq031","Integer","","Recommended","31.  Even attractively wrapped presents can be left within his/her reach because s/he is not likely to tamper with them.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq032","Integer","","Recommended","32.  Rarely repeats previously prohibited behavior even if adult is not present.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq033","Integer","","Recommended","33. Likely to show spontaneous nurturing and caregiving behavior towards an animal.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq034","Integer","","Recommended","34. Seems relieved when given an opportunity to repair a damage s/he has caused.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq035","Integer","","Recommended","35.  It is enough to prohibit something once and s/he will probably not do it even when alone.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq036","Integer","","Recommended","36.  May confess to doing something inappropriate even if unlikely to be found out.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq037","Integer","","Recommended","37.  After having been disobedient, wants reassurance that parent is no longer angry with him/her.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq038","Integer","","Recommended","38.  Is upset by criticism.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq039","Integer","","Recommended","39.  Shows interest when TV or story characters act disobedient.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq040","Integer","","Recommended","40.  His/her feelings are not easily hurt by criticism.","1::7","1=Extremely True; 2=Quite True; 3=Slightly True; 4=Neither True Nor Untrue; 5=Slightly Untrue; 6=Quite Untrue; 7=Extremely Untrue",""
"cgq041","Integer","","Recommended","41.  Will try to stop another child from getting into trouble.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
"cgq042","Integer","","Recommended","42.  Can tell at just a glance how others are feeling.","1::7","1=Extremely Untrue; 2=Quite Untrue; 3=Slightly Untrue; 4=Neither True Nor Untrue; 5=Slightly True; 6=Quite True; 7=Extremely True",""
