"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"med_anx_sed_hyp","Integer","","Recommended","Prescribed an Anxiolytic, Sedative, or Hypnotic Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_antidep","Integer","","Recommended","Prescribed an Antidepressant Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_antipark","Integer","","Recommended","Prescribed an Antiparkinsonian Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_antipsych","Integer","","Recommended","Prescribed an Antipsychotic Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_mood_stab","Integer","","Recommended","Prescribed a Mood Stabilizer Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_non_stim_adhd","Integer","","Recommended","Prescribed a Non-Stimulant ADHD  Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_other_psych","Integer","","Recommended","Prescribed a Psychotropic  Medication not otherwise categorized?","0 :: 1","0 = No; 1 = Yes",""
"med_stim","Integer","","Recommended","Prescribed a Stimulant  Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_acne","Integer","","Recommended","Prescribed an Acne Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_allergy","Integer","","Recommended","Prescribed an Allergy Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_anticonv","Integer","","Recommended","Prescribed an Anticonvulsant Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_antidiur","Integer","","Recommended","Prescribed an Antidiuretic Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_antimig","Integer","","Recommended","Prescribed an Antimigraine Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_asthma","Integer","","Recommended","Prescribed an Asthma Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_birth_con","Integer","","Recommended","Prescribed a Bith Control Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_diabetes","Integer","","Recommended","Prescribed a Diabetes Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_gi","Integer","","Recommended","Prescribed a Gastrointestinal Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_hiv","Integer","","Recommended","Prescribed an HIV Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_hormone","Integer","","Recommended","Prescribed a Hormone Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_hyperten","Integer","","Recommended","Prescribed an Antihypertensive Medication?","0 :: 1","0 = No; 1 = Yes",""
"med_nsaid_analgesic","Integer","","Recommended","Prescribed an NSAID/Analgesic Medication?","0 :: 1","0 = No; 1 = Yes",""
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
