"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","Charge_familymedhist_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","Charge_familymedhist_interview_age"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","Charge_familymedhist_SRC_Subject_ID"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","Charge_familymedhist_comments_misc"
"child_foodallergy","String","50","Required","Does the Child have a food allergy?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_foodallergy"
"child_foodallergy_cmt","String","255","Recommended","Specific food items the Child is allergic to","","","Charge_familymedhist_child_foodallergy_cmt"
"child_skinallergy","String","50","Required","Does the Child have a skin allergy?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_skinallergy"
"child_allergy_skinallergy_cmt","String","255","Recommended","Specific skin items the Child is allergic to","","","Charge_familymedhist_child_allergy_skinallergy_cmt"
"child_eczema","String","50","Recommended","Does the Child have Eczema?","Yes;No","","Charge_familymedhist_child_eczema"
"child_envallergy","String","50","Required","Does the Child have an environmental allergy?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_envallergy"
"child_envallergy_cmt","String","255","Recommended","Specific environmental items the Child is allergic to","","","Charge_familymedhist_child_envallergy_cmt"
"child_medallergy","String","50","Required","Does the Child have a medication allergy?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_medallergy"
"child_medallergy_cmt","String","255","Recommended","Specific medication items the Child is allergic to","","","Charge_familymedhist_child_medallergy_cmt"
"child_otherallergy","String","50","Required","Does the Child have any other allergies?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_otherallergy"
"child_otherallergy_cmt","String","255","Recommended","Specific other items the Child is allergic to","","","Charge_familymedhist_child_otherallergy_cmt"
"child_autism","String","50","Required","Does the Child have Autism?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_autism"
"child_aspergers","String","50","Required","Does the Child have Asperger's Syndrome?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_aspergers"
"child_retts","String","50","Required","Does the Child have Rett's Syndrome?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_retts"
"child_pddnos","String","50","Required","Does the Child have PDD-NOS (Pervasive Development Disorder-Not Otherwise Specified)?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_pddnos"
"child_speechdelay","String","50","Recommended","Does (did) the Child have a Speech/Language Delay?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_speechdelay"
"child_devdelay","String","50","Recommended","Does (did) the Child have a Developmental Delay?","Yes;No; NK","","Charge_familymedhist_child_devdelay"
"child_learndis","String","50","Required","Does (did) the Child have a Learning Disability?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_learndis"
"child_seizure","String","50","Required","Has she/he ever been to a doctor for any of these things…Epilepsy or Seizures /Epilepsia o convulsiones","Yes;No;999","Now I'd like to ask you about your child's use of health services during the past year and throughout his/her whole life.","Charge_familymedhist_child_seizure"
"child_cerpalsy","String","50","Required","Does (did) the Child have Cerebral Palsy?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_cerpalsy"
"child_downssynd","String","50","Required","Does (did) the Child have Down's Syndrome?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_downssynd"
"child_mentalret","String","50","Recommended","Does (did) the Child have Mental Retardation?","Yes;No","","Charge_familymedhist_child_mentalret"
"child_tuberscl","String","50","Required","Does (did) the Child have Tuberous Sclerosis?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_tuberscl"
"child_fragilex","String","50","Required","Does (did) the Child have Fragile X?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_fragilex"
"child_neuromuscdis","String","50","Recommended","Does (did) the Child have a Neuromuscular Disorder?","Yes;No","","Charge_familymedhist_child_neuromuscdis"
"child_geneticdis","String","50","Recommended","Does (did) the Child have a Genetic Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_geneticdis"
"child_geneticdis_cmt","String","255","Recommended","Specify Child's Genetic Disorder","","","Charge_familymedhist_child_geneticdis_cmt"
"child_geneticdistest","String","50","Recommended","Was testing done for the Child's Genetic Disorder?","Yes;No","","Charge_familymedhist_child_geneticdistest"
"child_geneticdistest_cmt","String","255","Recommended","Specify tests","","","Charge_familymedhist_child_geneticdistest_cmt"
"child_visionimp","String","50","Recommended","Does the Child have a vision impairment?","Yes;No; NK","NK = Not known","Charge_familymedhist_child_visionimp"
"child_visioncor","String","50","Recommended","Has the child's vision impairment been corrected?","Yes;No","","Charge_familymedhist_child_visioncor"
"child_hearingimp","String","50","Recommended","Does the Child have a hearing impairment?","Yes;No; NK","NK = Not known","Charge_familymedhist_child_hearingimp"
"child_hearingcor","String","50","Recommended","Has the child's hearing impairment been corrected?","Yes;No","","Charge_familymedhist_child_hearingcor"
"child_bipolar","String","50","Required","Does (did) the Child have a Bipolar Disorder?","Yes;No;NK;NS;Probable; Refused","NK= Not known; NS = Not sure","Charge_familymedhist_child_bipolar"
"child_depression","String","50","Required","Does (did) the Child have Depression?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_depression"
"child_anxiety","String","50","Recommended","Does (did) the Child have an Anxiety Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_anxiety"
"child_ocd","String","50","Required","Does (did) the Child have Obsessive Compulsive Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_ocd"
"child_schizophrenia","String","50","Required","Does (did) the Child have Schizophrenia?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_schizophrenia"
"child_persondis","String","50","Recommended","Does (did) the Child have a Personality Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_persondis"
"child_persondis_cmt","String","255","Recommended","Specify Child's Personality Disorder","","","Charge_familymedhist_child_persondis_cmt"
"child_selfinj","String","50","Recommended","Does (did) the Child have Self-Injuring Behavior?","Yes;No","","Charge_familymedhist_child_selfinj"
"child_suicideatt","String","50","Recommended","Has the Child Attempted Suicide?","Yes;No","","Charge_familymedhist_child_suicideatt"
"child_otherpsychdis","String","50","Recommended","Does (did) the Child have a Psychiatric Disorder?","Yes;No","","Charge_familymedhist_child_otherpsychdis"
"child_otherpsychdis_cmt","String","255","Recommended","Specify Child's Psychiatric Disorder","","","Charge_familymedhist_child_otherpsychdis_cmt"
"child_adhd","String","50","Required","Does (did) the Child have Attention Deficit Hyperactivity Disorder (ADHD)?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_adhd"
"child_eatingdis","String","50","Recommended","Does (did) the Child have an Eating Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_eatingdis"
"child_eatingdis_cmt","String","255","Recommended","Specify Child's Eating Disorder","","","Charge_familymedhist_child_eatingdis_cmt"
"child_sleepdis","String","50","Recommended","Does (did) the Child have a Sleep Disorder?","Yes;No","","Charge_familymedhist_child_sleepdis"
"child_sleepdis_cmt","String","255","Recommended","Does (did) the Child have a Sleep Disorder?Specify Type","","","Charge_familymedhist_child_sleepdis_cmt"
"child_abusevic","String","50","Recommended","Is the Child a Victim of Abuse?","Yes;No","","Charge_familymedhist_child_abusevic"
"child_subabuse","String","50","Recommended","Is the Child Substance of Abuse?","Yes;No","","Charge_familymedhist_child_subabuse"
"child_subabuse_cmt","String","255","Recommended","Specify Child's Substance Abuse","","","Charge_familymedhist_child_subabuse_cmt"
"child_migraine","String","50","Required","Does the Child have Migraine Headaches?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_migraine"
"child_ibs","String","50","Required","Does the Child have Irritable Bowel Syndrome?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_ibs"
"child_othergidis","String","50","Recommended","Does the Child have any Other Gastrointestinal Disorders?","Yes;No","","Charge_familymedhist_child_othergidis"
"child_cancer","String","50","Recommended","Does the Child have Cancer?","Yes;No","","Charge_familymedhist_child_cancer"
"child_cancer_cmt","String","255","Recommended","Specify Child's Cancer type","","","Charge_familymedhist_child_cancer_cmt"
"child_congenitaldef","String","50","Recommended","Does the Child have a Congenital Defect (Cleft palate, cleft lip, other)?","Yes; No; NK; NS","NK= Not known; NS = Not sure","Charge_familymedhist_child_congenitaldef"
"child_congenitaldef_cmt","String","255","Recommended","Specify Child's Congenital Defect type","","","Charge_familymedhist_child_congenitaldef_cmt"
"child_obesity","String","50","Recommended","Does the Child have Obesity?","Yes;No","","Charge_familymedhist_child_obesity"
"child_sicklecell","String","50","Recommended","Does the Child have Sickle Cell Anemia?","Yes;No","","Charge_familymedhist_child_sicklecell"
"child_thyroiddis","String","50","Required","Does the Child have Thyroid Disease?","Yes;No;999","999=NA/missing","Charge_familymedhist_child_thyroiddis"
"child_othercond1","String","50","Recommended","Did the child have Other Condition - 1","Yes;No","","Charge_familymedhist_child_othercond1,othercondname1"
"child_othercond2","String","50","Recommended","Did the child have Other Condition - 2","Yes;No","","Charge_familymedhist_child_othercond2"
"child_othercond3","String","50","Recommended","Did the child have Other Condition - 3","Yes;No","","Charge_familymedhist_child_othercond3"
"child_othercond4","String","50","Recommended","Did the child have Other Condition - 4","Yes;No","","Charge_familymedhist_child_othercond4"
"other_condname1","String","255","Recommended","Name Other Condition - 1","","","Charge_familymedhist_other_condname1"
"other_condname2","String","255","Recommended","Name Other Condition - 2","","","Charge_familymedhist_other_condname2"
"other_condname3","String","255","Recommended","Name Other Condition - 3","","","Charge_familymedhist_other_condname3"
"other_condname4","String","255","Recommended","Name Other Condition - 4","","","Charge_familymedhist_other_condname4"
"mother_foodallergy","String","50","Recommended","Does the Child's Mother have a food allergy?","Yes;No","","Charge_familymedhist_mother_foodallergy"
"mother_foodallergy_cmt","String","255","Recommended","Specific food items the Mother is allergic to","","","Charge_familymedhist_mother_foodallergy_cmt"
"mother_foodallergy_age","Integer","","Recommended","Age at which the mother's food allergy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_foodallergy_age"
"mother_foodallergy_preg","String","50","Recommended","Did the mother have the food allergy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_foodallergy_preg"
"mother_skinallergy","String","50","Recommended","Does the Child's Mother have a skin allergy?","Yes;No","","Charge_familymedhist_mother_skinallergy"
"mother_skinallergy_cmt","String","255","Recommended","Specific skin items the Mother is allergic to","","","Charge_familymedhist_mother_skinallergy_cmt"
"mother_skinallergy_age","Integer","","Recommended","Age at which the mother's skin allergy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_skinallergy_age"
"mother_skinallergy_preg","String","50","Recommended","Did the mother have the skin allergy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_skinallergy_preg"
"mother_eczema","String","50","Recommended","Does the Child's Mother have Eczema?","Yes;No","","Charge_familymedhist_mother_eczema"
"mother_eczema_age","Integer","","Recommended","Age at which the mother's eczema first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_eczema_age"
"mother_eczema_preg","String","50","Recommended","Did the mother have eczema while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_eczema_preg"
"mother_envallergy","String","50","Recommended","Does the Child's Mother have an environmental allergy?","Yes;No","","Charge_familymedhist_mother_envallergy"
"mother_envallergy_cmt","String","255","Recommended","Specific environmental items the Mother is allergic to","","","Charge_familymedhist_mother_envallergy_cmt"
"mother_envallergy_age","Integer","","Recommended","Age at which the mother's environmental allergy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_envallergy_age"
"mother_envallergy_preg","String","50","Recommended","Did the mother have the environmental allergy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_envallergy_preg"
"mother_medallergy","String","50","Recommended","Does the Child's Mother have a medication allergy?","Yes;No","","Charge_familymedhist_mother_medallergy"
"mother_medallergy_cmt","String","255","Recommended","Specific medication items the Mother is allergic to","","","Charge_familymedhist_mother_medallergy_cmt"
"mother_medallergy_age","Integer","","Recommended","Age at which the mother's medication allergy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_medallergy_age"
"mother_medallergy_preg","String","50","Recommended","Did the mother have the medication allergy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_medallergy_preg"
"mother_otherallergy","String","50","Recommended","Does the Child's Mother have any other allergies?","Yes;No","","Charge_familymedhist_mother_otherallergy"
"mother_otherallergy_cmt","String","255","Recommended","Specific other items the Mother is allergic to","","","Charge_familymedhist_mother_otherallergy_cmt"
"mother_otherallergy_age","Integer","","Recommended","Age at which the mother's other allergy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_otherallergy_age"
"mother_otherallergy_preg","String","50","Recommended","Did the mother have the other allergy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_otherallergy_preg"
"mother_autism","String","50","Recommended","Does the Child's Mother have Autism?","Yes;No","","Charge_familymedhist_mother_autism"
"mother_autism_age","Integer","","Recommended","Age at which the mother's Autism first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_autism_age"
"mother_autism_preg","String","50","Recommended","Did the mother have Autism while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_autism_preg"
"mother_aspergers","String","50","Recommended","Does the Child's Mother have Asperger's Syndrome?","Yes;No","","Charge_familymedhist_mother_aspergers"
"mother_aspergers_age","Integer","","Recommended","Age at which the mother's Asperger's Syndrome first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_aspergers_age"
"mother_aspergers_preg","String","50","Recommended","Did the mother have Asperger's Syndrome while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_aspergers_preg"
"mother_retts","String","50","Recommended","Does the Child's Mother have Rett's Syndrome?","Yes;No","","Charge_familymedhist_mother_retts"
"mother_retts_age","Integer","","Recommended","Age at which the mother's Rett's Syndrome first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_retts_age"
"mother_retts_preg","String","50","Recommended","Did the mother have Rett's Syndrome while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_retts_preg"
"mother_pddnos","String","50","Recommended","Does the Child's Mother have PDD-NOS (Pervasive Development Disorder-Not Otherwise Specified)?","Yes;No","","Charge_familymedhist_mother_pddnos"
"mother_pddnos_age","Integer","","Recommended","Age at which the mother's PDD-NOS first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_pddnos_age"
"mother_pddnos_preg","String","50","Recommended","Did the mother have PDD-NOS while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_pddnos_preg"
"mother_speechdelay","String","50","Recommended","Does (did) the Child's Mother have a Speech/Language Delay?","Yes; No; 77; 99; -999","77=N/A; 99= DK; -999 =missing","Charge_familymedhist_mother_speechdelay"
"mother_speechdelay_age","Integer","","Recommended","Age at which the mother's Speech/Language Delay first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_speechdelay_age"
"mother_speechdelay_preg","String","50","Recommended","Did the mother have a Speech/Language Delay while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_speechdelay_preg"
"mother_devdelay","String","50","Recommended","Does (did) the Child's Mother have a Developmental Delay?","Yes; No; -999","","Charge_familymedhist_mother_devdelay"
"mother_devdelay_age","Integer","","Recommended","Age at which the mother's Developmental Delay first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_devdelay_age"
"mother_devdelay_preg","String","50","Recommended","Did the mother have a Developmental Delay while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_devdelay_preg"
"mother_learndis","String","50","Recommended","Does (did) the Child's Mother have a Learning Disability?","Yes; No; -999","","Charge_familymedhist_mother_learndis"
"mother_learndis_age","Integer","","Recommended","Age at which the mother's Learning Disability first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_learndis_age"
"mother_learndis_preg","String","50","Recommended","Did the mother have a Learning Disability while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_learndis_preg"
"mother_seizure","String","50","Recommended","Does (did) the Child's Mother have Seizure Disorder/Epilepsy?","Yes;No","","Charge_familymedhist_mother_seizure"
"mother_seizure_age","Integer","","Recommended","Age at which the mother's Seizure Disorder/Epilepsy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_seizure_age"
"mother_seizure_preg","String","50","Recommended","Did the mother have Seizure Disorder/Epilepsy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_seizure_preg"
"mother_cerpalsy","String","50","Recommended","Does (did) the Child's Mother have Cerebral Palsy?","Yes;No","","Charge_familymedhist_mother_cerpalsy"
"mother_cerpalsy_age","Integer","","Recommended","Age at which the mother's Cerebral Palsy first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_cerpalsy_age"
"mother_cerpalsy_preg","String","50","Recommended","Did the mother have Cerebral Palsy while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_cerpalsy_preg"
"mother_downssynd","String","50","Recommended","Does (did) the Child's Mother have Down's Syndrome?","Yes;No","","Charge_familymedhist_mother_downssynd"
"mother_downssynd_age","Integer","","Recommended","Age at which the mother's Down's Syndrome first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_downssynd_age"
"mother_downssynd_preg","String","50","Recommended","Did the mother have Down's Syndrome while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_downssynd_preg"
"mother_mentalret","String","50","Recommended","Does (did) the Child's Mother have Mental Retardation?","Yes;No","","Charge_familymedhist_mother_mentalret"
"mother_mentalret_age","Integer","","Recommended","Age at which the mother's Mental Retardation first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_mentalret_age"
"mother_mentalret_preg","String","50","Recommended","Did the mother have Mental Retardation while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_mentalret_preg"
"mother_tuberscl","String","50","Recommended","Does (did) the Child's Mother have Tuberous Sclerosis?","Yes; No; -999","","Charge_familymedhist_mother_tuberscl"
"mother_tuberscl_age","Integer","","Recommended","Age at which the mother's Tuberous Sclerosis first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_tuberscl_age"
"mother_tuberscl_preg","String","50","Recommended","Did the mother have Tuberous Sclerosis while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_tuberscl_preg"
"mother_fragilex","String","50","Recommended","Does (did) the Child's Mother have Fragile X?","Yes; No; 77; 99; -999","77=N/A; 99= DK; -999 =missing","Charge_familymedhist_mother_fragilex"
"mother_fragilex_age","Integer","","Recommended","Age at which the mother's Fragile X first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_fragilex_age"
"mother_fragilex_preg","String","50","Recommended","Did the mother have Fragile X while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_fragilex_preg"
"mother_neuromuscdis","String","50","Recommended","Does (did) the Child's Mother have a Neuromuscular Disorder?","Yes;No","","Charge_familymedhist_mother_neuromuscdis"
"mother_neuromuscdis_age","Integer","","Recommended","Age at which the mother's Neuromuscular Disorder first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_neuromuscdis_age"
"mother_neuromuscdis_preg","String","50","Recommended","Did the mother have a Neuromuscular Disorder while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_neuromuscdis_preg"
"mother_geneticdis","String","50","Recommended","Does (did) the Child's Mother have a Genetic Disorder?","Yes;No","","Charge_familymedhist_mother_geneticdis"
"mother_geneticdis_cmt","String","255","Recommended","Specify mother's Genetic Disorder","","","Charge_familymedhist_mother_geneticdis_cmt"
"mother_geneticdis_age","Integer","","Recommended","Age at which the mother's Genetic Disorder first appeared(in months)","0 :: 1200","","Charge_familymedhist_mother_geneticdis_age"
"mother_geneticdis_preg","String","50","Recommended","Did the mother have a Genetic Disorder while pregnant with the child?","Yes;No","","Charge_familymedhist_mother_geneticdis_preg"
"mother_geneticdistest","String","50","Recommended","Was testing done for the mother's Genetic Disorder?","Yes;No","","Charge_familymedhist_mother_geneticdistest"
"mother_geneticdistest_cmt","String","255","Recommended","Specify tests","","","Charge_familymedhist_mother_geneticdistest_cmt"
"mother_geneticdistest_age","Integer","","Recommended","Age at which the mother's tests were done(in months)","0 :: 1200","","Charge_familymedhist_mother_geneticdistest_age"
