"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","interviewyear"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"grade","String","50","Recommended","Current Grade","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"race","String","100","Recommended","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","",""
"ethnicity","String","30","Recommended","Ethnicity of participant","Hispanic or Latino; Not Hispanic or Latino; Unknown","",""
"chia_1","Integer","","Recommended","1. Your mother calls you to dinner in the middle of your favorite TV show.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_2","Integer","","Recommended","2. Your bike has a flat tire.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_3","Integer","","Recommended","3. Your brother or sister or friend ignores you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_4","Integer","","Recommended","4. You clean up your room and what to go out to play. Your mom says you have to clean some more.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_5","Integer","","Recommended","5. You have to do a job that your brother or sister was supposed to do.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_6","Integer","","Recommended","6. You want to go somewhere with a friend. Your dad says ""No"" for no reason.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_7","Integer","","Recommended","7. The teacher's pet gets to do all the fun jobs in class.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_8","Integer","","Recommended","8. In a game, someone on the other side tries to cheat.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_9","Integer","","Recommended","9. Someone bumps your desk on purpose and you mess up your work.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_10","Integer","","Recommended","10. You are playing a game and someone on the other side tries to punch you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_11","Integer","","Recommended","11. Someone spits at you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_12","Integer","","Recommended","12. You get a piece of pie at lunch and someone knocks it out of your hand.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_13","Integer","","Recommended","13. Somebody calls you a ""chicken"".","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_14","Integer","","Recommended","14. You want to show someone a new trick on your bike and you can't do it.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_15","Integer","","Recommended","15. You put all your change in the soda machine. It takes your money, but you don't get a drink.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_16","Integer","","Recommended","16. A teacher gives you a lot of homework on the weekend.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_17","Integer","","Recommended","17. Someone says that you are not old enough to do something.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_18","Integer","","Recommended","18. Someone turns the TV to another channel when you are watching a show.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_19","Integer","","Recommended","19. Your brother or sister says ""No"" when you ask for something.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_20","Integer","","Recommended","20. Your friends are playing a game and they won't let you play.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_21","Integer","","Recommended","21. Somebody says ""I told you so"" after something goes wrong.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_22","Integer","","Recommended","22. Your mom or dad slaps you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_23","Integer","","Recommended","23. Someone puts gum on your seat on the bus and you sit on it.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_24","Integer","","Recommended","24. You bump into a stranger on the bus. He says he will beat you up if you get near him again.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_25","Integer","","Recommended","25. Someone cuts in front of you in line.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_26","Integer","","Recommended","26. You brought your favorite candy bar in your lunch. When you go to eat it, it's melted.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_27","Integer","","Recommended","27. Your mom won't buy your favorite cereal.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_28","Integer","","Recommended","28. On your bike, you come to a steep hill. You have to get off the bike and walk it all the way up the hill.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_29","Integer","","Recommended","29. Your mom says she does not want you to play with one of your friends.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_30","Integer","","Recommended","30. Your dad yells at you in front of other people.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_31","Integer","","Recommended","31. You don't have any homework, but your mom makes you study anyway.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_32","Integer","","Recommended","32. You do something special for a friend and he or she won't do anything for you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_33","Integer","","Recommended","33. Your friends pick you last to be on a team.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_34","Integer","","Recommended","34. Your friend gets what he or she wants for Christmas, but you don't.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_35","Integer","","Recommended","35. Two bigger kids come and take your basketball and play ""Keep Away"" with it.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_36","Integer","","Recommended","36. Somebody punches you.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_37","Integer","","Recommended","37. Someone tries to trip you on purpose.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_38","Integer","","Recommended","38. You have to do your homework and your brother or sister gets to watch TV.","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_39","Integer","","Recommended","39. You have to go to bed at 9:30 and your friends get to stay up until 10:30 or 11:00","1::4; 999","1=I don't care; 2=that bothers me; 3=I'm really mad; 4=I can't stand that",""
"chia_frust_score","Integer","","Required","Frustration raw score","","",""
"chia_frust_tscore","Integer","","Required","Frustration T score","","",""
"chia_physical_score","Integer","","Required","Physical Aggression raw score","","",""
"chia_physical_tscore","Integer","","Required","Physical Aggression T score","","",""
"chia_peer_score","Integer","","Required","Peer Relationships raw score","","",""
"chia_peer_tscore","Integer","","Required","Peer Relationships T score","","",""
"chia_authority_score","Integer","","Required","Authority Relations raw score","","",""
"chia_authority_tscore","Integer","","Required","Authority Relations T score","","",""
"chia_totalscore","Integer","","Required","ChIA total raw score","","",""
"chia_tscore","Integer","","Required","ChIA total T score","","",""
"chia_inc","Integer","","Recommended","INC Raw Score","","",""
