"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"caps1","Integer","","Recommended","I try to be perfect in everything I do.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps2","Integer","","Recommended","I want to be the best at everything I do.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps3","Integer","","Recommended","My parents don't always expect me to be perfect in everything I do.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps4","Integer","","Recommended","I feel that I have to do my best all the time.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps5","Integer","","Recommended","There are people in my life who expect me to be perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps6","Integer","","Recommended","I always try for the top score on a test.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps7","Integer","","Recommended","It really bothers me if I don't do my best all the time.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps8","Integer","","Recommended","My family expects me to be perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps9","Integer","","Recommended","I don't always try to be the best.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps10","Integer","","Recommended","People expect more from me than I am able to give.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps11","Integer","","Recommended","I get mad at myself when I make a mistake.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps12","Integer","","Recommended","Other people think that I have failed if I do not do my very best all the time.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps13","Integer","","Recommended","Other people always expect me to be perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps14","Integer","","Recommended","I get upset if there is even one mistake in my work.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps15","Integer","","Recommended","People around me expect me to be great at everything.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps16","Integer","","Recommended","When I do something, it has to be perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps17","Integer","","Recommended","My teachers expect my work to be perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps18","Integer","","Recommended","I do not have to be the best at everything I do.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps19","Integer","","Recommended","I am always expected to do better than others.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps20","Integer","","Recommended","Even when I pass, I feel that I have failed if I didn't get one of the highest marks in the class.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps21","Integer","","Recommended","I feel that people ask too much of me.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps22","Integer","","Recommended","I can't stand to be less than perfect.","1::5","1=False - Not at all true of me; 2=Mostly false; 3=Neither true nor false; 4=Mostly true; 5=Very true of me",""
"caps_sop","Integer","","Recommended","CAPS Self-oriented perfectionism sub score","0::60","The Self-oriented Perfectionism subscale is scored by summing the following items: 1; 2; 4; 6; 7; 9; 11; 14; 16; 18; 20; 22",""
"caps_spp","Integer","","Recommended","CAPS Socially prescribed perfectionism sub score","0::50","The Socially Prescribed Perfectionism subscale is scored by summing the following items: 3; 5; 8; 10; 12; 13; 15; 17; 19; 21",""
