"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id,subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","CDI_1_Date,cdi_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","cdi_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","cdi_gender,gender,sex"
"grade","String","50","Recommended","Current Grade","","",""
"child_depress01","Integer","","Recommended","Past Two Weeks - Item 1","0 :: 2;  -99; 77; 88","0 = I am sad once in a while; 1 = I am sad many times; 2 = I am sad all the time;-99= N/A ; 77= Refused ; 88= Missing","cd1,cdi_1,cdic1"
"child_depress02","Integer","","Recommended","Past Two Weeks - Item 2","0 :: 2;  -99; 77; 88","0 = Nothing will ever work out for me; 1 = I am not sure if things will work out for me; 2 = Things will work out for me OK; -99= N/A ; 77= Refused ; 88= Missing","cd2,cdi_2,cdic2"
"child_depress03","Integer","","Recommended","Past Two Weeks - Item 3","0 :: 2;  -99; 77; 88","0 = I do most things OK; 1 = I do many things wrong; 2 = I do everything wrong; -99= N/A ; 77= Refused ; 88= Missing","cd3,cdi_3,cdic3"
"child_depress04","Integer","","Recommended","Past Two Weeks - Item 4","0 :: 2;  -99; 77; 88","0 = I have fun in many things; 1 = I have fun in some things; 2 = Nothing is fun at all;-99= N/A ; 77= Refused ; 88= Missing","cd4,cdi_4,cdic4"
"child_depress05","Integer","","Recommended","Past Two Weeks - Item 5","0 :: 2;  -99; 77; 88","0 = I am bad all the time; 1 = I am bad many times; 2 = I am bad once in a while; -99= N/A ; 77= Refused ; 88= Missing","cd5,cdic5"
"child_depress06","Integer","","Recommended","Past Two Weeks - Item 6","0 :: 2;  -99; 77; 88","0 = I think about bad things happening to me once in a while; 1= I worry that bad things will happen to me; 2 = I am sure that terrible things will happen to me; -99= N/A ; 77= Refused ; 88= Missing","cd6,cdi_6,cdic6"
"child_depress07","Integer","","Recommended","Past Two Weeks - Item 7","0 :: 2;  -99; 77; 88","0 = I hate myself; 1 = I do not like myself; 2 = I like myself; -99= N/A ; 77= Refused ; 88= Missing","cd7,cdi_6,cdic7"
"child_depress08","Integer","","Recommended","Past Two Weeks - Item 8","0 :: 2;  -99; 77; 88","0 = All bad things are my fault; 1 = Many bad things are my fault; 2 = Bad things are not usually my fault; -99= N/A ; 77= Refused ; 88= Missing","cd8,cdic8"
"child_depress09","Integer","","Recommended","Past Two Weeks - Item 9","0 :: 2;  -99; 77; 88","0 = I do not think about killing myself; 1 = I think about killing myself but would not do it; 2 = I want to kill myself; -99= N/A ; 77= Refused ; 88= Missing","cd9,cdi_9,cdic9"
"child_depress10","Integer","","Recommended","Past Two Weeks - Item 10","0 :: 2;  -99; 77; 88","0 = I feel like crying every day; 1 = I feel like crying many days; 2 = I feel like crying once in a while; -99= N/A ; 77= Refused ; 88= Missing","cd10,cdi_10,cdic10"
"child_depress11","Integer","","Recommended","Past Two Weeks - Item 11","0 :: 2;  -99; 77; 88","0 = Things bother me all the time; 1 = Things bother me many times; 2 = Things bother me once in a while; -99= N/A ; 77= Refused ; 88= Missing","cd11,cdi_11,cdic11"
"child_depress12","Integer","","Recommended","Past Two Weeks - Item 12","0 :: 2;  -99; 77; 88","0 = I like being with people; 1 = I do not like being with people many times; 2 = I do not want to be with people at all; -99= N/A ; 77= Refused ; 88= Missing","cd12,cdi_12,cdic12"
"child_depress13","Integer","","Recommended","Past Two Weeks - Item 13","0 :: 2;  -99; 77; 88","0 = I cannot make up my mind about things; 1 = It is hard to make up my mind about things; 2 = I make up my mind about things easily; -99= N/A ; 77= Refused ; 88= Missing","cd13,cdi_8,cdic13"
"child_depress14","Integer","","Recommended","Past Two Weeks - Item 14","0 :: 2;  -99; 77; 88","0 = I look OK; 1 = There are some bad things about my looks; 2 = I look ugly; -99= N/A ; 77= Refused ; 88= Missing","cd14,cdi_14,cdic14"
"child_depress15","Integer","","Recommended","Past Two Weeks - Item 15","0 :: 2;  -99; 77; 88","0 = I have to push myself all the time to do my schoolwork; 1 = I have to push myself many times to do my schoolwork; 2 = Doing schoolwork is not a big problem; -99= N/A ; 77= Refused ; 88= Missing","cd15,cdi_9,cdic15"
"child_depress16","Integer","","Recommended","Past Two Weeks - Item 16","0 :: 2;  -99; 77; 88","0 = I have trouble sleeping every night; 1 = I have trouble sleeping many nights; 2 = I sleep pretty well; -99= N/A ; 77= Refused ; 88= Missing","cd16,cdic16"
"child_depress17","Integer","","Recommended","Past Two Weeks - Item 17","0 :: 2;  -99; 77; 88","0 = I am tired once in a while; 1 = I am tired many days; 2 = I am tired all the time; -99= N/A ; 77= Refused ; 88= Missing","cd17,cdi_10,cdi_17,cdic17"
"child_depress18","Integer","","Recommended","Past Two Weeks - Item 18","0 :: 2;  -99; 77; 88","0 = Most days I do not feel like eating; 1 = Many days I do not feel like eating; 2 = I eat pretty well; -99= N/A ; 77= Refused ; 88= Missing","cd18,cdi_11,cdic18"
"child_depress19","Integer","","Recommended","Past Two Weeks - Item 19","0 :: 2;  -99; 77; 88","0 = I do not worry about aches and pains; 1 = I worry about aches and pains many times; 2= I worry about aches and pains all the time; -99= N/A ; 77= Refused ; 88= Missing","cd19,cdi_19,cdic19"
"child_depress20","Integer","","Recommended","Past Two Weeks - Item 20","0 :: 2;  -99; 77; 88","0 = I do not feel alone; 1 = I feel alone many times; 2 = I feel alone all the time; -99= N/A ; 77= Refused ; 88= Missing","cd20,cdi_12,cdi_20,cdic20"
"child_depress21","Integer","","Recommended","Past Two Weeks - Item 21","0 :: 2;  -99; 77; 88","0 = I never have fun at school; 1 = I have fun at school only once in a while; 2= I have fun at school many times; -99= N/A ; 77= Refused ; 88= Missing","cd21,cdic21"
"child_depress22","Integer","","Recommended","Past Two Weeks - Item 22","0 :: 2;  -99; 77; 88","0 = I have plenty of friends; 1 = I have some friends but I wish I had more; 2 = I do not have any friends; -99= N/A ; 77= Refused ; 88= Missing","cd22,cdi_22,cdic22"
"child_depress23","Integer","","Recommended","Past Two Weeks - Item 23","0 :: 2;  -99; 77; 88","0 = My schoolwork is alright; 1 = My schoolwork is not as good as before; 2 = I do very badly in subjects I used to be good in; -99= N/A ; 77= Refused ; 88= Missing","cd23,cdi_23,cdic23"
"child_depress24","Integer","","Recommended","Past Two Weeks - Item 24","0 :: 2;  -99; 77; 88","0 = I can never be as good as other kids; 1 = I can be as good as other kids if I want to; 2 = I am just as good as other kids; -99= N/A ; 77= Refused ; 88= Missing","cd24,cdic24"
"child_depress25","Integer","","Recommended","Past Two Weeks - Item 25","0 :: 2;  -99; 77; 88","0 = Nobody really loves me; 1 = I am not sure if anybody loves me; 2 = I am sure that somebody loves me; -99= N/A ; 77= Refused ; 88= Missing","cd25,cdic25"
"child_depress26","Integer","","Recommended","Past Two Weeks - Item 26","0 :: 2;  -99; 77; 88","0 = I usually do what I am told; 1 = I do not do what I am told most times; 2 = I never do what I am told; -99= N/A ; 77= Refused ; 88= Missing","cd26,cdi_26,cdic26"
"child_depress27","Integer","","Recommended","Past Two Weeks - Item 27","0 :: 2;  -99; 77; 88","0 = I get along with people; 1 = I get into fights many times; 2 = I get into fights all the time; -99= N/A ; 77= Refused ; 88= Missing","cd27,cdi_27,cdic27"
"child_depress_a_score","Integer","","Required","Negative Mood - Total Score","0 :: 100; 99999","99999 = missing","NegativeMoodT,cdanegmt,cdi_negmood"
"child_depress_b_score","Integer","","Required","Interpersonal Problems - Total Score","0 :: 100; 99999","99999 = missing","CDI_1_InterpersonalT,cdbintt,cdi_interpprob"
"child_depress_c_score","Integer","","Required","Ineffectiveness - Total Score","0 :: 100; 99999","99999 = missing","CDI_1_IneffectivenessT,cdcineft,cdi_ineffect"
"child_depress_d_score","Integer","","Required","Anhedonia - Total Score","0 :: 100; 99999","99999 = missing","CDI_1_AnhedoniaT,cddanhet,cdi_anhedonia"
"child_depress_e_score","Integer","","Required","Negative Self-Esteem - Total Score","0 :: 100; 99999","99999 = missing","CDI_1_NegSelfT,cdeslfst,cdi_negselfesteem"
"child_depress_total","Integer","","Required","Total Score","0 :: 100; 99999","99999 = missing","CDI_1_TotalT,cdtotalt,totalcdi"
"days_baseline","Integer","","Recommended","Days since baseline","","","daycdi"
"assbdic","String","5","Recommended","Assessment Point","D;14;E;24;LB;36;72;96;120; 9; B; 3; 7; 144; 168;192; C","D=MTA baseline assessment; 14=MTA 14 month assessment; E=MTA early termination assessment; B = MTA Pre-Baseline Screening Assessment (579/579); 09 = MTA 9 Month Assessment (530/530); 24=MTA 24 month assessment; LB=LNCG baseline assessment; 36=MTA and LNCG 3 year assessment; 72=MTA and LNCG 6 year assessment; 96=MTA and LNCG 8 year assessment; 03 = MTA 3 Month Assessment (438/687);120=MTA and LNCG 10 year assessment; 7= 7th Grade Assessment (221/276); 144 = MTA & LNCG 12 Month Assessment (578/578); 168 = MTA & LNCG 14 Month Assessment (585/585); 192 = MTA & LNCG 16 Month Assessment (505/505); C = MTA Pre-Baseline Screening Assessment (78/78)","asscdi"
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator","relcdi"
"actbdic","Integer","","Recommended","Active status","0::5","0=Inactive-Data collected after the 14 month treatment phase/after early termination from treatment phase/prior to treatment phase; 1=Active-Data collected during the 14 month treatment phase while subject received originally assigned treatment regardless of degree of compliance; 2=Active-This is the last active assessment for subjects who were about to violate treatment arm by receiving alternate treatment; 3=Active-This is the last active assessment for subjects who were about to leave the study by moving away;4=Yes, Active; 5=No, Not Active","actcdi"
"site","String","101","Recommended","Site","","Study Site","sitenum"
"sjtyp","Integer","","Recommended","Subject type","1;2","1=MTA randomized trial subject; 2=Local normative comparison group (LNCG) subject",""
"cdanegmx","Float","","Recommended","Negative mood mean score","","",""
"cdbintx","Float","","Recommended","Interpersonal problems mean score","","",""
"cdcinefx","Float","","Recommended","Ineffectiveness mean score","","",""
"cddanhex","Float","","Recommended","Anhedonia mean score","","",""
"cdeslfsx","Float","","Recommended","Negative self esteem means score","","",""
"cdtotalx","Float","","Recommended","Total score mean score","","",""
"child_depress02a","Integer","","Recommended","Item 2: E","0::2; -9","0 = Things will work out for me O.K.; 1 = I am not sure if things will work out for me; 2 = Nothing will ever work out for me; -9 = incomplete","cdi_2"
"child_depress07a","Integer","","Recommended","Item 7: E","0::2; -9","0 = I like myself; 1 = I do not like myself; 2 = I hate myself; -9 = incomplete",""
"child_depress08a","Integer","","Recommended","Item 8: A","0::2; -9","0 = Bad things are not usually my fault; 1 = Many bad things are my fault; 2 = All bad things are my fault; -9 = incomplete","cdi_8"
"child_depress13a","Integer","","Recommended","Item 13: A","0::2; -9","0 = I make my mind up about things easily; 1 = It is hard to make up my mind about things; 2 = I cannot make up my mind about things; -9 = incomplete","cdi_13"
"child_depress15a","Integer","","Recommended","Item 15: C","0::2; -9","0 = Doing schoolwork is not a big problem; 1 = I have to push myself many times to do my schoolwork; 2 = I have to push myself all the time to do my schoolwork; -9 = incomplete","cdi_15"
"child_depress16a","Integer","","Recommended","Item 16: D","0::2; -9","0 = I sleep pretty well; 1 = I have trouble sleeping many nights; 2 = I have trouble sleeping every night; -9 = incomplete","cdi_16"
"child_depress18a","Integer","","Recommended","Item 18: D","0::2; -9","0 = I eat pretty well; 1 = Many days I do not feel like eating; 2 = Most days I do not feel like eating; -9 = incomplete","cdi_18"
"child_depress21a","Integer","","Recommended","Item 21: D","0::2; -9","0 = I have fun at school many times; 1 = I have fun at school only once in awhile; 2 = I never have fun at school; -9 = incomplete","cdi_21"
"child_depress24a","Integer","","Recommended","Item 24: C","0::2; -9","0 = I am just as good as other kids; 1 = I can be as good as other kids if I want to; 2 = I can never be as good as other kids; -9 = incomplete","cdi_24"
"child_depress25a","Integer","","Recommended","Item 25: E","0::2; -9","0 = I am sure that somebody loves me; 1 = I am not sure if anybody loves me; 2 = Nobody really loves me; -9 = incomplete","cdi_25"
"visit","String","60","Recommended","Visit name","","",""
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"cdi_5","Integer","","Recommended","5. cries or looks tearful.","0::3; 999; 77; 88","0=not at all; 1=some of the time; 2=often; 3=much or most of the time; 999= NA; 77=Refused; 88=Missing",""
"cdi_7","Integer","","Recommended","7. enjoys being with people.","0::3; 999; 77; 88","0=not at all; 1=some of the time; 2=often; 3=much or most of the time; 999= NA; 77=Refused; 88=Missing",""
"cdi_t_score","Float","","Recommended","CDI T Score","","",""
"cdi5","Integer","","Recommended","Pick the sentence that best describes you best in the past two weeks: Important","1::3","1= I am important to my family; 2= I am not sure if I am important to my family; 3= My family is better off without me.",""
"cdi7","Integer","","Recommended","Pick the sentence that best describes you best in the past two weeks: Cranky","1::3","1= I feel cranky all the time; 2= I feel cranky many times; 3= I am almost never cranky.",""
"year_mta","Integer","","Recommended","Year in study","","","visit_year,visit_year�"
"teen_timepoint","Integer","","Recommended","Time point","1::3","1 = Teen's approximately 13 years old; 2 = Teen's approximately 14 years old; 3 = Teen's approximately 15 years old",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"cdi2_26","Integer","","Recommended","Best describes subject for Past Two Weeks ","0 :: 2","0= I fall asleep during the day all the time; 1= I fall asleep during the day many times; 2= I almost never fall asleep during the day",""
"cdi2_27","Integer","","Recommended","Best describes subject for Past Two Weeks ","0 :: 2","0= Most days I feel like I can't stop eating; 1= Many days I feel like I can't stop eating; 2= My eating is O. K.",""
"cdi2_28","Integer","","Recommended","Best describes subject for Past Two Weeks ","0 :: 2","0= It is easy for me to remember things; 1= It is a little hard to remember things; 2= It is very hard to remember things",""
"cdi2_25","Integer","","Recommended","Best describes subject for Past Two Weeks ","0 :: 2","0= It is easy for me to get along with friends; 1= I get into arguments with friends many times; 2= I get into arguments with friends all the time",""
