"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"abnormalbpdatedd","Date","","Recommended","Other renal abnormality Abnormal BP  Date","","","otherrenalabnormalityabnormalb"
"abnormalbpimaging","String","25","Recommended","Other renal abnormality Abnormal BP  Imaging","Renal/bladder US; VCUG","","otherrenalabnormalityabnormalb5"
"abnormalbpongoing","String","5","Recommended","Other renal abnormality Abnormal BP  Ongoing","Yes; No","","otherrenalabnormalityabnormalb4"
"agenesisdatedd","Date","","Recommended","Other renal abnormality Agenesis  Date","","","otherrenalabnormalityagenesisd"
"agenesisimaging","String","25","Recommended","Other renal abnormality Agenesis  imaging","Renal/bladder US; VCUG","","otherrenalabnormalityagenesisi"
"agenesisongoing","String","5","Recommended","Other renal abnormality Agenesis  Ongoing","Yes; No","","otherrenalabnormalityagenesiso"
"hydronephrosisdatedd","Date","","Recommended","Other renal abnormality Hydronephrosis  Date","","","otherrenalabnormalityhydroneph"
"hydronephrosisimaging","String","25","Recommended","Other renal abnormality Hydronephrosis  imaging","Renal/bladder US; VCUG","","otherrenalabnormalityhydroneph5"
"hydronephrosisongoing","String","5","Recommended","Other renal abnormality Hydronephrosis  Ongoing","Yes; No","","otherrenalabnormalityhydroneph4"
"hypoplasiadatedd","Date","","Recommended","Other renal abnormality Hypoplasia  Date","","","otherrenalabnormalityhypoplasi"
"hypoplasiaongoing","String","5","Recommended","Other renal abnormality Hypoplasia  Ongoing","Yes; No","","otherrenalabnormalityhypoplasi4"
"hypoplasiaimaging","String","25","Recommended","Other renal abnormality Hypoplasia  imaging","Renal/bladder US; VCUG","","otherrenalabnormalityhypoplasi5"
"orenalab","String","10","Recommended","Other renal abnormality","Yes; No; Unknown; N/A","","otherrenalabnormality"
"orenalab_otherongo","String","5","Recommended","Other renal abnormality Other Ongoing","Yes; No","","otherrenalabnormalityotherongo"
"orenalab_otherimag","String","25","Recommended","Other renal abnormality If Other imaging","Renal/bladder US; VCUG","","otherrenalabnormalityotherimag"
"orenalab_otherdd","Date","","Recommended","Other renal abnormality Other DD","","","otherrenalabnormalityotherdd"
"orenalab_otherspec","String","150","Recommended","Other renal abnormality Other specify","","","otherrenalabnormalityotherspec"
"utidatedd","Date","","Recommended","Other renal abnormality UTI Date","","","otherrenalabnormalityutidatedd"
"utiongoing","String","5","Recommended","Other renal abnormality UTI Ongoing","Yes; No","","renalabnormalityutiongoing"
"utiimaging","String","25","Recommended","Other renal abnormality UTI imaging","Renal/bladder US; VCUG","","otherrenalabnormalityutiimagin"
"vurdatedd","Date","","Recommended","Other renal abnormality VUR  Date","","","otherrenalabnormalityvurdatedd"
"vurimaging","String","25","Recommended","Other renal abnormality VUR  imaging","Renal/bladder US; VCUG","","otherrenalabnormalityvurimagin"
"vurongoing","String","5","Recommended","Other renal abnormality VUR  Ongoing","Yes; No","","otherrenalabnormalityvurongoin"
"rev_gastroother","String","50","Recommended","Other feeding difficulties","Yes;No;NK","NK = Not known","ot_fdif,otherfeedingdifficulties"
"ot_fdif_datedd","Date","","Recommended","Other feeding difficulties  Date","","","otherfeedingdifficultiesdatedd"
"ot_fdif_ongoin","String","5","Recommended","Other feeding difficulties  Ongoing","Yes; No","","otherfeedingdifficultiesongoin"
"ot_fdif_specif","String","200","Recommended","Other feeding difficulties If yes specify","","","otherfeedingdifficultiesifyess,otherfeedingdifficultiesspecif"
"rev_pulbreathab","String","50","Recommended","Abnormal Breathing","Yes;No;NK","NK = Not known","abnormalbreathing"
"abnormalbreathingdatedd","Date","","Recommended","Abnormal breathing  Date","","",""
"abnormalbreathingongoing","String","5","Recommended","Abnormal breathing  Ongoing","Yes; No","",""
"rev_rythm","String","10","Recommended","Abnormal rhythm or heart rate","Yes;No;NK","NK = Not known","ab_hrate,abnormalrhythmorheartrate"
"ab_hratedated","Date","","Recommended","Abnormal rhythm or heart rate  Date","","","abnormalrhythmorheartratedated"
"ab_hrateongoi","String","5","Recommended","Abnormal rhythm or heart rate  Ongoing","Yes; No","","abnormalrhythmorheartrateongoi"
"alt_otr_cs","String","25","Recommended","Alteration in other CSrelevant gene eg SDH","","","alterationinothercsrelevantgen"
"anemia","String","10","Recommended","Anemia","Yes; No; Unknown; N/A","",""
"anemiadatedd","Date","","Recommended","Anemia  Date","","",""
"anemiaongoing","String","5","Recommended","Anemia  Ongoing","Yes; No","",""
"child_anxiety","String","50","Recommended","Does (did) the Child have an Anxiety Disorder?","Yes; No; NK; NS","NK= Not known; NS = Not sure","anxietydisorder"
"anxietydisorderdatedd","Date","","Recommended","Anxiety Disorder Date","","",""
"anxietydisorderongoing","String","5","Recommended","Anxiety Disorder Ongoing","Yes; No","",""
"rev_pulaspiration","String","50","Recommended","Aspiration","Yes;No;NK","NK = Not known","aspiration"
"aspirationdatedd","Date","","Recommended","Aspiration  Date","","",""
"aspirationongoing","String","5","Recommended","Aspiration  Ongoing","Yes; No","",""
"rev_pulasthma","String","50","Recommended","Asthma","Yes;No;NK","NK = Not known","asthma"
"asthmadatedd","Date","","Recommended","Asthma Date","","",""
"asthmaongoing","String","5","Recommended","Asthma Ongoing","Yes; No","",""
"attentiondeficit","String","10","Recommended","Attention Deficit","Yes; No; Unknown; N/A","",""
"attentiondeficitdatedd","Date","","Recommended","Attention Deficit  Date","","",""
"attentiondeficitongoing","String","5","Recommended","Attention Deficit  Ongoing","Yes; No","",""
"begunexperiencepuberty","String","10","Recommended","Has the child begun to experience or completed puberty","Yes; No; Unknown; N/A","","haschildbegunexperiencepuberty"
"pubertydatedd","Date","","Recommended","Has the child begun to experience or completed puberty Date","","","begunexperiencepubertydatedd,haschildbegunexperiencepuberty2"
"pubertyongoing","String","5","Recommended","Has the child begun to experience or completed puberty Ongoing","Yes; No","","begunexperiencepubertyongoing,haschildbegunexperiencepuberty5"
"othmem_bipolar","String","50","Recommended","Bipolar disorder (Manic/depression)","Yes;No; NK","NK = Not known","bipolardisorder"
"bipolardisorderdatedd","Date","","Recommended","Bipolar Disorder Manic Depression  Date","","",""
"bipolardisorderongoing","String","5","Recommended","Bipolar Disorder Manic Depression  Ongoing","Yes; No","",""
"rev_skinbirthmark","String","50","Recommended","Birthmarks (e.g., cafe-au-lait spots, white spots)","Yes;No;NK","NK = Not known","birthmarks"
"birthmarksdatedd","Date","","Recommended","Birthmarks  Date","","",""
"birthmarksongoing","String","5","Recommended","Birthmarks  Ongoing","Yes; No","",""
"rev_hembleeddisorder","String","50","Recommended","Bleeding disorder","Yes;No;NK","NK = Not known","bleed_dis,bleedingdisorder"
"bleed_disdatedd","Date","","Recommended","Bleeding disorder Date","","","bleedingdisorderdatedd"
"bleed_disifye_clinical","Integer","","Recommended","Bleeding Disorder if yes Clinical","0;1","0=Unchecked box; 1=Checked box","bleedingdisorderifye_clinical"
"bleed_disifye_labbased","Integer","","Recommended","Bleeding Disorder if yes Lab-based","0;1","0=Unchecked box; 1=Checked box","bleedingdisorderifye_labbased"
"bleed_disifye_unknown","Integer","","Recommended","Bleeding Disorder if yes Unknown","0;1","0=Unchecked box; 1=Checked box","bleedingdisorderifye_unknown"
"bleedingdisorderongoing","String","5","Recommended","Bleeding disorder Ongoing","Yes; No","",""
"bonecysts","String","10","Recommended","Bone cysts","Yes; No; Unknown; N/A","",""
"bonecystsdatedd","Date","","Recommended","Bone cysts Date","","",""
"bonecystsongoing","String","5","Recommended","Bone cysts Ongoing","Yes; No","",""
"breast","String","35","Recommended","Breast development","Yes; No; Not applicable; Yes but date of consent unknown","","breastdevelopment"
"breastageofoneset","Integer","","Recommended","Breast development  age of oneset - years","","","breastdevelopmentageofoneset"
"breastdateofonesetdd","Date","","Recommended","Breast development  Date of oneset","","","breastdevelopmentdateofonesetd"
"tsmfemale","Integer","","Recommended","TSM Female development stage","1::5; 9; 9998; 9999","1 = Prepubertal. No breast tissue; 2 = Areolar enlargement with breast bud; 3 = Enlargement of breast and areola as single mound; 4 = Projection of areola above breast as double mound; 5 = Adult. Papilla projects out of areola that is part of breast contour; 9 = Missing value; 9998 =subject skipped; 9999=not applicable--subject is not female","breastdevelopmenttannerstage,breasttannerstage"
"ctdatedd","Date","","Recommended","CT date DD","","","ifyesctdatedd"
"ctscanresult","Integer","","Recommended","Details of MRI/CT scan result(s)","1;2;3","1 = Normal; 2 = Abnormal; 3 = Unknown","ctresults,ifyesctresults"
"cardio_tsc","Integer","","Recommended","Cardiovascular - TSC-related cardiac lesions","1; 2; 9","1 = Yes; 2 = No; 9 = Unknown","cardiaclesions,cardiaclesionsdefect"
"cardiaclesionsdatedd","Date","","Recommended","TSC related cardiac lesions  Date","","",""
"cardiaclesionsongoing","String","5","Recommended","TSC related cardiac lesions  Ongoing","Yes; No","",""
"cardiacdefect","String","10","Recommended","Cardiac defect","Yes; No; Unknown; N/A","",""
"cardiacdefectdd","Date","","Recommended","Cardiac defect DD","","",""
"cardiacdefectongoing","String","5","Recommended","Cardiac defect Ongoing","Yes; No","",""
"rev_immunocellimmunedef","String","50","Recommended","Cell Mediated Immune Def.","Yes;No;NK","NK = Not known","cellmed,cellmediatedimmunedeficiency"
"cellmedda","Date","","Recommended","Cellmediated immune deficiency  Date","","","cellmediatedimmunedeficiencyda,cellmediatedimmunedeficiencyda2"
"cellmedon","String","5","Recommended","Cellmediated immune deficiency  Ongoing","Yes; No","","cellmediatedimmunedeficiencyon"
"fhxcp","String","5","Recommended","Cerebral Palsy","Yes;No; NK","NK = Not known","cerebralpalsy,cerebralpalsy2"
"cerebralpalsydatedd","Date","","Recommended","Cerebral Palsy  Date","","",""
"cerebralpalsyongoing","String","5","Recommended","Cerebral Palsy  Ongoing","Yes; No","",""
"changesincelastvisit","String","10","Recommended","Have there been any changes or development of any medical problemsconditions in the following body systems or in the status of genetic testing since the last study visit","Yes; No; Unknown","","havetherebeenchangessincelastv"
"chrommicroyear","Integer","","Recommended","Chromosomal microarray  year if known","","","chromosomalmicroarrayyear"
"chromanalysisyear","Integer","","Recommended","Chromosome analysis karyotype   year if known","","","chromosomeanalysisyear"
"rev_mouthcleftlip","String","50","Recommended","Is there a cleft lip and/or cleft palate?","Yes;No;NK","NK = Not known","cleftlip"
"cleftlipdatedd","Date","","Recommended","Cleft lip  Date","","",""
"cleftlipongoing","String","5","Recommended","Cleft lip  Ongoing","Yes; No","",""
"rev_mouthcleftpalate","String","50","Recommended","Cleft Palate","Yes;No;NK","NK = Not known","cleftpalate"
"cleftpalatedatedd","Date","","Recommended","Cleft palateDate","","",""
"cleftpalateongoing","String","5","Recommended","Cleft palateOngoing","Yes; No","",""
"colonpolyps","String","10","Recommended","Colon polyps","Yes; No; Unknown; N/A","",""
