"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"yp8m01","Integer","","Recommended","Over the past 3 months, have you been bothered by pain? By pain, we are talking about physical pain","0;1;-99","0= No; 1= Yes; -99= NA/RF",""
"yp8m02","Integer","","Recommended","Over the past 3 months, have you been bothered by pain on at least half the days?","0;1;-99","0= No; 1= Yes; -99= NA/RF",""
"yp8m03","Integer","","Recommended","In the past 7 days, how would you rate your pain on average (on a 0 to 10 scale where 0 is no pain and 10 is the worst imaginable pain)?","0::10;-99","0= 0 No pain; 10= 10 Worst imaginable pain; -99= NA/RF",""
"yp8m04","Integer","","Recommended","In the past 7 days, how much did pain interfere with your day-to-day activities (on a 0 to 10 scale where 0 is no interference and 10 is completely interferes)?","0::10;-99","0= 0 No interference; 10= 10 Completely interferes; -99= NA/RF",""
"chronic_pain01","Integer","","Recommended","In the past 3 months, how often did you have pain?","1::4","1= Never; 2= Some days; 3= Most days; 4= Every day",""
"chronic_pain02","Integer","","Recommended","Over the past 3 months, how often did pain limit your life or work activities?","1::4","1= Never; 2= Some days; 3= Most days; 4= Every day",""
"chronic_pain03","Integer","","Recommended","During the past 7 days, what number best describes how pain has interfered with your enjoyment of life?","0::10","0= 0 No interference; 10= 10 Completely interferes",""
"chronic_pain04","Integer","","Recommended","Are you not working or unable work due to pain or a pain condition?","0;1","0= No; 1= Yes",""
"cpa_widespread","Integer","","Recommended","Widespread pain or pain in most of your body","0::2","0=Not bothered at all; 1=Bothered a little; 2=Bothered a lot",""
"cpa_duration","Integer","","Recommended","How long has your [cpa_pain] pain been an ongoing problem for you?","0::5","0=Less than 1 month; 1=1-3 months; 2=3-6 months; 3= 6 months-1 year; 4=1-5 years; 5=More than 5 years",""
"cpa_pain","String","1000","Recommended","Which area of the body is associated with chronic pain? If multiple areas, enter the area that is most problematic.","","",""
"cpa_other","Integer","","Recommended","Are there any other areas of chronic pain?","0;1","0=No; 1=Yes",""
"cpa_painexp","Integer","","Recommended","Do you experience chronic pain?","0;1","0=No; 1=Yes",""
"cpa_stomach","Integer","","Recommended","Stomach pain","0::2","0=Not bothered at all; 1=Bothered a little; 2=Bothered a lot",""
"cpa_head","Integer","","Recommended","Headaches","0::2","0=Not bothered at all; 1=Bothered a little; 2=Bothered a lot",""
"cpa_limbs","Integer","","Recommended","Pain in your arms, legs, or joints other than your spine or back","0::2","0=Not bothered at all; 1=Bothered a little; 2=Bothered a lot",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"cpa_othlist","String","1000","Recommended","Please list the area(s) of ADDITIONAL chronic pain:","","",""
"cpa_spread","Integer","","Recommended","Has your [cpa_pain] pain spread to other parts of your body during the past 2 weeks?","0::2","0=No; 1=Yes; 2=Not sure",""
"cpa_avg","Integer","","Recommended","In the past 7 days, how would you rate your [cpa_pain] pain on average?","1::10","1=No pain; 10=Worst imaginable pain",""
"cpa_surgery","Integer","","Recommended","Have you had an operation or surgery for your [cpa_pain] pain related problem?","0::2","0=No; 1=Yes, one operation; 2=Yes, more than one operation",""
"cpa_frequancy","Integer","","Recommended","How often has [cpa_pain] pain been an ongoing problem for you over the past 6 months?","0::2","0=Every day or nearly every day in the past 6 months; 1=At least half the days in the past 6 months; 2=Less than half the days in the past 6 months",""
"cpa_spinalfus","Integer","","Recommended","Did any of your operations/surgeries involve a spinal fusion? (also called an arthrodesis)","0::2","0=No; 1=Yes; 2=Not sure",""
"cpa_lastsurgery","Integer","","Recommended","If yes, when was your last operation/surgery?","0::3","0=Less than 6 months ago; 1=More than 6 months ago but less than 1 year ago; 2=Between 1 and 2 years ago; 3=More than 2 years ago",""
