"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id,subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"chrt_que_1a","Integer","","Recommended","1.  Suicide Ideation - Passive (i.e. wanting to be dead) and/or active (i.e. method, intent, plan) suicidal ideation present.","0;1","0=No; 1=Yes",""
"chrt_que2","Integer","","Recommended","Patient made a suicide attempt","0;1","0=No; 1=Yes",""
"chrtc_que2a","String","250","Recommended","2a  Suicide Attempt - Patient made a suicide attempt -
If yes, method:","","",""
"chrt_que3","Integer","","Recommended","3.  Self-injurious behavior - No Intent to Die - Purposeful self-injurious behavior with no intent to die.","0;1","0=No; 1=Yes",""
"chrt_que4","Integer","","Recommended","6.  Self-injurious behavior  - Unknown Intent - Purposeful self-injurious behavior where associated intent to die is unknown and cannot be inferred.","0;1","0=No; 1=Yes",""
"chrt_que5","Integer","","Recommended","8. Other injury  - Other not purposeful injury (accidental, psychiatric, medical), no deliberate self-harm.","0;1","0=No; 1=Yes",""
"chrt_que6","Integer","","Recommended","4.  Preparatory Acts - Making preparatory acts toward imminent suicidal behavior","0;1","0=No; 1=Yes",""
"chrt_que7","Integer","","Recommended","5.  Completed Suicide  - Confirmed (i.e. Coroner's report, suicide note, other collateral information).","0;1; -9","0=No; 1=Yes; -9=missing/NA/NK",""
"chrt_que8","Integer","","Recommended","7. Death (not enough information to classify as suicide)","0;1","0=No; 1=Yes",""
"chrt_que9","Integer","","Recommended","9. Nonfatal injury (not enough information to classify)","0;1","0=No; 1=Yes",""
"chrt_01","Integer","","Recommended","1 I feel that things will never get better","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","better"
"chrt_02","Integer","","Recommended","2. I have no future.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","future"
"chrt_03","Integer","","Recommended","3. It seems as if I can do nothing right.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","cantdo"
"chrt_04","Integer","","Recommended","4. Everything I do turns out wrong.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","dowrong"
"chrt_05","Integer","","Recommended","5. There is no one I can depend on.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","noone"
"chrt_06","Integer","","Recommended","6. The people I care the most for are gone.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","care"
"chrt_07","Integer","","Recommended","7. I wish my suffering could just all be over.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","overs"
"chrt_08","Integer","","Recommended","8. I feel that there is no reason to live","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","live"
"chrt_09","Integer","","Recommended","9. I wish I could just go to sleep and not wake up.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","sleeps"
"chrt_10","Integer","","Recommended","10. I find myself saying or doing things without thinking.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree",""
"chrt_11","Integer","","Recommended","11. I often make decisions quickly or ""on impulse"".","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree",""
"chrt_12","Integer","","Recommended","12. I often feel irritable or easily angered.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree",""
"chrt_13","Integer","","Recommended","13. I often overreact with anger or rage over minor things","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree",""
"chrt_14","Integer","","Recommended","14. I have been having thoughts of killing myself.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","thoughts"
"chrt_15","Integer","","Recommended","15. I have thoughts about how I might kill myself.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","how"
"chrt_16","Integer","","Recommended","16. I have a plan to kill myself.","0::4","0=Strongly disagree; 1=Disagree; 2=Neither agree nor disagree; 3=Agree; 4=Strongly agree","plans"
"chrtp_propensity_score","Float","","Recommended","Propensity score","","sums ques 1-13",""
"chrtp_risk_score","Float","","Recommended","Risk score","","sums ques 14-16",""
"subject_description","String","4000","Recommended","Subject related information (e.g the affection, phenotype, disease information, etc.).","","",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","",""
"week","Float","","Recommended","Week in level/study","","99=week 10-week 14","week1"
"vis_type","Integer","","Recommended","Visit type","0::2","1=Phone/remote; 0=doctor's office/In person; 2=No, not phone interview","phone"
"days_baseline","Integer","","Recommended","Days since baseline","","","date"
"srs_tot","Integer","","Recommended","Total Score","","Sum of all answers",""
"visitid","Integer","","Recommended","MetaTrial Visit ID","","System variable: unique code for each type of visit -use to merge files",""
"chrt_prop","Integer","","Recommended","Propensity Score based on items 1-9","","Calculation:?[chrt_1]+[chrt_2]+[chrt_3]+[chrt_4]+[chrt_5]+[chrt_6]+[chrt_7]+[chrt_8]+[chrt_9]",""
"chrt_si","Integer","","Recommended","Suicidal Thoughts Score","","Calculation:?[chrt_12]+[chrt_13]+[chrt_14]",""
"chrt_impulse","Integer","","Recommended","Impulsivity Score","","Calculation:?[chrt_10]+[chrt_11]",""
"visit","String","60","Recommended","Visit name","","",""
