"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"family_id_lab","String","10","Recommended","Family level ID how it is defined in the lab/project. Same family ID used for parent and adolescent","","",""
"time_point_four","Integer","","Recommended","Timepoint out of four assessments: Time 1 (baseline) - Time 2 (8-month follow-up) - Time 3 (16-month follow-up) - Time 4 (24-month follow-up)","1::4","1=Baseline; 2=8-month follow-up; 3=16-month follow-up; 4=24-month follow-up",""
"p_ssp_q1","Integer","","Recommended","When you are at home how often does your child: Fetch alcohol or an alcoholic drink for an adult","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
"p_ssp_q2","Integer","","Recommended","When you are at home how often does your child: Pour an alcoholic drink for an adult","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
"p_ssp_q3","Integer","","Recommended","When you are at home how often does your child: Open an alcoholic drink for an adult","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
"p_ssp_q4","Integer","","Recommended","When you are at home how often does your child: Fetch marijuana (e.g., cannabis, hashish or hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') for an adult","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
"p_ssp_q5","Integer","","Recommended","When you are at home how often does your child: Prepare marijuana (e.g., cannabis, hashish or hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') for an adult to use","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
"p_ssp_q6","Integer","","Recommended","When you are at home how often does your child: Light marijuana (e.g., cannabis, hashish or hash, THC, ''pot'', ''grass'', ''weed'', or ''reefer'') for an adult to smoke","1::5;99","1= Never; 2= Hardly ever; 3= Sometimes; 4= Often; 5= All the time; 99= Prefer not to answer",""
