"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cjso_1","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Arrest/Criminal Court Order of Protection/DA","0;1","0= No; 1=Yes",""
"cjso_2","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Family Court Order of Protection","0;1","0= No; 1=Yes",""
"cjso_3","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Client - emergency shelter information","0;1","0= No; 1=Yes",""
"cjso_4","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Client - recommended for entitlements/benefits (ex. applying for Medicaid or food stamps)","0;1","0= No; 1=Yes",""
"cjso_5","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Client - housing/relocation information","0;1","0= No; 1=Yes",""
"cjso_6","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Client - legal assistance (referral/consultation)","0;1","0= No; 1=Yes",""
"cjso_7","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...DFTA Case Mgt. or home delivered meals referral","0;1","0= No; 1=Yes",""
"cjso_8","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Elder Abuse - referral to outside EA contractor","0;1","0= No; 1=Yes",""
"cjso_9","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...EA Support group","0;1","0= No; 1=Yes",""
"cjso_10","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...OVS claim and benefits","0;1","0= No; 1=Yes",""
"cjso_11","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Police - Domestic Violence Officer (agrees for contact)","0;1","0= No; 1=Yes",""
"cjso_12","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Security device installation/lock replacement","0;1","0= No; 1=Yes",""
"cjso_13","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Referral for mental health services (do not include referral to PROTECT)","0;1","0= No; 1=Yes",""
"cjso_14","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Refused all services","0;1","0= No; 1=Yes",""
"cjso_15","Integer","","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Other","0;1","0= No; 1=Yes",""
"cjso_15a","String","300","Recommended","Now I am going to read through a list of services your social worker may or may not have recommended to help reduce your mistreatment. I would like you to tell me which services you took advantage of...Other description","","",""
"cjso_safetyplan1","Integer","","Recommended","Did your social worker or lawyer discuss with you options available to protect yourself? (For Safety Plan)","0;1","0= No; 1=Yes",""
"cjso_safetyplan2","Integer","","Recommended","For example, did you discuss with your social worker or lawyer how to de-escalate a situation?","0;1","0= No; 1=Yes",""
"cjso_safetyplan3","Integer","","Recommended","Did you discuss with your social worker or lawyer a safe place to go if the situation becomes problematic? (For safety plan)","0;1","0= No; 1=Yes",""
"cjso_abuse_score","Integer","","Recommended","Action Against Abuser Subscale","0::3","Sum of cjso_1, cjso_2, cjso_11",""
"cjso_support_score","Integer","","Recommended","Support Services Subscale","0::10","Sum of cjso_3, cjso_4, cjso_5, cjso_6, cjso_7, cjso_8, cjso_9, cjso_10, cjso_13, cjso_14",""
"cjso_risk_score","Integer","","Recommended","Risk Reduction Subscale","0;1","Score of cjso_12",""
