"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"clspeeracasup1","Integer","","Recommended","Other students in this class want me to do my best schoolwork.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeeracasup2","Integer","","Recommended","In this class, other students like to help me learn.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeerpersup1","Integer","","Recommended","Other students in this class think it is important to be my friend.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchpersup1","Integer","","Recommended","My teacher really cares about me.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchpersup2","Integer","","Recommended","My teacher thinks it is important to be my friend.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeeracasup3","Integer","","Recommended","In this class, other students care about how much I learn.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeerpersup2","Integer","","Recommended","In this class, other students like me the way I am.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchacasup1","Integer","","Recommended","My teacher cares about how much I learn.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeeracasup4","Integer","","Recommended","Other students in this class want me to come to school every day.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchacasup2","Integer","","Recommended","My teacher likes to see my work.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeerpersup3","Integer","","Recommended","Other students in this class care about my feelings.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeerpersup4","Integer","","Recommended","Other students in this class like me as much as they like others.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchacasup3","Integer","","Recommended","My teacher likes to help me learn.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clspeerpersup5","Integer","","Recommended","In this class, other students really care about me.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchacasup4","Integer","","Recommended","My teacher wants me to do my best in this class.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchpersup3","Integer","","Recommended","My teacher likes me as much as he/she likes other students.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
"clstchpersup4","Integer","","Recommended","My teacher cares about my feelings.","1::5","1=Completely false; 2=False much of the time; 3=Sometimes true and sometimes false; 4=True much of the time; 5=Completely true",""
