"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"informant_cp","Integer","","Recommended","Informant: Child or Parent?","0;1","0=Child; 1=Parent",""
"cles_cr_1","Integer","","Recommended","1. Severe illness requiring hospitalization of parent","0;1","0=No; 1=Yes",""
"cles_cr_1age","Integer","","Recommended","Your/Child's age when the following event occured: Severe illness requiring hospitalization of parent","","",""
"cles_cr_2","Integer","","Recommended","2. Birth of brother or sister","0;1","0=No; 1=Yes",""
"cles_cr_2age","Integer","","Recommended","Your/Child's age when the following event occured: Birth of brother or sister","","",""
"cles_cr_3","Integer","","Recommended","3. You/Your child needed special education services","0;1","0=No; 1=Yes",""
"cles_cr_3age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child needed special education services","","",""
"cles_cr_4","Integer","","Recommended","4. Loss of job by parent","0;1","0=No; 1=Yes",""
"cles_cr_4age","Integer","","Recommended","Your/Child's age when the following event occured: Loss of job by parent","","",""
"cles_cr_5","Integer","","Recommended","5. Death of grandparent","0;1","0=No; 1=Yes",""
"cles_cr_5age","Integer","","Recommended","Your/Child's age when the following event occured: Death of grandparent","","",""
"cles_cr_6","Integer","","Recommended","6. Mother beginning to work","0;1","0=No; 1=Yes",""
"cles_cr_6age","Integer","","Recommended","Your/Child's age when the following event occured: Mother beginning to work","","",""
"cles_cr_7","Integer","","Recommended","7. Changed schools","0;1","0=No; 1=Yes",""
"cles_cr_7age","Integer","","Recommended","Your/Child's age when the following event occured: Changed schools","","",""
"cles_cr_8","Integer","","Recommended","8. You/Your child has a serious illness requiring hospitalization","0;1","0=No; 1=Yes",""
"cles_cr_8age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child has a serious illness requiring hospitalization","","",""
"cles_cr_9","Integer","","Recommended","9. Death of parent","0;1","0=No; 1=Yes",""
"cles_cr_9age","Integer","","Recommended","Your/Child's age when the following event occured: Death of parent","","",""
"cles_cr_10","Integer","","Recommended","10. You/Your child were born with a visible birth defect","0;1","0=No; 1=Yes",""
"cles_cr_10age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child were born with a visible birth defect","","",""
"cles_cr_11","Integer","","Recommended","11. You/Your child acquired a visible deformity","0;1","0=No; 1=Yes",""
"cles_cr_11age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child acquired a visible deformity","","",""
"cles_cr_12","Integer","","Recommended","12. Increased arguments with brothers/sisters","0;1","0=No; 1=Yes",""
"cles_cr_12age","Integer","","Recommended","Your/Child's age when the following event occured: Increased arguments with brothers/sisters","","",""
"cles_cr_13","Integer","","Recommended","13. Decrease in your/your child's acceptance by other children","0;1","0=No; 1=Yes",""
"cles_cr_13age","Integer","","Recommended","Your/Child's age: Decrease in your/your child's acceptance by other children","","",""
"cles_cr_14","Integer","","Recommended","14. Frequent teasing of you/your child by peers","0;1","0=No; 1=Yes",""
"cles_cr_14age","Integer","","Recommended","Your/Child's age when the following event occurred: Frequent teasing of you/your child by peers","","",""
"cles_cr_15","Integer","","Recommended","15. Academic failure by you/your child","0;1","0=No; 1=Yes",""
"cles_cr_15age","Integer","","Recommended","Your/Child's age when the following event occured: Academic failure by you/your child","","",""
"cles_cr_16","Integer","","Recommended","16. Non-academic failure by you/your child (for example, in sports or competition)","0;1","0=No; 1=Yes",""
"cles_cr_16age","Integer","","Recommended","Your/Child's age when the following event occured: Non-academic failure by you/your child (for example, in sports or competition)","","",""
"cles_cr_17","Integer","","Recommended","17. You/Your child became involved in drugs and/or alcohol","0;1","0=No; 1=Yes",""
"cles_cr_17age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child became involved in drugs and/or alcohol","","",""
"cles_cr_18","Integer","","Recommended","18. Addition of a third party to family (for example, grandmother)","0;1","0=No; 1=Yes",""
"cles_cr_18age","Integer","","Recommended","Your/Child's age when the following event occured: Addition of a third party to family (for example, grandmother)","","",""
"cles_cr_19","Integer","","Recommended","19. Death of brother or sister","0;1","0=No; 1=Yes",""
"cles_cr_19age","Integer","","Recommended","Your/Child's age when the following event occured: Death of brother or sister","","",""
"cles_cr_20","Integer","","Recommended","20. You/Your child had a vision problem requiring glasses","0;1","0=No; 1=Yes",""
"cles_cr_20age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had a vision problem requiring glasses","","",""
"cles_cr_21","Integer","","Recommended","21. Jail sentence of parent","0;1","0=No; 1=Yes",""
"cles_cr_21age","Integer","","Recommended","Your/Child's age when the following event occured: Jail sentence of parent","","",""
"cles_cr_22","Integer","","Recommended","22. You/Your child had a hearing problem","0;1","0=No; 1=Yes",""
"cles_cr_22age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had a hearing problem","","",""
"cles_cr_23","Integer","","Recommended","23. Death of your/your child's close friend","0;1","0=No; 1=Yes",""
"cles_cr_23age","Integer","","Recommended","Your/Child's age when the following event occured: Death of your/your child's close friend","","",""
"cles_cr_24","Integer","","Recommended","24. Illness requiring hospitalization of your/your child's brother or sister","0;1","0=No; 1=Yes",""
"cles_cr_24age","Integer","","Recommended","Your/Child's age when the following event occured: Illness requiring hospitalization of your/your child's brother or sister","","",""
"cles_cr_25","Integer","","Recommended","25. You/Your child had learning problems in school","0;1","0=No; 1=Yes",""
"cles_cr_25age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had learning problems in school","","",""
"cles_cr_26","Integer","","Recommended","26. You/Your child had speech problems","0;1","0=No; 1=Yes",""
"cles_cr_26age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had speech problems","","",""
"cles_cr_27","Integer","","Recommended","27. Frequent absence of one or both parents","0;1","0=No; 1=Yes",""
"cles_cr_27age","Integer","","Recommended","Your/Child's age when the following event occured: Frequent absence of one or both parents","","",""
"cles_cr_28","Integer","","Recommended","28. Beginning school for the first time","0;1","0=No; 1=Yes",""
"cles_cr_28age","Integer","","Recommended","Your/Child's age when the following event occured: Beginning school for the first time","","",""
"cles_cr_29","Integer","","Recommended","29. Increase in number of arguments between parents","0;1","0=No; 1=Yes",""
"cles_cr_29age","Integer","","Recommended","Your/Child's age when the following event occured: Increase in number of arguments between parents","","",""
"cles_cr_30","Integer","","Recommended","30. You/Your child were suspended or expelled from school","0;1","0=No; 1=Yes",""
"cles_cr_30age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child were suspended or expelled from school","","",""
"cles_cr_31","Integer","","Recommended","31. Brother or sister leaving home","0;1","0=No; 1=Yes",""
"cles_cr_31age","Integer","","Recommended","Your/Child's age when the following event occured: Brother or sister leaving home","","",""
"cles_cr_32","Integer","","Recommended","32. Divorce of parents","0;1","0=No; 1=Yes",""
"cles_cr_32age","Integer","","Recommended","Your/Child's age when the following event occured: Divorce of parents","","",""
"cles_cr_33","Integer","","Recommended","33. Foster home placement of you/your child","0;1","0=No; 1=Yes",""
"cles_cr_33age","Integer","","Recommended","Your/Child's age when the following event occured: Foster home placement of you/your child","","",""
"cles_cr_34","Integer","","Recommended","34. Family moved or relocated","0;1","0=No; 1=Yes",""
"cles_cr_34age","Integer","","Recommended","Your/Child's age when the following event occured: Family moved or relocated","","",""
"cles_cr_35","Integer","","Recommended","35. Bad grades in school (some Ds and Fs)","0;1","0=No; 1=Yes",""
"cles_cr_35age","Integer","","Recommended","Your/Child's age when the following event occured: Bad grades in school (some Ds and Fs)","","",""
"cles_cr_36","Integer","","Recommended","36. Marriage of parent to stepparent","0;1","0=No; 1=Yes",""
"cles_cr_36age","Integer","","Recommended","Your/Child's age when the following event occured: Marriage of parent to stepparent","","",""
"cles_cr_37","Integer","","Recommended","37. Marital separation of parents","0;1","0=No; 1=Yes",""
"cles_cr_37age","Integer","","Recommended","Your/Child's age when the following event occured: Marital separation of parents","","",""
"cles_cr_38","Integer","","Recommended","38. Increase in number of arguments with parents","0;1","0=No; 1=Yes",""
"cles_cr_38age","Integer","","Recommended","Your/Child's age when the following event occured: Increase in number of arguments with parents","","",""
"cles_cr_39","Integer","","Recommended","39. Serious financial difficulties of family","0;1","0=No; 1=Yes",""
"cles_cr_39age","Integer","","Recommended","Your/Child's age when the following event occured: Serious financial difficulties of family","","",""
"cles_cr_40","Integer","","Recommended","40. Overcrowded living space","0;1","0=No; 1=Yes",""
"cles_cr_40age","Integer","","Recommended","Your/Child's age when the following event occured: Overcrowded living space","","",""
"cles_cr_41","Integer","","Recommended","41. You/Your child were in trouble with the law","0;1","0=No; 1=Yes",""
"cles_cr_41age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child were in trouble with the law","","",""
"cles_cr_42","Integer","","Recommended","42. You/Your child had break-up of serious romantic relationship","0;1","0=No; 1=Yes",""
"cles_cr_42age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had break-up of serious romantic relationship","","",""
"cles_cr_43","Integer","","Recommended","43. You/Your child were involved in a serious accident","0;1","0=No; 1=Yes",""
"cles_cr_43age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child were involved in a serious accident","","",""
"cles_cr_44","Integer","","Recommended","44. Death of pet","0;1","0=No; 1=Yes",""
"cles_cr_44age","Integer","","Recommended","Your/Child's age when the following event occured: Death of pet","","",""
"cles_cr_45","Integer","","Recommended","45. Your/Your child's close friend moved away","0;1","0=No; 1=Yes",""
"cles_cr_45age","Integer","","Recommended","Your/Child's age when the following event occured: Your/Your child's close friend moved away","","",""
"cles_cr_46","Integer","","Recommended","46. You/Your child had a weight problem (either too heavy or too thin)","0;1","0=No; 1=Yes",""
"cles_cr_46age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child had a weight problem (either too heavy or too thin)","","",""
"cles_cr_47","Integer","","Recommended","47. You/Your child became pregnant or made someone pregnant","0;1","0=No; 1=Yes",""
"cles_cr_47age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child became pregnant or made someone pregnant","","",""
"cles_cr_48","Integer","","Recommended","48. You/Your child witnessed a traumatic event (for example, serious accident, shooting, death, etc.)","0;1","0=No; 1=Yes",""
"cles_cr_48age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child witnessed a traumatic event (for example, serious accident, shooting, death, etc.)","","",""
"cles_cr_49","Integer","","Recommended","49. You/Your child experienced physical abuse","0;1","0=No; 1=Yes",""
"cles_cr_49age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child experienced physical abuse","","",""
"cles_cr_50","Integer","","Recommended","50. You/Your child experienced sexual abuse, including rape","0;1","0=No; 1=Yes",""
"cles_cr_50age","Integer","","Recommended","Your/Child's age when the following event occured: You/Your child experienced sexual abuse, including rape","","",""
"cles_tot","Float","","Recommended","CLES CR-PR- Total Score","0::50","Sum of all items",""
