"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cmni_01","Integer","","Recommended","In general, I will do anything to win.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_02","Integer","","Recommended","If I could, I would frequently change sexual partners.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_03","Integer","","Recommended","I hate asking for help.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_04","Integer","","Recommended","I believe that violence is never justified.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_05","Integer","","Recommended","Being thought of as gay is not a bad thing.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_06","Integer","","Recommended","In general, I do not like risky situations.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_07","Integer","","Recommended","Winning is not my first priority.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_08","Integer","","Recommended","I enjoy taking risks.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_09","Integer","","Recommended","I am disgusted by any kind of violence.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_10","Integer","","Recommended","I ask for help when I need it.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_11","Integer","","Recommended","My work is the most important part of my life.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_12","Integer","","Recommended","I would only have sex if I was in a committed relationship.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_13","Integer","","Recommended","I bring up my feelings when talking to others.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_14","Integer","","Recommended","I would be furious if someone thought I was gay.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_15","Integer","","Recommended","I don't mind losing.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_16","Integer","","Recommended","I take risks.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_17","Integer","","Recommended","It would not bother me at all if someone thought I was gay.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_18","Integer","","Recommended","I never share my feelings.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
"cmni_19","Integer","","Recommended","Sometimes violent action is necessary.","0::3","0=Strongly Disagree; 1=Disagree; 2=Agree; 3=Strongly Agree",""
