"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cau_1","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Did something I later regretted.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_2","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Blackout (forgot where I was or what I did for a large period of time and cannot remember, even when someone reminds me).","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_3","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Brownout (forgot where I was or what I did for short period of time, but can remember once someone reminds me).","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_4","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Got in trouble with the police.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_5","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Got in trouble with authorities (e.g., police, college campus authorities, or parents).","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_6","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Someone had sex with me without my consent.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_7","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Had sex with someone without their consent.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_8","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Had unprotected sex.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_9","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Physically injured myself.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_10","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Physically injured another person.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_11","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Seriously considered suicide.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_12","Integer","","Recommended","Within the last 12 months, have you experienced any of the following when drinking alcohol? Needed medical help.","1;0;97","1= Yes; 0= No; 97= Refused",""
"cau_score","Integer","","Recommended","The score for the Consequences of alcohol use scale","","Score by assigning 1 point for each item scored as 1. Use the standard rule related to imputation and missing data.",""
