"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"coga_upps1","Integer","","Recommended","I generally like to see things through to the end.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps2","Integer","","Recommended","My thinking is usually careful and purposeful.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps3","Integer","","Recommended","When I am in great mood, I tend to get into situations that could cause me problems.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps4","Integer","","Recommended","Unfinished tasks really bother me.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps5","Integer","","Recommended","I like to stop and think things over before I do them.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps6","Integer","","Recommended","When I feel bad, I will often do things I later regret in order to make myself feel better now.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps7","Integer","","Recommended","Once I get going on something I hate to stop.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps8","Integer","","Recommended","Sometimes when I feel bad, I cant seem to stop what I am doing even though it is making me feel worse.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps9","Integer","","Recommended","I quite enjoy taking risks.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps10","Integer","","Recommended","I tend to lose control when I am in a great mood.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps11","Integer","","Recommended","I finish what I start.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps12","Integer","","Recommended","I tend to value and follow a rational, ''sensible'' approach to things.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps13","Integer","","Recommended","When I am upset I often act without thinking.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps14","Integer","","Recommended","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps15","Integer","","Recommended","When I feel rejected, I will often say things that I later regret.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps16","Integer","","Recommended","I would like to learn to fly an airplane.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps17","Integer","","Recommended","Others are shocked or worried about the things I do when I am feeling very excited.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps18","Integer","","Recommended","I would enjoy the sensation of skiing very fast down a high mountain slope.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps19","Integer","","Recommended","I usually think carefully before doing anything.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
"coga_upps20","Integer","","Recommended","I tend to act without thinking when I am really excited.","1::4;8;9","1= Agree Strongly; 2= Agree Some; 3= Disagree Some; 4= Disagree Strongly; 8= Refuse to answer; 9= Don't know",""
