"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","patid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified","cmnt_frmcomp"
"visitday","Integer","","Recommended","day of visit","","","cmnt_visitdat_x"
"study","String","100","Recommended","Study; The code for each individual study","","","cmnt_studyid"
"visit","String","60","Recommended","Visit name","","","cmnt_interval"
"site","String","101","Recommended","Site","","Study Site","cmnt_site_x"
"form1","String","35","Recommended","Name of Case Report Form 1","","","cmnt_rptfrm1"
"comments1","String","1000","Recommended","Comments 1","","","cmnt_comment1"
"cmnt_day1","Integer","","Recommended","Comment 1 Day","","","cmnt_dat1_x"
"form2","String","35","Recommended","Name of Case Report Form 2","","","cmnt_rptfrm2"
"comments2","String","1000","Recommended","Comments 2","","","cmnt_comment2"
"cmnt_day2","Integer","","Recommended","Comment 2 Day","","","cmnt_dat2_x"
"form3","String","35","Recommended","Name of Case Report Form 3","","","cmnt_rptfrm3"
"comments3","String","1000","Recommended","Comments 3","","","cmnt_comment3"
"cmnt_day3","Integer","","Recommended","Comment 3 Day","","","cmnt_dat3_x"
"form4","String","35","Recommended","Name of Case Report Form 4","","","cmnt_rptfrm4"
"comments4","String","1000","Recommended","Comments 4","","","cmnt_comment4"
"cmnt_day4","Integer","","Recommended","Comment 4 Day","","","cmnt_dat4_x"
"form5","String","35","Recommended","Name of Case Report Form 5","","","cmnt_rptfrm5"
"comments5","String","200","Recommended","Comments 5","","","cmnt_comment5"
"cmnt_day5","Integer","","Recommended","Comment 5 Day","","","cmnt_dat5_x"
"form6","String","35","Recommended","Name of Case Report Form 6","","","cmnt_rptfrm6"
"comments6","String","200","Recommended","Comments 6","","","cmnt_comment6"
"cmnt_day6","Integer","","Recommended","Comment 6 Day","","","cmnt_dat6_x"
"trtgroup","String","2","Recommended","Treatment Group","N1;N2;R1;R2;R3","N1=Non-Responder Entering Fluvoxamine; N2=Non-Responder Entering Fluoxetine; R1=Maintenance; R2=Responder Entering Fluvoxamine; R3=Responder Entering Fluoxetine","cmnt_trtgrp"
