"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","adate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"copes_1","Integer","","Recommended","How well do the things you do work to make the PROBLEMS better?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very well",""
"copes_2","Integer","","Recommended","How well do the things you do work to make you FEEL better?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very well",""
"copes_3","Integer","","Recommended","How satisfied are you with how you cope with stress?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very satisfied",""
"copes_4","Integer","","Recommended","Compared to other people how well do you handle stress?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very well",""
"copes_5","Integer","","Recommended","In the coming months, how good of a job do you think you WILL DO coping with stress and problems that come up?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very well",""
"copes_6","Integer","","Recommended","In the coming months, how good do you think you WILL BE at handling your feelings when problems come up?","1::4","1=Not at all; 2= A little; 3= Somewhat; 4= very well",""
"copes_tot","Float","","Recommended","Total All Coping Efficacy Scale Items","0::24","",""
"phenx_selfefficacy_8","Integer","","Recommended","When I am confronted with a problem, I can usually find several solutions","0::3; 999","0 = Not at all true; 1 = Hardly true; 2 = Moderately true; 3 = Exactly true; 999 = Missing",""
"phenx_selfefficacy_9","Integer","","Recommended","If I am in trouble, I can usually think of a solution","0::3; 999","0 = Not at all true; 1 = Hardly true; 2 = Moderately true; 3 = Exactly true; 999 = Missing",""
