"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"subuse1_smoke_ever","Integer","","Recommended","Ever smoked cigarettes","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subuse1a_smoke_day_mo","Integer","","Recommended","Number days in past month smoked part or all of cigarette","0::31","","yptma03"
"subuse1b_cigs_daily","Integer","","Recommended","Number cigarettes smoked per day, in past month","1::9","1= Less than 1 cigarette per day; 2= 1 cigarette per day; 3= 2-5 cigarettes per day; 4= 6-15 cigarettes per day; 5= 16-25 cigarettes per day; 6= 26-35 cigarettes per day; 7= More than 35 cigarettes per day; 8= NA; 9= Missing",""
"subuse2_ecig_ever","Integer","","Recommended","Ever used e-cig/vaping device to vape e-liquids with nicotine","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subuse2a_ecig_days","Integer","","Recommended","Number days used electronic nicotine product, in past month","0::31","","yptmb03"
"subuse2b_ecig_pickup","Integer","","Recommended","Number times per day picked up electronic nicotine product for one or more puffs, in past month","","","yptmb04"
"subuse2c_puffs_mo","Integer","","Recommended","Number of puffs taken each time electronic nicotine product picked up, in past month","","",""
"subuse3_share_nicotine","Integer","","Recommended","Shared nicotine products with anyone, in past month","0;1;97;98","0=No; 1= Yes; 97= Do not know; 98= Refused",""
"subuse4a_smoke_covid_more","Integer","","Recommended","Smoked/Vaped more than usual because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subuse4b_smoke_covid_less","Integer","","Recommended","Smoked/Vaped less than usual because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subuse4c_smoke_stop_want","Integer","","Recommended","Wanted to stop smoking/vaping because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subuse4d_smoke_stop_tried","Integer","","Recommended","Tried to stop smoking/vaping because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subuse4e_smoke_stop_help","Integer","","Recommended","Could not get help stopping because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subuse4f_smoke_covid_risk","Integer","","Recommended","Worried about smoking because of risks with Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subu5_drank_alcohol_ever","Integer","","Recommended","Ever had a drink of alcoholic beverage (more than sip)","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu5a_num_days_drank_past_mo","Integer","","Recommended","Number of days drank alcoholic beverage, in past month","0::31","",""
"subu5b_drink_daily","Integer","","Recommended","Number of drinks per day that you drank, in past month","","",""
"ext_int38","Integer","","Recommended","Have any of the following happened to your ALCOHOL USE because of COVID-19? Drank more than usual","0::3","0 = No; 1 = Yes, a little; 2 = Yes, a lot; 3 = Not applicable","subu5c1_drink_covid_more"
"ext_int39","Integer","","Recommended","Have any of the following happened to your ALCOHOL USE because of COVID-19? Drank less than usual","0::3","0 = No; 1 = Yes, a little; 2 = Yes, a lot; 3 = Not applicable","subu5c2_drink_covid_less"
"ext_int51","Integer","","Recommended","Have any of the following happened to your ALCOHOL USE because of COVID-19? Unable to go to a meeting/AA meeting","0::3","0 = No; 1 = Yes, a little; 2 = Yes, a lot; 3 = Not applicable","subu5c3_drink_covid_aa"
"ext_int52","Integer","","Recommended","Have any of the following happened to your ALCOHOL USE because of COVID-19? Talked with someone about your drinking","0::3","0 = No; 1 = Yes, a little; 2 = Yes, a lot; 3 = Not applicable","subu5c4_drink_covid_support"
"ext_int53","Integer","","Recommended","Have any of the following happened to your ALCOHOL USE because of COVID-19? Unable to access alcohol treatment when you need it","0::3","0 = No; 1 = Yes, a little; 2 = Yes, a lot; 3 = Not applicable","subu5c5_drink_covid_treat"
"subu6_marijuana_ever","Integer","","Recommended","Ever used Cannabis/Marijuana, in past month","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6a_marijuana_day_mo","Integer","","Recommended","Number of days used Marijuana, in past month","0::31","",""
"subu6b_content_of_marijuana","Integer","","Recommended","Content of Marijuana typically use","1::4;-8;-9","1= High THC; 2= High CBD; 3= Balanced THC and CBD; 4= Do not know; -8= NA; -9= Missing",""
"subu6ca_smoked_marijuana","Integer","","Recommended","In the past month, did you smoke cannabis or marijuana in a pipe, joint, or bong?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6cb_vaped_marijuana","Integer","","Recommended","In the past month, did you vape cannabis or marijuana, THC, or CBD concentrates (waxes, oils, shatter)?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6cc_dabbed_marijuana","Integer","","Recommended","In the past month, did you dab cannabis or marijuana?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6cd_ingested_marijuana","Integer","","Recommended","In the past month, did you use cannabis or marijuana by ingestion/edibles?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6ce_oil_marijuana","Integer","","Recommended","In the past month, did you use cannabis or marijuana oil?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6cf_marijuana_patch","Integer","","Recommended","In the past month, did you use cannabis or marijuana patch/gel/balm/lotion?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6cg_marijuana_other","Integer","","Recommended","In the past month, did you use cannabis or marijuana in any other way?","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6d_marijuana_share","Integer","","Recommended","Shared pipes, joints, bongs, other devices with anyone, in past month","0;1;-8;-9","0= No; 1= Yes; -8= NA; -9= Missing",""
"subu6ea_marijuana_covid_more","Integer","","Recommended","Used more Cannabis/Marijuana than usual because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subu6eb_marijuana_covid_less","Integer","","Recommended","Used less Cannabis/Marijuana than usual because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
"subu6ec_marijuana_stop_want","Integer","","Recommended","Wanted to stop using Cannabis/Marijuana because of Covid-19","1::4;97;98","1=No; 2= Yes, a little; 3= Yes, a lot; 4= NA; 97= Do not know; 98= Refused",""
