"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","clinical_barcode"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","bl_visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","ch_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","ch_sex,gender"
"hand_q1","Integer","","Recommended","Which hand do you use to write with","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q2","Integer","","Recommended","Which hand do you use to hold a nail when hammering","1::5","1= Left Always; 2 = Left most of time; 3= Both equally often; 4= Right most of the time; 5=Right always",""
"hand_q3","Integer","","Recommended","Which hand do you use to throw a ball","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q4","Integer","","Recommended","Which hand do you use to hold a bottle when removing the top","1::5","1= Left Always; 2 = Left most of time; 3= Both equally often; 4= Right most of the time; 5=Right always",""
"hand_q5","Integer","","Recommended","Which hand do you use to draw with","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q6","Integer","","Recommended","Which hand do you use to hold a potato when peeling","1::5","1= Left Always; 2 = Left most of time; 3= Both equally often; 4= Right most of the time; 5=Right always",""
"hand_q7","Integer","","Recommended","Which hand do you use to hold a pitcher when pouring out of it","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q8","Integer","","Recommended","Which hand do you use to hold scissors when cutting","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q9","Integer","","Recommended","Which hand do you use to hold a knife when cutting food","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q10","Integer","","Recommended","Which hand do you use to hold a needle when threading","1::5","1= Left Always; 2 = Left most of time; 3= Both equally often; 4= Right most of the time; 5=Right always",""
"hand_q11","Integer","","Recommended","Which hand do you use to hold a drinking glass when drinking","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q12","Integer","","Recommended","Which hand do you use to hold a tooth brush when brushing teeth","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_q13","Integer","","Recommended","Which hand do you use to hold a dish when wiping","1::5","1= Left Always; 2 = Left most of time; 3= Both equally often; 4= Right most of the time; 5=Right always",""
"hand_q14","Integer","","Recommended","Which hand do you use to hold a tennis racquet when playing","1::5","1= Right Always; 2 = Right most of time; 3= Both equally often; 4= Left most of the time; 5=Left always",""
"hand_total_score","Integer","","Recommended","Crovitz scale Total Score","14::90","",""
"overall_handedness","Integer","","Recommended","Handedness","1::3","1=Right-handed (total score = 14-32) ; 2= Ambidextrous (total score = 33-49) ; 3= Left handedness (total score = 50-70)",""
"switch_handedness","String","500","Recommended","Did you ever switch handedness (by parents/teachers)? Why? When? How old were you?","","",""
