"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","hand_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"hand_date","Integer","","Recommended","reported date","","",""
"hand_edin_left","Integer","","Recommended","Edinburgh Handedness: Left","","",""
"hand_edin_right","Integer","","Recommended","Edinburgh Handedness: Right","","",""
"hand_version","String","35","Recommended","Handedness Version","","",""
"handed","Integer","","Recommended","Handedness Measure Completed","","",""
