"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","mcg_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"mcg_ao_ball","Integer","","Recommended","Throw a ball","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c15"
"mcg_ao_blow","Integer","","Recommended","Blow to indicate something is hot","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c10"
"mcg_ao_brush","Integer","","Recommended","Brush teeth","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c4"
"mcg_ao_comb","Integer","","Recommended","Comb or brush own hair","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered; -9=N/A","q41_2c3"
"mcg_ao_drink","Integer","","Recommended","Drink from a cup containing liquid","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c2"
"mcg_ao_eat","Integer","","Recommended","Eat with a spoon or fork","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c1"
"mcg_ao_hat","Integer","","Recommended","Put on hat","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c6"
"mcg_ao_head","Integer","","Recommended","Lay head on hands and squeeze eyes shut as if sleeping","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c9"
"mcg_ao_neck","Integer","","Recommended","Put on a necklace, bracelet, or watch","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c8"
"mcg_ao_phone","Integer","","Recommended","Put telephone to ear","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c12"
"mcg_ao_plane","Integer","","Recommended","Hold plane and make it ""fly""","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c11"
"mcg_ao_pour","Integer","","Recommended","Pour pretend liquid from one container to another","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c16"
"mcg_ao_push","Integer","","Recommended","Push toy car or truck","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c14"
"mcg_ao_shoe","Integer","","Recommended","Put on a shoe or sock","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c7"
"mcg_ao_sniff","Integer","","Recommended","Sniff flowers","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c13"
"mcg_ao_stir","Integer","","Recommended","Stir pretend liquid in a cup or pan with a spoon","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c17"
"mcg_ao_total","Integer","","Recommended","Total Actions with objects","0 :: 17","","q41_sc8"
"mcg_ao_wipe","Integer","","Recommended","Wipe face or hands with a towel or cloth","0; 1; 2","0 = No; 1 = Yes; 2 = Not answered","q41_2c5"
"mcg_cg_arms","Integer","","Recommended","Extends arm to show you something he/she is holding","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a1"
"mcg_cg_extends","Integer","","Recommended","Extends his/her arm upward to signal a wish to be picked up","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a5"
"mcg_cg_hush","Integer","","Recommended","Gestures ""hush"" by pacing finger to lips","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a8"
"mcg_cg_kiss","Integer","","Recommended","Blows kisses from a distance","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a10"
"mcg_cg_lips","Integer","","Recommended","Smacks lips in ""yum yum"" gesture to indicate that something taste good","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a11"
"mcg_cg_nods","Integer","","Recommended","Nods head ""yes""","0 ; 1; 2;9","0 = Not yet; 1 = Sometimes; 2 = Often","q41_2a7"
