"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","scq_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"scq_45_agedpeop","Integer","","Recommended","(4 to 5) Interested of similarly aged people","0; 1","0 = No; 1 = Yes",""
"scq_45_comfort","Integer","","Recommended","(4 to 5) Comfort you if you were sad/hurt","0; 1","0 = No; 1 = Yes",""
"scq_45_facialexp","Integer","","Recommended","(4 to 5) Normal Range of Facial Expressions","0; 1","0 = No; 1 = Yes",""
"scq_45_friendly","Integer","","Recommended","(4 to 5) Talked just to be friendly","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_45_gestnohand","Integer","","Recommended","(4 to 5) Gestures to let you know what you want","0; 1","0 = No; 1 = Yes",""
"scq_45_gestures","Integer","","Recommended","(4 to 5) Gestures/words when wanted something","0; 1","0 = No; 1 = Yes",""
"scq_45_imaggame","Integer","","Recommended","(4 to 5) Play in Imaginative Games","0; 1","0 = No; 1 = Yes",""
"scq_45_lookface","Integer","","Recommended","(4 to 5) Look at you in the face when talking you","0; 1","0 = No; 1 = Yes",""
"scq_45_nod","Integer","","Recommended","(4 to 5) Nod to mean yes","0; 1","0 = No; 1 = Yes",""
"scq_45_payatt","Integer","","Recommended","(4 to 5) Pay Attention when calling their name","0; 1","0 = No; 1 = Yes",""
"scq_45_playgroup","Integer","","Recommended","(4 to 5) Play co-operatively in group games","0; 1","0 = No; 1 = Yes",""
"scq_45_pretend","Integer","","Recommended","(4 to 5) Pretend / Make-believe games","0; 1","0 = No; 1 = Yes",""
"scq_45_respond","Integer","","Recommended","(4 to 5) Respond positively when approached","0; 1","0 = No; 1 = Yes",""
"scq_45_shake","Integer","","Recommended","(4 to 5) Shake to mean no","0; 1","0 = No; 1 = Yes",""
"scq_45_share","Integer","","Recommended","(4 to 5) Offers to share things other than food","0; 1","0 = No; 1 = Yes",""
"scq_45_showthing","Integer","","Recommended","(4 to 5) Show you things that interested them","0; 1","0 = No; 1 = Yes",""
"scq_45_smileback","Integer","","Recommended","(4 to 5) Smile back if someone smiled at them","0; 1","0 = No; 1 = Yes",""
"scq_45_socgames","Integer","","Recommended","(4 to 5) Join in social games","0; 1","0 = No; 1 = Yes",""
"scq_45_spcopy","Integer","","Recommended","(4 to 5) Spontaneously Copy You","0; 1","0 = No; 1 = Yes",""
"scq_45_sppoint","Integer","","Recommended","(4 to 5) Spontaneously point at things","0; 1","0 = No; 1 = Yes",""
"scq_45_wantenjoy","Integer","","Recommended","(4 to 5) Want you to join in their enjoyment of something","0; 1","0 = No; 1 = Yes",""
"scq_carryobj","Integer","","Recommended","Objects that they had to carry around","0; 1","0 = No; 1 = Yes",""
"scq_compmove","Integer","","Recommended","Complicated Movements of whole body","0; 1","0 = No; 1 = Yes",""
"scq_convo","Integer","","Recommended","Can you have a conversation?","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_date","Integer","","Recommended","SCQ Date","","",""
"scq_version","String","50","Recommended","SCQ Version","","",""
"scq_facial","Integer","","Recommended","Facial expression appropriate to situation","0; 1","0 = Yes; 1 = No (Note: reversed scoring)",""
"scq_handtool","Integer","","Recommended","Used your hand as a tool","0; 1","0 = No; 1 = Yes",""
"scq_havefri","Integer","","Recommended","Have any particular friends","0; 1","0 = Yes; 1 = No (Note: reversed scoring)",""
"scq_injdelib","Integer","","Recommended","Injured themselves deliberately","0; 1","0 = No; 1 = Yes",""
"scq_intense","Integer","","Recommended","Unusual Intensity In Interests","0; 1","0 = No; 1 = Yes",""
"scq_interests","Integer","","Recommended","Interests that preoccupy","0; 1","0 = No; 1 = Yes",""
"scq_invented","Integer","","Recommended","Have they ever used words that they invented/made up","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_mixpro","Integer","","Recommended","Ever got pronouns mixed up","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_oddman","Integer","","Recommended","Odd mannerisms","0; 1","0 = No; 1 = Yes",""
"scq_oddphr","Integer","","Recommended","Odd Phrases or said the same thing over and over","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_order","Integer","","Recommended","Had things they seemed to have to do in a particular order","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_parts","Integer","","Recommended","More interested in parts of a toy than the toy","0; 1","0 = No; 1 = Yes",""
"scq_saidsame","Integer","","Recommended","Have they said the same thing over and over","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_shphrase","Integer","","Recommended","Is he/she able to talk using short phrases or sentences?","0; 1","0 = No; 1 = Yes",""
"scq_socinap","Integer","","Recommended","Have they ever used socially inappropriate questions?","","Nulled value range of: 0; 1 to accept outlier data. 0 = No; 1 = Yes",""
"scq_total","Integer","","Recommended","Total","0 :: 40","",""
"scq_unuinter","Integer","","Recommended","Unusually interested in sight, feel, sound etc of things","0; 1","0 = No; 1 = Yes",""
