"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","wasi_date_std"
"cycle","Integer","","Recommended","Timepoint information","","-1 = Screener; 0 = Baseline; 97 = Taper; 98 = Withdrawal; 99 = Interim contact; Otherwise: weeks since baseline",""
"patid","String","20","Recommended","A Participant ID","","",""
"network","String","20","Recommended","Network","","CPEA or STAART Network",""
"site","String","101","Recommended","Site","","Study Site",""
"study","String","100","Recommended","Study; The code for each individual study","","e.g., the name of the study in multi-grant collections",""
"wasi_age","Integer","","Recommended","WASI Age","","",""
"wasi_bd_1_30","Integer","","Recommended","Design 1","0; 1; 2","0 = Fail; 1 = Correct in trial 2; 2 = Correct in trial 1","q32_b1"
"wasi_bd_10_120","Integer","","Recommended","Design 10","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 66-120 seconds; 5 = Correct in 46-65 seconds; 6 = Correct in 31-45 seconds; 7 = Correct in 1-30 seconds","q32_b10"
"wasi_bd_11_120","Integer","","Recommended","Design 11","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 76-120 seconds; 5 = Correct in 56-75 seconds; 6 = Correct in 41-55 seconds; 7 = Correct in 1-40 seconds","q32_b11"
"wasi_bd_12_120","Integer","","Recommended","Design 12","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 76-120 seconds; 5 = Correct in 56-75 seconds; 6 = Correct in 41-55 seconds; 7 = Correct in 1-40 seconds","q32_b12"
"wasi_bd_13_120","Integer","","Recommended","Design 13","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 76-120 seconds; 5 = Correct in 56-75 seconds; 6 = Correct in 41-55 seconds; 7 = Correct in 1-40 seconds","q32_b13"
"wasi_bd_2_60","Integer","","Recommended","Design 2","0; 1; 2","0 = Fail; 1 = Correct in trial 2; 2 = Correct in trial 1","q32_b2"
"wasi_bd_3_60","Integer","","Recommended","Design 3","0; 1; 2","0 = Fail; 1 = Correct in trial 2; 2 = Correct in trial 1","q32_b3"
"wasi_bd_4_60","Integer","","Recommended","Design 4","0; 1; 2","0 = Fail; 1 = Correct in trial 2; 2 = Correct in trial 1","q32_b4"
"wasi_bd_5_60","Integer","","Recommended","Design 5","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 21-60 seconds; 5 = Correct in 16-20 seconds; 6 = Correct in 11-15 seconds; 7 = Correct in 1-10 seconds","q32_b5"
"wasi_bd_6_60","Integer","","Recommended","Design 6","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 21-60 seconds; 5 = Correct in 16-20 seconds; 6 = Correct in 11-15 seconds; 7 = Correct in 1-10 seconds","q32_b6"
"wasi_bd_7_60","Integer","","Recommended","Design 7","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 21-60 seconds; 5 = Correct in 16-20 seconds; 6 = Correct in 11-15 seconds; 7 = Correct in 1-10 seconds","q32_b7"
"wasi_bd_8_60","Integer","","Recommended","Design 8","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 21-60 seconds; 5 = Correct in 16-20 seconds; 6 = Correct in 11-15 seconds; 7 = Correct in 1-10 seconds","q32_b8"
"wasi_bd_9_60","Integer","","Recommended","Design 9","0; 4; 5; 6; 7","0 = Fail; 4 = Correct in 21-60 seconds; 5 = Correct in 16-20 seconds; 6 = Correct in 11-15 seconds; 7 = Correct in 1-10 seconds","q32_b9"
"wasi_bd_rsc","Integer","","Recommended","Raw Score: Calculated","","",""
"wasi_bd_trs","Integer","","Recommended","Total Raw Score","0  71","","q32_sc2"
"wasi_date","Integer","","Recommended","WASI Date","","",""
"wasi_ss_v_t","Integer","","Recommended","WASI Verbal T Score","","",""
"wasi_fl2_iq","Integer","","Recommended","IQ","","","q32_iq4"
"wasi_fl2_lci","Integer","","Recommended","Lower % Confidence Interval","","","q32_con4a"
"wasi_fl2_pct","Integer","","Recommended","Percentile","","","q32_per4"
"wasi_fl2_sts","Integer","","Recommended","Sum of T Scores","","","q32_sum4"
"wasi_fl2_uci","Integer","","Recommended","Upper % Confidence Interval","","","q32_con4b"
"wasi_fl4_iq","Integer","","Recommended","IQ","","","q32_iq3"
"wasi_fl4_lci","Integer","","Recommended","Lower % Confidence Interval","","","q32_con3a"
"wasi_fl4_pct","Float","","Recommended","Percentile","","","q32_per3"
"wasi_fl4_sts","Integer","","Recommended","Sum of T Scores","","","q32_sum3"
"wasi_fl4_uci","Integer","","Recommended","Upper % Confidence Interval","","","q32_con3b"
"wasi_mr_01","Integer","","Recommended","Item 1","0; 1","0 = Fail; 1 = Correct","q32_d1"
"wasi_mr_02","Integer","","Recommended","Item 2","0; 1","0 = Fail; 1 = Correct","q32_d2"
"wasi_mr_03","Integer","","Recommended","Item 3","0; 1","0 = Fail; 1 = Correct","q32_d3"
"wasi_mr_04","Integer","","Recommended","Item 4","0; 1","0 = Fail; 1 = Correct","q32_d4"
"wasi_mr_05","Integer","","Recommended","Item 5","0; 1","0 = Fail; 1 = Correct","q32_d5"
"wasi_mr_06","Integer","","Recommended","Item 6","0; 1","0 = Fail; 1 = Correct","q32_d6"
"wasi_mr_07","Integer","","Recommended","Item 7","0; 1","0 = Fail; 1 = Correct","q32_d7"
"wasi_mr_08","Integer","","Recommended","Item 8","0; 1","0 = Fail; 1 = Correct","q32_d8"
"wasi_mr_09","Integer","","Recommended","Item 9","0; 1","0 = Fail; 1 = Correct","q32_d9"
"wasi_mr_10","Integer","","Recommended","Item 10","0; 1","0 = Fail; 1 = Correct","q32_d10"
"wasi_mr_11","Integer","","Recommended","Item 11","0; 1","0 = Fail; 1 = Correct","q32_d11"
"wasi_mr_12","Integer","","Recommended","Item 12","0; 1","0 = Fail; 1 = Correct","q32_d12"
"wasi_mr_13","Integer","","Recommended","Item 13","0; 1","0 = Fail; 1 = Correct","q32_d13"
"wasi_mr_14","Integer","","Recommended","Item 14","0; 1","0 = Fail; 1 = Correct","q32_d14"
"wasi_mr_15","Integer","","Recommended","Item 15","0; 1","0 = Fail; 1 = Correct","q32_d15"
"wasi_mr_16","Integer","","Recommended","Item 16","0; 1","0 = Fail; 1 = Correct","q32_d16"
"wasi_mr_17","Integer","","Recommended","Item 17","0; 1","0 = Fail; 1 = Correct","q32_d17"
"wasi_mr_18","Integer","","Recommended","Item 18","0; 1","0 = Fail; 1 = Correct","q32_d18"
"wasi_mr_19","Integer","","Recommended","Item 19","0; 1","0 = Fail; 1 = Correct","q32_d19"
"wasi_mr_20","Integer","","Recommended","Item 20","0; 1","0 = Fail; 1 = Correct","q32_d20"
"wasi_mr_21","Integer","","Recommended","Item 21","0; 1","0 = Fail; 1 = Correct","q32_d21"
"wasi_mr_22","Integer","","Recommended","Item 22","0; 1","0 = Fail; 1 = Correct","q32_d22"
"wasi_mr_23","Integer","","Recommended","Item 23","0; 1","0 = Fail; 1 = Correct","q32_d23"
"wasi_mr_24","Integer","","Recommended","Item 24","0; 1","0 = Fail; 1 = Correct","q32_d24"
"wasi_mr_25","Integer","","Recommended","Item 25","0; 1","0 = Fail; 1 = Correct","q32_d25"
"wasi_mr_26","Integer","","Recommended","Item 26","0; 1","0 = Fail; 1 = Correct","q32_d26"
"wasi_mr_27","Integer","","Recommended","Item 27","0; 1","0 = Fail; 1 = Correct","q32_d27"
"wasi_mr_28","Integer","","Recommended","Item 28","0; 1","0 = Fail; 1 = Correct","q32_d28"
"wasi_mr_29","Integer","","Recommended","Item 29","0; 1","0 = Fail; 1 = Correct","q32_d29"
"wasi_mr_30","Integer","","Recommended","Item 30","0; 1","0 = Fail; 1 = Correct","q32_d30"
"wasi_mr_31","Integer","","Recommended","Item 31","0; 1","0 = Fail; 1 = Correct","q32_d31"
