"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"date_scheduled","String","20","Recommended","Date and time intervention scheduled (1st time)","","MM/DD/YYYY hh:mm",""
"happen1","Integer","","Recommended","Did the intervention take place at this date/time (1st time)?","0;1","0= No; 1= Yes",""
"why_rescheduled","String","200","Recommended","Did the intervention take place at this date/time (1st time) - Why not?","","",""
"rescheduled1","Integer","","Recommended","Was the intervention rescheduled? (1st reschedule)","0;1","0= No; 1= Yes",""
"date_rescheduled1","String","20","Recommended","Date and Time Intervention Rescheduled (1st reschedule)","","MM/DD/YYYY hh:mm",""
"happen2","Integer","","Recommended","Did the intervention take place at this date/time (1st reschedule)?","0;1","0= No; 1= Yes",""
"why_rescheduled2","String","200","Recommended","Did the intervention take place at this date/time (1st reschedule) - Why not?","","",""
"rescheduled2","Integer","","Recommended","Was the intervention rescheduled? (2nd reschedule)","0;1","0= No; 1= Yes",""
"date_rescheduled2","String","20","Recommended","Date and time intervention rescheduled (2nd reschedule)","","MM/DD/YYYY hh:mm",""
"happen3","Integer","","Recommended","Did the intervention take place at this date/time (2nd reschedule)?","0;1","0= No; 1= Yes",""
"why_not_rescheduled","String","200","Recommended","Did the intervention take place at this date/time (2nd reschedule) - Why not?","","",""
"int_date","Date","","Recommended","Date Intervention Happened","","MM/DD/YYYY",""
"length_intervention","Integer","","Recommended","Total length of Intervention (minutes)","0::360","",""
"steps_missed","Integer","","Recommended","Any steps missed on checklist?","0;1","0= No; 1= Yes",""
"steps_missed_exp","String","200","Recommended","What steps missed on checklist? Record any defined intervention steps missed during intervention","","",""
"steps_missed_reason","String","500","Recommended","Reason for missed steps","","",""
"safety_events","Integer","","Recommended","Any safety events?","0;1","0= No; 1= Yes",""
"safety_events_exp","String","200","Recommended","What safety events? Record any defined safety events during intervention","","",""
"ga_int","Integer","","Recommended","What was the gestational age (GA) of baby (in completed weeks) at time of intervention?","1::50","",""
