"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"csps01","Integer","","Recommended","My child often seems content to play alone.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps02","Integer","","Recommended","My child seems to want to play with other children, but is sometimes nervous to.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps03","Integer","","Recommended","My child is just as happy to play quietly by his/herself than to play with a group of children.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps04","Integer","","Recommended","My child is happiest when playing with other children. (reverse scored)","1::5","5 = Not A lot; 4 = Infrequently; 3 = Sometimes; 2 = Frequently;   1 = A Lot",""
"csps05","Integer","","Recommended","My child will turn down social initiations from other children because he/she is 'shy'.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps06","Integer","","Recommended","My child often approaches other children to initiate play. (reverse scored)","1::5","5 = Not A lot; 4 = Infrequently; 3 = Sometimes; 2 = Frequently;   1 = A Lot",""
"csps07","Integer","","Recommended","My child 'hovers' near where other children are playing, without joining in.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps08","Integer","","Recommended","My child rarely initiates play activities with other children.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps09","Integer","","Recommended","If given the choice, my child prefers to play with other children rather than alone. (reverse scored)","1::5","5 = Not A lot; 4 = Infrequently; 3 = Sometimes; 2 = Frequently;   1 = A Lot",""
"csps10","Integer","","Recommended","My child often watches other children play without approaching them.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"csps11","Integer","","Recommended","Although he/she appears to desire to play with others, my child is sometimes anxious about interacting with other children.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently;   5 = A Lot",""
"cspsscale1","Integer","","Recommended","CSPS Shyness score","","2, 5, 6, 7, 8, 10, 11",""
"cspsscale2","Integer","","Recommended","CSPS Social disinterest score","","1, 3, 4, 9",""
"csps_total","Integer","","Recommended","CSPS total score","","",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator",""
"respondent_other_specify","String","50","Recommended","Respondent: Other (specify)","","",""
"csps13","Integer","","Recommended","If given the choice, my child prefers to play with other children rather than alone.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently; 5 = A Lot",""
"csps14","Integer","","Recommended","My child will often turn down social invitations from other children because he/she wants to be alone.","1::5","1 = Not A lot; 2 = Infrequently; 3 = Sometimes; 4 = Frequently; 5 = A Lot",""
