"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"csscse1","Integer","","Recommended","I believe suicide prevention is an important part of my professional role","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse2","Integer","","Recommended","I have the knowledge and training needed to recognize when a patient may be elevated risk for suicide","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse3","Integer","","Recommended","I am knowledgeable about warning signs for suicide","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse4","Integer","","Recommended","I am comfortable asking patients direct and open questions about suicidal thoughts and behaviors","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse5","Integer","","Recommended","I have the knowledge and skills needed to screen patients for suicide risks","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse6","Integer","","Recommended","I am comfortable screening patients for suicide risk","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse7","Integer","","Recommended","I have the knowledge and skills needed to conduct a suicide risk assessment","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse8","Integer","","Recommended","I am knowledgeable about risk factors for suicide","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse9","Integer","","Recommended","I obtain information about risk and protective factors when conducting suicide risk assessments","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse10","Integer","","Recommended","I assess the patient's access to lethal means as part of a suicide risk assessment","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse11","Integer","","Recommended","I assess the patient's suicide plans and intentions as a part of a suicide risk assessment","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse12","Integer","","Recommended","I am confident in my ability to conduct a suicide risk assessment","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse13","Integer","","Recommended","I have the knowledge and skills needed to provide care to patients who have been identified as being at elevate risk for suicide","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse14","Integer","","Recommended","I am comfortable providing care to patients who have been identified as being at elevated risk for suicide","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse15","Integer","","Recommended","I am confident in my ability to motivate patients to engage in treatment","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"csscse16","Integer","","Recommended","I am confident in my ability to work collaboratively with a patient to develop a safety plan that outlines specific steps if they experience suicidal thoughts or triggers","0::4","0 = Strongly Disagree; 1 = Disagree; 2 = Neutral; 3 = Agree; 4 = Strongly Agree",""
"ramses_08","Integer","","Recommended","Help people to minimize the severity of risk to self","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_09","Integer","","Recommended","Use specific interventions focusing on risks of harm to (or neglect of) others","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_10","Integer","","Recommended","Help people to minimize the severity of risk to others","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_11","Integer","","Recommended","Develop rapport with people who present with significant risks","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_12","Integer","","Recommended","Manage risks in line with organizational confidentiality policies","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_13","Integer","","Recommended","Use strategies to avoid malpractice liability or disciplinary action","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_14","Integer","","Recommended","Develop a formal or written risk management plan","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_15","Integer","","Recommended","Appropriately judge whether or not a person should be referred to an external service or professional on the basis of risk","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_16","Integer","","Recommended","Identify an appropriate service to refer someone on the basis of risk","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_17","Integer","","Recommended","Successfully refer and engage a person with an appropriate service","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_18","Integer","","Recommended","Motivate a person to successfully self-refer to an appropriate service","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_total","Integer","","Recommended","Total ramses score (1-18)","0::180","",""
"ramses_01","Integer","","Recommended","Use screening instruments to assess risk","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_02","Integer","","Recommended","Interview people to elicit key information about risk factors","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_03","Integer","","Recommended","Identify a person who is presenting risk to self","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_04","Integer","","Recommended","Identify a person who is presenting risk to others","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_05","Integer","","Recommended","Differentiate between people presenting high risk and low risk","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_06","Integer","","Recommended","Synthesize relevant information in a formal or written risk assessment","0::10","0=Not at all confident; 10=Highly confident",""
"ramses_07","Integer","","Recommended","Use specific interventions focusing on risks of self-harm or self-neglect","0::10","0=Not at all confident; 10=Highly confident",""
