"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"csss1","Integer","","Recommended","Generally, I am satisfied with my sex life.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss1"
"csss2","Integer","","Recommended","I am satisfied with the amount of foreplay involved in my lovemaking.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss2"
"csss3","Integer","","Recommended","I am satisfied with the frequency with which I have sexual intercourse.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss3"
"csss4","Integer","","Recommended","I am satisfied with the quality of the time my partner and I spend together immediately after intercourse.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss4"
"csss5","Integer","","Recommended","I find my partner sexually appealing.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss5"
"csss6","Integer","","Recommended","I am satisfied with the sweetness of sex in our relationship.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss6"
"csss7","Integer","","Recommended","I feel that my partner really tries to make sex satisfying for me.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss7"
"csss8","Integer","","Recommended","I trust that my partner will be there for me when I want sex.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss8"
"csss9","Integer","","Recommended","When we have sex, I think about my partner and no one else.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss9"
"csss10","Integer","","Recommended","When we are fighting or angry, we go some time without having sex. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss11","Integer","","Recommended","Problems in our sexual life have led to bigger problems in our relationship. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss12","Integer","","Recommended","I feel that my having sex with my partner makes our relationship stronger.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss12"
"csss13","Integer","","Recommended","When I do not feel sexually satisfied, I can talk to my partner about it.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss13"
"csss14","Integer","","Recommended","I cannot communicate with my partner when I want to have sex. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss15","Integer","","Recommended","When one of us wants to have sex and the other one does not, we talk about it in a respectful way.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss15"
"csss16","Integer","","Recommended","I often make up excuses when I do not want to have sex. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss17","Integer","","Recommended","My partner knows my signs and signals of when I want to have sex.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree","crss17"
"csss18","Integer","","Recommended","My partner and I decide together whether to use condoms or not.","1 :: 5","1= Strong Disagree; 2=Disagree; 3= Neutral; 4= Agree; 5= Strongly Agree",""
"csss19","Integer","","Recommended","My appetite for sex has gone down due to HIV. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss20","Integer","","Recommended","Our sex life has suffered since HIV came into our relationship. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss21","Integer","","Recommended","I am less interested in sex because of antiretroviral drugs (ARVs). (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
"csss22","Integer","","Recommended","ARVs have made sex less satisfying. (Reverse Scored)","1 :: 5","1= Strong Agree; 2= Agree; 3= Neutral; 4= Disagree; 5= Strongly Disagree",""
