"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"defiant","Integer","","Recommended","Defiant","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)","ct31"
"squirmy","Integer","","Recommended","Squirmy","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)",""
"forgets","Integer","","Recommended","Forgets","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)",""
"unaccepted","Integer","","Recommended","Unaccepted","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)","ct23"
"easily_hurt","Integer","","Recommended","Easily hurt","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)",""
"perfectionist","Integer","","Recommended","Perfectionist","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)",""
"temper_outburst","Integer","","Recommended","Outbursts","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)","ct21"
"excitable","Integer","","Recommended","Excitable","0 :: 3","0 = Not true at all (never, seldom); 1 = Just a little true (occasionally); 2 = Pretty much true (often, quite a bit); 3 = Very much true (very often, very frequent)","ct6"
