"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","asiagemos"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"cts1_1","Integer","","Recommended","Tried to discuss the issue calmly","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing",""
"cts1_2","Integer","","Recommended","Did discuss the issue relatively calmly","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing",""
"cts1_3","Integer","","Recommended","Got information to back up your side","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing",""
"cts1_4","Integer","","Recommended","Brought in or tried to bring someone to help settle things","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing",""
"cts1_5","Integer","","Recommended","Argued heatedly but short of yelling","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing",""
"cts1_6","Integer","","Recommended","Yelled","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it happened before; 8 = Twice; -99= N/A ; 77= Refused ; 88= Missing",""
"cts2_1","Integer","","Recommended","Insulted or swore at the other","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it happened before; 8 = Twice; -99= N/A ; 77= Refused ; 88= Missing","cts2_7"
"cts2_2","Integer","","Recommended","Sulked and/or refused to talk about it","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing","cts2_8"
"cts2_3","Integer","","Recommended","Stomped out of the room or house","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts2_9,cts_49,cts_50,cts_inf__49,cts_inf__50"
"cts2_4","Integer","","Recommended","Cried","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing","cts2_10"
"cts2_5","Integer","","Recommended","Did or said something to spite the other one","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts2_11,cts_67,cts_68,cts_inf__67,cts_inf__68"
"cts2_6","Integer","","Recommended","Threatened to hit or throw something at the other one","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts2_12,cts_69,cts_70,cts_inf__69,cts_inf__70"
"cts3_1","Integer","","Recommended","Threw or smashed or hit or kicked something","-99;1::6;8;77;88","-99 = N/A ; 1 = Never ; 2 = Once ; 3 = 3-5 times ; 4 = 6-10 times ; 5 = 11-20 times ; 6 = More than 20 times ; 8 = Twice ; 77 = Refused ; 88 = Missing","cts3_13"
"cts3_2","Integer","","Recommended","Threw something at the other one","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts3_14,cts_7,cts_8,cts_inf__7,cts_inf__8"
"cts3_3","Integer","","Recommended","Pushed, grabbed, or shoved the other one","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts3_15,cts_45,cts_46,cts_inf__45,cts_inf__46"
"cts3_4","Integer","","Recommended","Slapped the other one","1::8;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; 7 = Not in the past year, but it did happen before ; 8 = Twice in the past year; -99= N/A ; 77= Refused ; 88= Missing","cts3_16"
"cts3_5","Integer","","Recommended","Kicked, bit, or hit with a fist","1::6;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; -99= N/A ; 77= Refused ; 88= Missing","cts3_17"
"cts4_1","Integer","","Recommended","Hit or tried to hit with something","1::6;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; -99= N/A ; 77= Refused ; 88= Missing","cts4_18"
"cts4_2","Integer","","Recommended","Beat up the other one","1::6;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; -99= N/A ; 77= Refused ; 88= Missing","cts4_19"
"cts4_3","Integer","","Recommended","Threatened with a gun or knife","1::6;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; -99= N/A ; 77= Refused ; 88= Missing","cts4_20"
"cts4_4","Integer","","Recommended","Used a gun or knife","1::6;-99;77;88","1= Never ; 2= Once ; 3= 3-5 times ; 4= 6-10 times ; 5= 11-20 times ; 6= More than 20 times ; -99= N/A ; 77= Refused ; 88= Missing","cts4_21,cts_21,cts_22,cts_inf__21,cts_inf__22"
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version",""
"wd_nonv","Integer","","Recommended","Weekly Discipline (Past Week): Nonviolent Discipline (Item 23) score:","0::25; 999","",""
"wd_raw","Integer","","Recommended","Weekly Discipline (Past Week):  Raw Score (Items 24, 25, 26)","0::75; 999","",""
"wd_endorsed","Integer","","Recommended","Weekly Discipline (Past Week): Number of items 24 - 26 endorsed","0::3; 999","",""
"wd_endorsed_which","String","20","Recommended","Weekly Discipline (Past Week): Item numbers endorsed","","",""
"neglect_raw","Integer","","Recommended","Neglect: Raw Score","0::125; 999","",""
"neglect_endorsed","Integer","","Recommended","Neglect: Number of endorsed items","0::5; 999","",""
"neglect_endorsed_which","String","20","Recommended","Neglect: Item numbers endorsed","","",""
"sa_raw","Integer","","Recommended","Sexual abuse: Raw Score","0::8;999","",""
"sa_parent","String","20","Recommended","Parent (before age 18): Item number of each event the respondent indicated ever happened:","","",""
"sa_child","String","20","Recommended","Child: Item number of each even the respondent indicated happened","","",""
"nv_raw","Integer","","Recommended","Nonviolent Discipline: Raw Score","0::100; 999","","t1ctcpnv"
"nv_endorsed","Integer","","Recommended","Nonviolent Discipline: number of endorsed items","0::4; 999","",""
"nv_endorsed_which","String","20","Recommended","Nonviolent Discipline: Item numbers endorsed","","",""
"psy_raw","Integer","","Recommended","Psychological Aggression: Raw Score","-2; 0::125; 999","-2 = greater than or equal to 85","t1ctcmps,t1ctcpps,t1ctpps"
"psy_endorsed","Integer","","Recommended","Psychological Aggression: Number of endorsed items","0::5; 999","",""
"psy_endorsed_which","String","20","Recommended","Psychological Aggression: Item numbers endorsed","","",""
"phys_raw","Integer","","Recommended","Physical Assault: Raw Score","-2; 0::325; 999","-2 = greater than or equal to 80","t1ctcmph,t1ctcpph,t1ctppa"
"phys_endorsed","Integer","","Recommended","Physical Assault: Number of endorsed items","0::13; 999","",""
"phys_endorsed_minor","String","20","Recommended","Physical Assault: Item numbers endorsed (Minor/Corporal Punishment)","","",""
"phys_endorsed_severe","String","20","Recommended","Physical Assault: Item numbers endorsed (Severe/Physical Assault)","","",""
"phys_endorsed_extreme","String","20","Recommended","Physical Assault: Item numbers endorsed (Extreme/Physical Maltreatment)","","",""
"ctspc1","Integer","","Recommended","Self. You explained why something was wrong / Other. This person explained why something was wrong","0::7; 999","0 = None; 1 = Once; 2 = Twice; 3 = 3 - 5 times; 4 = 6 - 10 times; 5 = 11 - 20 times; 6 = More than 20 times; 7 = Not in the past year, but it happened before","cts_pc1,t1ctcp1"
"ctspc2","Integer","","Recommended","Self. You put your child in time out (or sent the child to his or her room) / Other. This person put your child in time out (or sent the child to his or her room).","0::7; 999","0 = None; 1 = Once; 2 = Twice; 3 = 3 - 5 times; 4 = 6 - 10 times; 5 = 11 - 20 times; 6 = More than 20 times; 7 = Not in the past year, but it happened before","cts_pc2,t1ctcp2,wd_ctspc1"
"ctspc3","Integer","","Recommended","Self. You shook your child / Other. This person shook your child","0::7; 999","0 = None; 1 = Once; 2 = Twice; 3 = 3 - 5 times; 4 = 6 - 10 times; 5 = 11 - 20 times; 6 = More than 20 times; 7 = Not in the past year, but it happened before","cts_pc3,t1ctcm1,t1ctcp3"
"ctspc4","Integer","","Recommended","Self. You gave your child something else to do instead of what he or she was doing wrong / Other. This person gave your child something else to do instead of what he or she was doing wrong","0::7; 999","0 = None; 1 = Once; 2 = Twice; 3 = 3 - 5 times; 4 = 6 - 10 times; 5 = 11 - 20 times; 6 = More than 20 times; 7 = Not in the past year, but it happened before","cts_pc5,t1ctcp5"
"ctspc6","Integer","","Recommended","Self. You spanked your child on the bottom with your bare hand / Other. This person spanked your child on the bottom with their bare hand","0::7; 999","0 = None; 1 = Once; 2 = Twice; 3 = 3 - 5 times; 4 = 6 - 10 times; 5 = 11 - 20 times; 6 = More than 20 times; 7 = Not in the past year, but it happened before","cts_pc8,t1ctcm5,t1ctcp8,wd_ctspc3"
