"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"cvltc_raw_trial2_total_persev","Integer","","Recommended","CVLT-C: Trial 2 total perseverations","","",""
"cvltc_raw_trial4_total_persev","Integer","","Recommended","CVLT-C: Trial 4 total perseverations","","",""
"cvlt_listb_total_correct","Integer","","Recommended","List B Immediate Free Recall: Total Correct","","",""
"cvlt_listb_total_repetitions","Integer","","Recommended","List B Immediate Free Recall: Total  Repetitions","","",""
"cvlt_listb_total_intrusions","Integer","","Recommended","List B Immediate Free Recall: Total  Intrusions","","",""
"cvlt_lista_sdelay_resp1","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 1","","",""
"cvlt_lista_sdelay_resp2","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 2","","",""
"cvlt_lista_sdelay_resp3","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 3","","",""
"cvlt_lista_sdelay_resp4","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 4","","",""
"cvlt_lista_sdelay_resp5","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 5","","",""
"cvlt_lista_sdelay_resp6","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 6","","",""
"cvlt_lista_sdelay_resp7","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 7","","",""
"cvlt_lista_sdelay_resp8","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 8","","",""
"cvlt_lista_sdelay_resp9","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 9","","",""
"cvlt_lista_sdelay_resp10","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 10","","",""
"cvlt_lista_sdelay_resp11","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 11","","",""
"cvlt_lista_sdelay_resp12","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 12","","",""
"cvlt_lista_sdelay_resp13","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 13","","",""
"cvlt_lista_sdelay_resp14","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 14","","",""
"cvlt_lista_sdelay_resp15","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 15","","",""
"cvlt_lista_sdelay_resp16","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 16","","",""
"cvlt_lista_sdelay_resp17","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 17","","",""
"cvlt_lista_sdelay_resp18","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 18","","",""
"cvlt_lista_sdelay_resp19","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 19","","",""
"cvlt_lista_sdelay_resp20","String","25","Recommended","List A Short-Delay Free/Recall: List A Response 20","","",""
"cvlt_lista_sdelay_rtype1","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 1","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype2","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 2","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype3","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 3","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype4","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 4","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype5","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 5","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype6","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 6","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype7","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 7","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype8","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 8","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype9","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 9","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype10","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 10","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype11","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 11","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype12","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 12","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype13","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 13","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype14","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 14","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype15","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 15","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype16","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 16","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype17","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 17","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype18","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 18","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype19","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 19","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdelay_rtype20","String","1","Recommended","List A Short-Delay Free/Recall: List A Response Type 20","C;P;I","C=Correct; P=Perservation; I=Intrusion",""
"cvlt_lista_sdl_tl_correct","Integer","","Recommended","List A Short-Delay Free Recall: Total Correct","","","cvlt_lista_sdelay_total_correct"
"cvlt_lista_sdl_tl_repetitions","Integer","","Recommended","List A Short-Delay Free Recall: Total Repetitions","","","cvlt_lista_sdelay_total_repetitions"
"cvlt_lista_sdl_tl_intrusions","Integer","","Recommended","List A Short-Delay Free Recall: Total Intrusions","","","cvlt_lista_sdelay_total_intrusions"
"cvlt_sdl_cued_resp_frt1","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 1","","","cvlt_sdelay_cued_resp_furniture1"
"cvlt_sdl_cued_resp_frt2","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 2","","","cvlt_sdelay_cued_resp_furniture2"
"cvlt_sdl_cued_resp_frt3","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 3","","","cvlt_sdelay_cued_resp_furniture3"
"cvlt_sdl_cued_resp_frt4","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 4","","","cvlt_sdelay_cued_resp_furniture4"
"cvlt_sdl_cued_resp_frt5","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 5","","","cvlt_sdelay_cued_resp_furniture5"
"cvlt_sdl_cued_resp_frt6","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 6","","","cvlt_sdelay_cued_resp_furniture6"
"cvlt_sdl_cued_resp_frt7","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 7","","","cvlt_sdelay_cued_resp_furniture7"
"cvlt_sdl_cued_resp_frt8","String","25","Recommended","List A Short-Delay Cued Recall:  Furniture Resp 8","","","cvlt_sdelay_cued_resp_furniture8"
"cvlt_sdl_cued_rtype_frt1","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 1","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture1"
"cvlt_sdl_cued_rtype_frt2","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 2","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture2"
"cvlt_sdl_cued_rtype_frt3","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 3","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture3"
"cvlt_sdl_cued_rtype_frt4","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 4","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture4"
"cvlt_sdl_cued_rtype_frt5","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 5","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture5"
"cvlt_sdl_cued_rtype_frt6","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 6","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture6"
"cvlt_sdl_cued_rtype_frt7","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 7","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture7"
"cvlt_sdl_cued_rtype_frt8","String","1","Recommended","List A Short-Delay Cued Recall:  Furniture Response Type 8","C;P;I","C=Correct; P=Perservation; I=Intrusion","cvlt_sdelay_cued_rtype_furniture8"
"cvlt_sdl_cresp_vege1","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 1","","","cvlt_sdelay_cued_resp_vege1"
"cvlt_sdl_cresp_vege2","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 2","","","cvlt_sdelay_cued_resp_vege2"
"cvlt_sdl_cresp_vege3","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 3","","","cvlt_sdelay_cued_resp_vege3"
"cvlt_sdl_cresp_vege4","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 4","","","cvlt_sdelay_cued_resp_vege4"
"cvlt_sdl_cresp_vege5","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 5","","","cvlt_sdelay_cued_resp_vege5"
"cvlt_sdl_cresp_vege6","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 6","","","cvlt_sdelay_cued_resp_vege6"
"cvlt_sdl_cresp_vege7","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 7","","","cvlt_sdelay_cued_resp_vege7"
"cvlt_sdl_cresp_vege8","String","25","Recommended","List A Short-Delay Cued Recall:  Vegetables Resp 8","","","cvlt_sdelay_cued_resp_vege8"
