"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ycym01","Integer","","Recommended","About how often are you online, either on a computer or on a phone?","1::5;-99","1= About once a week or less; 2= A few times a week; 3= About once a day; 4= A few times a day; 5= Almost constantly; -99= NA/RF",""
"ycym02","Integer","","Recommended","How often do you play video games on a computer, TV, game console, or portable device like a phone?","1::5;-99","1= About once a week or less; 2= A few times a week; 3= About once a day; 4= A few times a day; 5= Almost constantly; -99= NA/RF",""
"ycym03a","Integer","","Recommended","Which of these do you use? Twitter","0;1","0= Not apply; 1= Apply",""
"ycym03b","Integer","","Recommended","Which of these do you use? Instagram","0;1","0= Not apply; 1= Apply",""
"ycym03c","Integer","","Recommended","Which of these do you use? Facebook","0;1","0= Not apply; 1= Apply",""
"ycym03d","Integer","","Recommended","Which of these do you use? Snapchat","0;1","0= Not apply; 1= Apply",""
"ycym03e","Integer","","Recommended","Which of these do you use? YouTube","0;1","0= Not apply; 1= Apply",""
"ycym03f","Integer","","Recommended","Which of these do you use? WhatsApp","0;1","0= Not apply; 1= Apply",""
"ycym03g","Integer","","Recommended","Which of these do you use? Twitch","0;1","0= Not apply; 1= Apply",""
"ycym03h","Integer","","Recommended","Which of these do you use? Pinterest","0;1","0= Not apply; 1= Apply",""
"ycym03i","Integer","","Recommended","Which of these do you use?  LinkedIn","0;1","0= Not apply; 1= Apply",""
"ycym03j","Integer","","Recommended","Which of these do you use? Reddit","0;1","0= Not apply; 1= Apply",""
"ycym03k","Integer","","Recommended","Which of these do you use? TikTok","0;1","0= Not apply; 1= Apply",""
"ycym03l","Integer","","Recommended","Which of these do you use? Nextdoor","0;1","0= Not apply; 1= Apply",""
"ycym03m","Integer","","Recommended","Which of these do you use? Discord","0;1","0= Not apply; 1= Apply",""
"ycym03n","Integer","","Recommended","Which of these do you use? Other","0;1","0= Not apply; 1= Apply",""
"ycym03_0","Integer","","Recommended","Which of these do you use? I do not use social media","0;1","0= Not apply; 1= Apply",""
"ycym03_99","Integer","","Recommended","Which of these do you use? NA/RF","0;1","0= Not apply; 1= Apply",""
"ycym03nt","String","50","Recommended","Which of these do you use? Please specify other","","",""
"ycym04","Integer","","Recommended","Overall, what effect would you say social media has had on you personally?","1::5;-99","1= Mostly negative effect; 2= Somewhat negative effect; 3= Neither positive nor negative effect; 4= Somewhat positive effect; 5= Mostly positive effect; -99= NA/RF",""
"ycym05","Integer","","Recommended","Overall, would you say the amount of time you spend on social media is:","1::3;-99","1= Too little; 2= About right; 3= Too much;-99= NA/RF",""
"ycym06","Integer","","Recommended","How often do you experience problems with the speed, reliability, or quality of your high-speed internet connection at home in a way that makes it hard to do the things you need to do online?","0::4;-99","0= I do not have internet access at home; 1= Never; 2= Rarely; 3= Sometimes; 4= Often; -99= NA/RF",""
"ycym06a","Integer","","Recommended","What is the main reason for not having internet access at home?","1::6;-99","1= The monthly cost is too expensive; 2= I can do everything I need using my phone; 3= Internet service is not available where I live (or not available at an acceptable speed); 4= I have other options outside my home; 5= The cost of a computer is too expensive; 6= Other reason; -99= NA/RF",""
"ycym06at","String","50","Recommended","What is the main reason for not having internet access at home? Please specify other reason","","",""
"ycym07","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Had someone constantly ask where you were, who you were with, or what you were doing","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym08","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Had someone send you explicit images you did not ask for","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym09","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Had someone spread false rumors about you","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym10","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Been called offensive names","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym11","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Had someone share explicit images of you without your consent","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym12","Integer","","Recommended","Thinking about your experiences online or on a phone, has this happened to you personally: Been threatened with physical harm","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym13","Integer","","Recommended","Have you EVER used a dating site or app?","0;1;-99","0= No; 1= Yes; -99= NA/RF",""
"ycym14","Integer","","Recommended","Has someone ever done any of the following to you on an online dating site or dating app: Continued to contact you after you said you were not interested","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym15","Integer","","Recommended","Has someone ever done any of the following to you on an online dating site or dating app: Called you an offensive name","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym16","Integer","","Recommended","Has someone ever done any of the following to you on an online dating site or dating app: Threatened to physically harm you","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
"ycym17","Integer","","Recommended","Has someone ever done any of the following to you on an online dating site or dating app: Sent you a sexually explicit message or image you didn't ask for","0;1;-99","0= No this has not happened to me; 1= Yes this has happened to me; -99= NA/RF",""
