"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cyberbullying01","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Receive threatening or insulting messages","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying02","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Posting on the Internet or sending humiliating images of me","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying03","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Writing embarrassing jokes, rumors, gossip, or comments about me on the Internet","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying04","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Hacking me to send messages by e-mail or social networks that could be troublesome for me","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying05","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Recording a video or taking pictures by cell phone while a group laughs and forces me to do something humiliating or ridiculous","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying06","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Recording a video or taking pictures by cell phone while someone hits or hurts me","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying07","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Broadcasting online secrets, compromising information or images about me","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying08","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Deliberately excluding me from an online group","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"cyberbullying09","Integer","","Recommended","Please indicate how often the following has happened to you in the past 3 months: Recording a video or taking cell phone pictures of me performing some type of behavior of a sexual nature","0::3","0 = 0 times; 1 = 1 or 2 times; 2 = 3 or 4 times; 4 = 5 or more times",""
"elec_victim_1","Integer","","Recommended","Has anyone ever used the Internet to bother or harass you or to spread mean words or pictures about you?","0;1","0=No; 1=Yes",""
"elec_victim_2","Integer","","Recommended","Has anyone ever used a cell phone or texting to bother or harass you or to spread mean words or pictures about you?","0;1","0=No; 1=Yes",""
"elec_victim_3","Integer","","Recommended","Did anyone on the Internet ever ask you sexual questions about yourself or try to get you to talk online about sex when you did not want to talk about those things?","0;1","0=No; 1=Yes",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
