"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","demo_study_id,randid"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","InterviewYear,visit_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","adi_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,sex"
"cybocs_cc1","Integer","","Recommended","1. Excessive or ritualized hand washing (Current)","0;1","0 = No; 1 = Yes","acon49c"
"cybocs_cp1","Integer","","Recommended","1. Excessive or ritualized hand washing (Past)","0;1","0 = No; 1 = Yes","acon49p"
"cybocs_cc2","Integer","","Recommended","2. Excessive or ritualized showering bathing tooth brushing grooming toilet routine (Current)","0;1","0 = No; 1 = Yes","acon50c"
"cybocs_cp2","Integer","","Recommended","2. Excessive or ritualized showering bathing tooth brushing grooming toilet routine (Past)","0;1","0 = No; 1 = Yes","acon50p"
"cybocs_cc3","Integer","","Recommended","3. Excessive cleaning of items; such as personal clothes or important objects (Current)","0;1","0 = No; 1 = Yes","acon52c"
"cybocs_cp3","Integer","","Recommended","3. Excessive cleaning of items; such as personal clothes or important objects (Past)","0;1","0 = No; 1 = Yes","acon52p"
"cybocs_cc4","Integer","","Recommended","4. Repetitive water play (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp4","Integer","","Recommended","4. Repetitive water play (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc5","Integer","","Recommended","5. Other measures to prevent or remove contact with contaminants (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp5","Integer","","Recommended","5. Other measures to prevent or remove contact with contaminants (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc6","Integer","","Recommended","6. Other (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp6","Integer","","Recommended","6. Other (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc7","Integer","","Recommended","7. Checking locks toys school books/items etc. (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp7","Integer","","Recommended","7. Checking locks toys school books/items etc. (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc8","Integer","","Recommended","8. Checking associated with getting washed dressed or undressed (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp8","Integer","","Recommended","8. Checking associated with getting washed dressed or undressed (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc9","Integer","","Recommended","9. Checking that did not/will not harm others (Current)","0;1","0 = No; 1 = Yes","ao7c"
"cybocs_cp9","Integer","","Recommended","9. Checking that did not/will not harm others (Past)","0;1","0 = No; 1 = Yes","ao7p"
"cybocs_cc10","Integer","","Recommended","10. Checking that did not/will not harm self (Current)","0;1","0 = No; 1 = Yes","ao3c"
"cybocs_cp10","Integer","","Recommended","10. Checking that did not/will not harm self (Past)","0;1","0 = No; 1 = Yes","ao3p"
"cybocs_cc11","Integer","","Recommended","11. Checking that nothing terrible did/will happen (Current)","0;1","0 = No; 1 = Yes","ao12c"
"cybocs_cp11","Integer","","Recommended","11. Checking that nothing terrible did/will happen (Past)","0;1","0 = No; 1 = Yes","ao12p"
"cybocs_cc12","Integer","","Recommended","12. Checking that did not make mistake (Current)","0;1","0 = No; 1 = Yes","asym33c"
"cybocs_cp12","Integer","","Recommended","12. Checking that did not make mistake (Past)","0;1","0 = No; 1 = Yes","asym33p"
"cybocs_cc13","Integer","","Recommended","13. Checking tied to somatic obsessions (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp13","Integer","","Recommended","13. Checking tied to somatic obsessions (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc14","Integer","","Recommended","14. Other (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp14","Integer","","Recommended","14. Other (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc15","Integer","","Recommended","15. Rereading (e.g. telephone book train schedule) or rewriting (Current)","0;1","0 = No; 1 = Yes","asym34c"
"cybocs_cp15","Integer","","Recommended","15. Rereading (e.g. telephone book train schedule) or rewriting (Past)","0;1","0 = No; 1 = Yes","asym34p"
"cybocs_cc16","Integer","","Recommended","16. Repeating routine activities (e.g. In & out of doorway up & down from chair setting down objects & picking up agairi) Touching in patterns (Current)","0;1","0 = No; 1 = Yes","asym35c"
"cybocs_cp16","Integer","","Recommended","16. Repeating routine activities (e.g. In & out of doorway up & down from chair setting down objects & picking up agairi) Touching in patterns (Past)","0;1","0 = No; 1 = Yes","asym35p"
"cybocs_cc17","Integer","","Recommended","17. Rocking (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp17","Integer","","Recommended","17. Rocking (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc18","Integer","","Recommended","18. Spinning twirling pacing (Current)","0;1","0 = No; 1 = Yes",""
"cybocs_cp18","Integer","","Recommended","18. Spinning twirling pacing (Past)","0;1","0 = No; 1 = Yes",""
"cybocs_cc19","Integer","","Recommended","19. Spinriing objects (Current)","0;1","0 = No; 1 = Yes",""
