"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"alc_cons_1","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I couldn't remember what I did while drinking","0;1","0= No; 1= Yes",""
"alc_cons_2","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I felt sick or vomited","0;1","0= No; 1= Yes",""
"alc_cons_3","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I had a hangover","0;1","0= No; 1= Yes",""
"alc_cons_4","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I became aggressive","0;1","0= No; 1= Yes",""
"alc_cons_5","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I hurt or injured myself by accident","0;1","0= No; 1= Yes",""
"alc_cons_6","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday?  I did something that embarrassed me","0;1","0= No; 1= Yes",""
"alc_cons_7","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I was rude or obnoxious","0;1","0= No; 1= Yes",""
"daily_conseq_1","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I was able to express my feelings more easily","0;1","0=No; 1=Yes",""
"daily_conseq_2","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I felt more energetic","0;1","0=No; 1=Yes",""
"daily_conseq_3","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I got a buzz","0;1","0=No; 1=Yes",""
"alc_cons_11","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I was in a better mood","0;1","0= No; 1= Yes",""
"daily_conseq_5","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I was more sociable","0;1","0=No; 1=Yes",""
"alc_cons_13","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I felt relaxed","0;1","0= No; 1= Yes",""
"alc_cons_14","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? None of the above happened yesterday","0;1","0= No; 1= Yes",""
"alc_cons_15","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I was unable to study","0;1","0= No; 1= Yes",""
"alc_cons_16","Integer","","Recommended","Did any of the following things happen to you as a result of your drinking yesterday? I had more desire for sex","0;1","0= No; 1= Yes",""
