"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","GUID"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","DAS_preschool_SRC_Subject_ID,NDAR_SUBJECT_NUMBER,individual,measure_individual"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","DAS_preschool_head_date,measure_date_of_evaluation"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","DAS_preschool_head_age,INTERVIEW_AGE_MONTHS,measure_eval_age_months"
"dasii_measure","String","20","Recommended","Measure Used","DAS-II; DAS-I","",""
"dasii_form","String","20","Recommended","Form Used","SAR;EYR;UPL;LLP","SAR = School age record form; EYR = Early years record form;UPL = Upper Preschool; LLP Lower Preschool",""
"dasii_year","String","20","Recommended","Year Published","","",""
"dasii_eyr_level","String","20","Recommended","EYR-Level Used: LL = Lower Level; UL = Upper Level; OL = Out-of-Level; OOL = Over OL (CA over 109 months)","LL;UL;OL;OOL","LL = Lower level; UL = Upper level; OL = Out-of-level; OOL = Over OL (CA over 109 months)","DAS_VERSION,dasii_level"
"dasii_eyr_vcom_raw","Integer","","Recommended","EYR-Verbal Comprehension: Raw Score (DAS-II)","0::36;999","0::36 for DAS-I; 0::24 for DAS-II; 999 = Missing","DAS_preschool_verbc_raw,VERBAL_CLUSTER_COMP_RAW,dasii_vcom_raw,verbalcomprawscoretotal"
"dasii_eyr_vcom_isa","String","20","Recommended","EYR-Verbal Comprehension: Item Set Administered (DAS-II)","","??? To ??? (Example: 099 to 110)","VERBAL_CLUSTER_COMP_ITEM,verbalcompitemset"
"dasii_eyr_vcom_as","Integer","","Recommended","EYR-Verbal Comprehension: Ability Score","10::187;999","10::174 for DAS-I; 10::187 for DAS-II; 999 = Missing","DAS_preschool_verbc_ascore,VERBAL_CLUSTER_COMP_SCORE,dasii_vcom_as,vcom_ability_score,verbalcompabilityscore"
"dasii_eyr_psim_raw","Integer","","Recommended","EYR-Picture Similarities: Raw Score","0::32;999","0::32 for DAS-I; 0::24 for DAS-II; 999 = Missing","NONVERBAL_CLUSTER_PIC_RAW,dasii_psim_raw,picturerawscoretotal"
"dasii_eyr_psim_isa","String","20","Recommended","EYR-Picture Similarities: Item Set Administered (DAS-II)","","??? To ??? (Example: 099 to 110)","NONVERBAL_CLUSTER_PIC_ITEM,pictureitemset"
"dasii_eyr_psim_as","Integer","","Recommended","EYR-Picture Similarities: Ability Score","10::152;999","10::118 for DAS-I; 10::152 for DAS-II; 999 = Missing","NONVERBAL_CLUSTER_PIC_SCORE,das_preschool_picsim_ascore,dasii_psim_as,picsim_ascore,pictureabilityscore,psim_ability_score"
"dasii_eyr_nvoc_raw","Integer","","Recommended","EYR-Naming Vocabulary: Raw Score","0::29;999","0::26 for DAS-I; 0::29 for DAS-II; 999 = Missing","DAS_preschool_nvocab_raw,VERBAL_CLUSTER_VOCAB_RAW,dasii_nvoc_raw,namingvocabrawscoretotal"
"dasii_eyr_nvoc_isa","String","20","Recommended","EYR-Naming Vocabulary: Item Set Administered (DAS-II)","","??? To ??? (Example: 099 to 110)","VERBAL_CLUSTER_VOCAB_ITEM,namingvocabitemset"
"dasii_eyr_nvoc_as","Integer","","Recommended","EYR-Naming Vocabulary: Ability Score","10::214;999","10::169 for DAS-I; 10::214 for DAS-II; 999 = Missing","DAS_preschool_nvocab_ascore,VERBAL_CLUSTER_VOCAB_SCORE,dasii_nvoc_as,namingvocababilityscore,nvoc_ability_score"
"dasii_eyr_sar_pcon_raw","Integer","","Recommended","Pattern Construction: Raw Score","0::74;999","","DAS_preschool_pattern_raw,SPATIAL_CLUSTER_PATTERN_RAW,dasii_pcon_raw,patternrawscoretotal"
"dasii_eyr_sar_pcon_isa","String","20","Recommended","Pattern Construction: Item Set Administered","","","SPATIAL_CLUSTER_PATTERN_ITEM,patternitemset"
"dasii_eyr_sar_pcon_as","Integer","","Recommended","Pattern Construction: Ability Score","10::350;999","10::231 for DAS-I; 10::350 for DAS-II; 999 = Missing","DAS_preschool_pattern_score,SPATIAL_CLUSTER_PATTERN_SCORE,dasii_eyr_pcon_as,dasii_pcon_as,patternabilityscore,pcon_ability_score"
"dasii_eyr_sar_pcon_alt","String","5","Recommended","Pattern Construction: Alternative Procedure Used? (Yes/No)","Yes;No","Pattern construction alternative scoring method used (Yes or No)","dasii_pcon_alt"
"dasii_eyr_sar_pcon_alt_raw","Integer","","Recommended","Pattern Construction: Alternative Raw Score","0 :: 39","0::39 for DAS-I; 0::32 for DAS-II","DAS_preschool_pattern_altraw,dasii_pcon_alt_raw"
"dasii_eyr_sar_pcon_alt_isa","String","20","Recommended","Pattern Construction: Alternative Item Set Administered","","",""
"dasii_eyr_sar_pcon_alt_as","Integer","","Recommended","Pattern Construction: Alternative Ability Score","10 :: 323","10::191 for DAS-I; 10::323 for DAS-II","DAS_preschool_pattern_altscore,dasii_pcon_alt_as"
"dasii_eyr_sar_mat_raw","Integer","","Recommended","Matrices: Raw Score","0::34;999","0::29 for DAS-I; 0::34 for DAS-II; 999 = Missing","NONVERBAL_CLUSTER_MATRIX_RAW,dasii_mat_raw,matricesrawscoretotal"
"dasii_eyr_sar_mat_isa","String","20","Recommended","Matrices: Item Set Administered","","","NONVERBAL_CLUSTER_MATRIX_ITEM,matricesitemset"
"dasii_eyr_sar_mat_as","Integer","","Recommended","Matrices: Ability Score","10::156;999","10::156 for DAS-I; 10::155 for DAS-II; 999 = Missing","NONVERBAL_CLUSTER_MATRIX_SCORE,dasii_mat_as,mat_ability_score,matricesabilityscore"
"dasii_eyr_copy_raw","Integer","","Recommended","EYR-Copying: Raw Score","0::36;999","0::37 for DAS-I; 0::36 for DAS-II; 999 = Missing","DAS_preschool_copy_raw,SPATIAL_CLUSTER_COPY_RAW,copyingrawscoretotal,dasii_copy_raw"
"dasii_eyr_copy_isa","String","20","Recommended","EYR-Copying: Item Set Administered","","??? To ??? (Example: 099 to 110)","SPATIAL_CLUSTER_COPY_ITEM,copyingitemset"
"dasii_eyr_copy_as","Integer","","Recommended","EYR-Copying: Ability Score","10::181;999","10::170 for DAS-I; 10::181 for DAS-II; 999 = Missing","DAS_preschool_copy_ascore,SPATIAL_CLUSTER_COPY_SCORE,copy_ability_score,copyingabilityscore,dasii_copy_as"
"dasii_eyr_vcom_tscr","Integer","","Recommended","EYR-Verbal Comprehension: T-Score","10::90;999","20::80 for DAS-I; 10::90 for DAS-II; 999 = Missing","VERBAL_CLUSTER_COMP_TSCORE,dasii_vcom_tscr,vcom_t_score,verbalcomptscore"
"dasii_eyr_psim_tscr","Integer","","Recommended","EYR-Picture Similarities: T-Score","10::90;999","20::80 for DAS-I; 10::90 for DAS-II; 999 = Missing","NONVERBAL_CLUSTER_PIC_TSCORE,dasii_psim_tscr,picturetscore,psim_t_score"
"dasii_eyr_nvoc_tscr","Integer","","Recommended","EYR-Naming Vocabulary: T-Score","10::90;999","20::80 for DAS-I; 10::90 for DAS-II; 999 = Missing","VERBAL_CLUSTER_VOCAB_TSCORE,dasii_nvoc_tscr,namingvocabtscore,nvoc_t_score"
