"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dating_intent_01","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for casual sexual relationships) Look for a casual sex partner?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_02","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for casual sexual relationships) Talk/respond to someone who is looking for casual sex?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_03","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for casual sexual relationships) Arrange a time and a place to hook up?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_04","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for casual sexual relationships) Share a sexy photo of yourself to others?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_05","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for romantic relationships) Tell others about your interests and hobbies?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_06","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for romantic relationships) Look for a romantic partner?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_07","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for romantic relationships) Talk/respond to someone whom you might be romantically interested in?","1::7","1= Very unlikely; 7= Very likely",""
"dating_intent_08","Integer","","Recommended","In the coming week, how likely or unlikely I will use a dating app to... (Looking for romantic relationships) Share with others your work/school life?","1::7","1= Very unlikely; 7= Very likely",""
"dating_attitude_01","Integer","","Recommended","I think there is more good than bad in using dating apps to look for romantic partners","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_attitude_02","Integer","","Recommended","Using dating apps to look for romantic parnters is better than meeting potential romantic partners on a face-to-face occasion","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_attitude_03","Integer","","Recommended","Using dating apps is the best way to look for a romantic partner these days","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_attitude_04","Integer","","Recommended","I think there is more good than bad in using dating apps to look for casual sexual partners","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_attitude_05","Integer","","Recommended","Using dating apps to look for casual sexual parnters is better than meeting potential casual sexual partners on a face-to-face occasion","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_attitude_06","Integer","","Recommended","Using dating apps is the best way to look for a casual sexual partner these days","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_norm_01","Integer","","Recommended","Many people my age use dating apps to look for romantic partners","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_norm_02","Integer","","Recommended","How would your close male friends approve of your looking for romantic partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_03","Integer","","Recommended","How would your close female friends approve of your looking for romantic partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_04","Integer","","Recommended","How would your current colleagues approve of your looking for romantic partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_05","Integer","","Recommended","Many people my age use dating apps to look for casual sexual partners","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_06","Integer","","Recommended","How would your close male friends approve of your looking for casual sexual partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_07","Integer","","Recommended","How would your close female friends approve of your looking for casual sexual partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_norm_08","Integer","","Recommended","How would your current colleagues approve of your looking for casual sexual partners via dating apps if you told them about this practice?","1::7","1= Completely disapprove; 7= Completely approve",""
"dating_efficacy_01","Integer","","Recommended","Based on your perception of dating apps... On these apps, I am able to communicate clearly to people that I am looking for a romantic relationship","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_efficacy_02","Integer","","Recommended","Based on your perception of dating apps... It is easy for me to arrange a time and place via these apps for a face-to-face date with potential romantic partners","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_efficacy_03","Integer","","Recommended","Based on your perception of dating apps... I am capable of using these apps and their functions to find a romantic partner","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_efficacy_04","Integer","","Recommended","Based on your perception of dating apps... On these apps, I am able to communicate clearly to people that I am looking for casual sex","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_efficacy_05","Integer","","Recommended","Based on your perception of dating apps... It is easy for me to arrange a time and place for a hookup via these apps with my casual sexual partners","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_efficacy_06","Integer","","Recommended","Based on your perception of dating apps... I am capable of using these apps and their functions to find a casual sexual partner","1::7","1= Strongly disagree; 7= Strongly agree",""
"dating_trust_01","Integer","","Recommended","Thinking about people whom you meet on the Internet, which best describes your thoughts about them?","0;1","0= I have to be careful in dealing with people on the Internet; 1= Most people on the Internet can be trusted",""
