"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dayc2_cognitive01","Integer","","Recommended","Turns head or moves eyes to visually explore surroundings (Entry point for birth-11 months)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive02","Integer","","Recommended","Moves hand to mouth","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive03","Integer","","Recommended","Looks at object for at least 3 seconds","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive04","Integer","","Recommended","Watches an object moved slowly through his or her line of sight","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive05","Integer","","Recommended","Looks back and forth between two objects","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive06","Integer","","Recommended","Inspects own hands","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive07","Integer","","Recommended","Holds toy placed in hand for 10 to 15 seconds","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive08","Integer","","Recommended","Mouths toys","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive09","Integer","","Recommended","Alternatively glances from hand to an object or from one hand to another","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive10","Integer","","Recommended","Repeats arm or leg movements to cause an action to occur again (e.g., shakes arm with rattle attached to wrist, kicks legs to move mobile attached to crib)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive11","Integer","","Recommended","Gaze lingers where object moved slowly through line of sight disappears from view","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive12","Integer","","Recommended","Explores objects in a variety of ways (e.g., visually, turning it around, feeling all surfaces, banging and shaking)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive13","Integer","","Recommended","Follows path of fast-moving object","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive14","Integer","","Recommended","Pulls cloth from face","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive15","Integer","","Recommended","Intentionally drops an object and watches it fall (e.g., drops spoon from high-chair tray and watches it fall)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive16","Integer","","Recommended","Imitates familiar action after observing caregiver doing that action (e.g., claps hands)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive17","Integer","","Recommended","Finds an object that is partially hidden","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive18","Integer","","Recommended","Transfers an object from one hand to the other to pick up second object","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive19","Integer","","Recommended","Retrieves an object seen hidden under or behind a single barrier (Entry point for 12-23 months)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive20","Integer","","Recommended","Touches adult to have that person start or continue interesting game or action","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive21","Integer","","Recommended","Looks at pictures in a book (may pat or point to the pictures)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive22","Integer","","Recommended","Rolls wheeled toys","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive23","Integer","","Recommended","Hands an object to an adult to have that person repeat or start a desired action (e.g., start windup toy)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive24","Integer","","Recommended","Attempts to start toy if he or she has seen someone else make it work (e.g., a windup toy)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive25","Integer","","Recommended","Places a small object into small container (e.g., a raisin into a small bottle)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive26","Integer","","Recommended","Imitates scribbling","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive27","Integer","","Recommended","Demonstrates appropriate use of everyday items (e.g., pretends to drink from a cup, sweeps with a broom)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive28","Integer","","Recommended","Combines two related objects during play (e.g., bowl and spoon, brush to doll's hair)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive29","Integer","","Recommended","Looks at picture book with adult, may name or point to simple objects (Entry point for 24-35 months)","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
"dayc2_cognitive30","Integer","","Recommended","Manages three to four toys by setting one aside when given a new toy","0;1;999","0 = Does not exhibit behavior, or does so inconsistently; 1 = Exhibits the behavior, or did but has outgrown; 999 = Not administered",""
