"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dcss_dealbest","Integer","","Recommended","Sometimes people experience discrimination or negative remarks about their ethnic or racial background. There are different ways that people can deal with these situations. From the choices below, which do you think is the best way of dealing with this?","1::5","1 = Talk to the person; clarify common misconceptions about ethnic groups; 2 = Just think about all of the positive things that you have to offer and being proud of who you are -- who cares what people think; 3 = Work hard to prove them wrong; 4 = Say something back to the person; if they are being rude, you should be rude right back; 5 = Ignore it; just forget about it and go on with your life. There is nothing you can really do about it",""
"dcss_dealtalk","Integer","","Recommended","Now, think about what you have actually done: How often have you used the strategy of talking to the person to clarify the misconception or stereotype?","1::5","1 = Never; 3 = Sometimes; 5 = Very Often",""
"dcss_dealproud","Integer","","Recommended","Now, think about what you have actually done: How often have you used the strategy of just thinking about all of the positive things that you have to offer and being proud of who you are?","1::5","1 = Never; 3 = Sometimes; 5 = Very Often",""
"dcss_dealwrkhrd","Integer","","Recommended","Now, think about what you have actually done: How often have you used the strategy of working hard to prove discriminatory people wrong?","1::5","1 = Never; 3 = Sometimes; 5 = Very Often",""
"dcss_dealrude","Integer","","Recommended","Now, think about what you have actually done: How often have you used the strategy of dealing with discrimination by saying something rude right back to the person?","1::5","1 = Never; 3 = Sometimes; 5 = Very Often",""
"dcss_dealignore","Integer","","Recommended","Now, think about what you have actually done: How often have you used the strategy of ignoring the situation?","1::5","1 = Never; 3 = Sometimes; 5 = Very Often",""
"dcss_coping_style","Integer","","Recommended","Discrimination Coping Strategies Scale - Coping Style","1::3","1= Proactive Coping Style - Discuss, Self-affirmation, Disprove (dcss_dealtalk, dcss_dealproud, dcss_wrkhrd); 2= Aggressive Coping Style - Verbal Retort without proactive strategy (dcss_dealrude); 3= Passive Coping Style - Ignore only (dcss_dealignore)",""
