"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","e.g., Baseline, 6-Month Follow Up, Year 2; Morning, At Bedtime",""
"suic_ex_yesno_lifetime","Integer","","Recommended","In your lifetime, do you know anyone who has died from suicide?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"suic_ex_close_lifetime","Integer","","Recommended","Regarding the person you knew who died from suicide, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"suic_ex_affect_lifetime","Integer","","Recommended","Regarding the person you knew who died from suicide, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"attempt_ex_yesno_lifetime","Integer","","Recommended","In your lifetime, do you know anyone who has attempted suicide?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"attempt_ex_close_lifetime","Integer","","Recommended","Regarding the person you knew who attempted suicide, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"attempt_ex_affect_lifetime","Integer","","Recommended","Regarding the person you knew who attempted suicide, how much did their attempt impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"od_ex_yesno_lifetime","Integer","","Recommended","In your lifetime, do you know anyone who has died from a drug/alcohol overdose?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"od_ex_close_lifetime","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol overdose, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"od_ex_affect_lifetime","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol overdose, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"ltc_ex_yesno_lifetime","Integer","","Recommended","In your lifetime, do you know someone who has died from long term health complications due to drugs/alcohol? (e.g., liver disease)","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"ltc_ex_close_lifetime","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol health complications, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"ltc_ex_affect_lifetime","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol health complications, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"suic_ex_yesno_month","Integer","","Recommended","In the past month, do you know anyone who has died from suicide?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"suic_ex_close_month","Integer","","Recommended","Regarding the person you knew who died from suicide, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"suic_ex_affect_month","Integer","","Recommended","Regarding the person you knew who died from suicide, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"attempt_ex_yesno_month","Integer","","Recommended","In the past month, do you know anyone who has attempted suicide?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"attempt_ex_close_month","Integer","","Recommended","Regarding the person you knew who attempted suicide, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"attempt_ex_affect_month","Integer","","Recommended","Regarding the person you knew who attempted suicide, how much did their attempt impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"od_ex_yesno_month","Integer","","Recommended","In the past month, do you know anyone who has died from a drug/alcohol overdose?","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"od_ex_close_month","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol overdose, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"od_ex_affect_month","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol overdose, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"ltc_ex_yesno_month","Integer","","Recommended","In the past month, do you know someone who has died from long term health complications due to drugs/alcohol? (e.g., liver disease)","1::3","1 = No; 2 = Yes; 3 = Prefer not to answer",""
"ltc_ex_close_month","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol health complications, how close were you to them?","1::5","1 = Not Close; 3 = Somewhat Close; 5 = Very close",""
"ltc_ex_affect_month","Integer","","Recommended","Regarding the person you knew who died of drug/alcohol health complications, how much did their death impact you?","1::5","1 = Had little effect on my life; 2 = Had somewhat of an effect on me but did not disrupt my life; 3 = Disrupted my life for a short time; 4 = Disrupted my life in a significant or devastating way, but I no longer feel that way; 5 = Had a significant of devastating effect on my that I still feel",""
"ss_total","Float","","Recommended","Stay Safe Total Time To Complete in Hours","0::24","Time in hours, time is based on time participants spend on the module",""
