"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","demo_guid,guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","Participant_ID,record_id,subject,subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","DEMDate,date_demo,demo_doa,intake_date,intvdate,np_fact_doa"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","AGE,Pt_Baseline_Age,age_months,demo_age_study_entry,intvage,np_fact_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","Pt_Gender,SEX,dem001,demo_current_sex,gender,np_fact_sex"
"study_id","Integer","","Recommended","Study ID number","","46=Acute Phase; 47=Stabilization Phase",""
"study_condition","Integer","","Recommended","Study condition to which participant was assigned","1::7","1 = Cognitive remediation; 2 = Comparison condition; 3 = Other; 4= treatment as usual; 5= Computers first; 6= CRT first; 7=SCIT","condition"
"day_cat","Integer","","Recommended","Method for calculating days since baseline","1::3","1 = calculated from visit dates when provided in data; 2 = calculated from target dates when visit dates not provided; 3 = missing visit",""
"ethnicity","String","30","Recommended","Ethnicity of participant","Hispanic or Latino; Not Hispanic or Latino; Unknown","","Pt_Hispanic,dem003,ethnic"
"race","String","100","Recommended","Race of study subject","American Indian/Alaska Native; Asian; Hawaiian or Pacific Islander; Black or African American; White; More than one race; Unknown or not reported; Other Non-White; Other","","Pt_Race,dem004a-dem004g,demo_race,np_fact_race"
"pt_race_orig","String","30","Recommended","Original Study Text: Race","","",""
"das1ms","String","200","Recommended","Marital status","","","MARSTAT,Pt_Marital"
"dem_marital_mother","String","255","Recommended","What is the marital status of subject's biological mother?","Married/ Domestic partners; Single; Divorced; Widowed","","Mother_Marital"
"dem_marital_father","String","255","Recommended","What is the marital status of subject's biological father?","Married/ Domestic partners; Single; Divorced; Widowed","","Father_Marital"
"pt_marital_orig","String","30","Recommended","Original Study Text: Participants marital status","","",""
"mother_marital_orig","String","30","Recommended","Original Study Text: Mother's marital status","","",""
"father_marital_orig","String","30","Recommended","Original Study Text: Father's marital status","","",""
"pt_edu_years","Float","","Recommended","Participant's years of education","","101=Missing","demo_highest_grade_self,education"
"mother_edu_years","Float","","Recommended","Mother's years of education","","101=Missing","8demo_highest_grade_mom,demo_highest_grade_mom,mother_education"
"father_edu_years","Float","","Recommended","Father's years of education","","101=Missing","demo_highest_grade_dad,father_education"
"pt_edu_cat","Integer","","Recommended","Participant's highest educational level category completed","0::26","""0 = Never attended or Kindergarten only; 1-11 = Grades 1=11; 12 = High school No diploma; 13 = GED or equivalent; 14 = High school graduate; 15 = Completed 12 years of school (but unable to determine if code 12, 13, or 14); 16 = Some college, no degree; 17 = Associate degree: occupational/technical/vocational program; 18 = Associate degree: academic program (includes non-US post high school/pre college levels); 19 = Associate degree (but unable to determine if code 16 or 17); 20 = Bachelor degree (e.g., BA, AB, BS, BBA); 21 = Completed 16 years of school (but unable to determine if code 16-20); 22 = Master¿s degree (e.g., MA, MS, MEng, MEd, MBA); 23 = Professional school degree (e.g., MD, DDS, DVM, JD); 24 = Doctoral degree (e.g., PhD, EdD); 25 = Post Master degree (but unable to determine if code 20 or 21); 26 = Unknown/Missing""",""
