"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"mt_pilot_vib_device","String","60","Recommended","Type of device","","","device"
"length_per","String","500","Recommended","Length of time over which data was collected","","for example, One week, One month",""
"period_avg_steps","Integer","","Recommended","Average number of daily steps during period","","",""
"exertime","Integer","","Recommended","Time (length of ""driven/compulsive"" exercise) in minutes","0::999","",""
"period_avg_rest_hr","Integer","","Recommended","Average resting heart rate during period","","",""
"period_avg_active_hr","Integer","","Recommended","Average active heart rate during period","","",""
"max_devdays","Integer","","Recommended","Max number of days possible for device worn","","",""
"actual_devdays","Integer","","Recommended","Device worn on how many days?","","",""
"tns_comp_offmin","Integer","","Recommended","Time off minute","00;15;30;45","",""
"tns_comp_off","String","2","Recommended","Time off AM or PM","","AM or PM",""
"tns_comp_noteday","String","1500","Recommended","Explain:","","",""
"tns_comp_totalhr","Float","","Recommended","Total hours worn","7::84","",""
"tns_comp_avghr","Float","","Recommended","Average hours worn daily","5::12","",""
"comments","String","4000","Recommended","Comments about assessment","","",""
"tlfb_daynum","Integer","","Recommended","Day Number","","",""
"tns_comp_worn","Integer","","Recommended","Device NOT worn","0;1","0 = Unchecked; 1 = Checked",""
"tns_comp_stimulevel","Float","","Recommended","Stimulation level","1::10","",""
"tns_comp_onhr","Integer","","Recommended","Time on hour, O''clock","1::12","",""
"tns_comp_onmin","Integer","","Recommended","Time on minute","00;15;30;45","",""
"tns_comp_on","String","2","Recommended","Time on AM or PM","","AM or PM",""
"tns_comp_offhr","Integer","","Recommended","Time off hour, O''clock","1::12","",""
"rmssd_heart_sleep","Integer","","Recommended","Root mean square (RMS) of successive differences between heartbeats during sleep","0::250","",""
"day_code","Integer","","Recommended","Whether data collected was for a week or weekday","0;1","0= Weekday (Sunday-Thursday); 1= Weekend day (Friday- Saturday)",""
"sleepduration_sec","Integer","","Recommended","Duration of sleep","0::60000","In seconds",""
"sleeplatency_sec","Integer","","Recommended","Duration of sleep latency","0::8000","In seconds",""
"sleepmidpoint_sec","Integer","","Recommended","Duration until the midpoint of sleep","0::35000","In seconds",""
"sleepefficiency","Integer","","Recommended","OURA Sleep Efficiency Percentage","0::100","Determined by Oura biosensor/app; percentage of time spent asleep after going to bed compared with a generally accepted cut-off score of 85% for healthy adults",""
"hravg","Integer","","Recommended","Average heart rate during sleep duration","0::110","",""
"hrlow","Integer","","Recommended","Lowest heart rate during sleep duration","0::110","",""
"site_time_zone","String","20","Recommended","Time zone of the site collecting the data","","e.g., EST",""
"utc_offset","Integer","","Recommended","Number of hours between UTC  and local device time","-11 :: 12","",""
"dc_start_date","Date","","Recommended","Date based on UTC. The date of which data collection started","","MM/DD/YYYY",""
"dc_start_time","String","5","Recommended","Time based on UTC. The time of which data collection started","","HH:MM  (24 hour clock; e.g., 13:11)",""
"dc_end_date","Date","","Recommended","Date based on UTC. The date of which data collection ended","","MM/DD/YYYY",""
"dc_end_time","String","5","Recommended","Time based on UTC. The time of which data collection ended","","HH:MM  (24 hour clock; e.g., 13:11)",""
"data_file1","File","255","Recommended","Data file 1","","",""
"data_file1_type","String","300","Recommended","type of data file 1","","",""
"data_modality","String","50","Recommended","Passive sensor types","","eg., gyroscope, accelerometer, geolocation, screen, bluetooth, wifi",""
"temporal_resolution","String","50","Recommended","Temporal resolution of derived sensor measures","","e.g., hourly, daily",""
"software_preproc_name","String","50","Recommended","Name of preprocessing pipeline","","e.g., Dplocate","processing_software"
"visit","String","60","Recommended","Visit name","","",""
"watch_device_type","String","100","Recommended","Manufacturer and model of the watch device","","",""
"walking_equivalency","Float","","Recommended","Daily physical activity converted into approximate meters i.e., amount of walking needed to get the same amount of activity","","Unit: meters",""
"total_calories","Float","","Recommended","Total calories consumed during the entire task","","",""
"avg_met_minutes","Float","","Recommended","Average MET (Metabolic Equivalent) level during the whole day","","Oura calculates the daily energy expenditure using METs or Metabolic Equivalents.",""
"awake_sleep_time","Float","","Recommended","Time awake during sleep (seconds)","","Unit: seconds",""
"deep_sleep_duration","Float","","Recommended","Time spent in deep sleep (seconds)","","Unit: seconds",""
"light_sleep_duration","Float","","Recommended","Time spent in light sleep (seconds)","","Unit: seconds",""
"rem_sleep_duration","Float","","Recommended","Time spent in rem sleep (seconds)","","Unit: seconds",""
"step_count","Integer","","Recommended","Total number of steps registered during the day","","",""
"active_calories","Float","","Recommended","Energy consumption caused by the physical activity of the day (kilocalories)","","Unit: Kilocalories",""
