"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"digital_self_conf1","Integer","","Recommended","I use a digital device frequently.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"digital_self_conf2","Integer","","Recommended","Most of my friends use digital devices.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"digital_self_conf3","Integer","","Recommended","I can usually get help if I am stuck.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"digital_self_conf4","Integer","","Recommended","I feel confident using most digital devices.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_read1","Integer","","Recommended","New ideas are needed in my field.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_read2","Integer","","Recommended","I keep up with new ideas.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_read3","Integer","","Recommended","My organization supports new ideas.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_read4","Integer","","Recommended","My organization makes new ideas work.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_adopt1","Integer","","Recommended","Thinking about this project: The original vision is being followed.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_adopt2","Integer","","Recommended","Thinking about this project: We all thought about how to make it work.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_adopt3","Integer","","Recommended","Thinking about this project: We all act to make it work.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"innov_adopt4","Integer","","Recommended","Thinking about this project: We all think about how to keep it going.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"user_satis1","Integer","","Recommended","What do you think of this product? It helps me do what I want.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"user_satis2","Integer","","Recommended","What do you think of this product? It is easy to use.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"user_satis3","Integer","","Recommended","What do you think of this product? I can get help if I need it.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"user_satis4","Integer","","Recommended","What do you think of this product? I am satisfied with this product.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"behav_change1","Integer","","Recommended","Thinking about this behavior: I am able to do it (e.g. skills or tools).","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"behav_change2","Integer","","Recommended","Thinking about this behavior: I am not prevented from doing it.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"behav_change3","Integer","","Recommended","Thinking about this behavior: I choose to do it.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"behav_change4","Integer","","Recommended","Thinking about this behavior: I do it without thinking.","0::3","0=Disagree; 1=Neutral; 2=Agree; 3=Strongly Agree",""
"digital_self_subscore","Integer","","Recommended","Digital Self Confidence Subscore","0::12","Sum of digital_self_conf1 through digital_self_conf4",""
"innov_read_subscore","Integer","","Recommended","Innovation Readiness Subscore","0::12","Sum of innov_read1 through innov_read4",""
"innov_adopt_subscore","Integer","","Recommended","Innovation Adoption Subscore","0::12","Sum of innov_adopt1 through innov_adopt4",""
"user_satis_subscore","Integer","","Recommended","User Satisfaction Subscore","0::12","Sum of user_satis1 through user_satis4",""
"behav_change_subscore","Integer","","Recommended","Behavior Change Subscore","0::12","Sum of behav_change1 through behav_change4",""
