"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"digs_ana_weigh_less","Integer","","Recommended","Was there ever a time when you weighed much less than other people thought you ought to weigh?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_weight_lost","Integer","","Recommended","At that time, had you lost a lot of weight on purpose or was it while you were growing up and you kept your weight down on purpose?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_lowest_weight","Integer","","Recommended","What was your lowest weight at that time?","","Pounds",""
"digs_ana_height","Integer","","Recommended","How tall were you?","","Inches",""
"digs_ana_age","Integer","","Recommended","How old were you?","","Age",""
"digs_ana_body","Integer","","Recommended","INTERVIEWER: Note body frame.","1 :: 3","1= Sm; 2= Med; 3= Lrg",""
"digs_ana_ana_criteria","Integer","","Recommended","INTERVIEWER: Is lowest weight (question 3) more than table entry for height, gender, and body?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_felt_fat","Integer","","Recommended","At that time did you still feel fat or did you see yourself as too fat in some ways?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_fat_fear","Integer","","Recommended","Were you still very much afraid that you could become fat?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_periods_stop","Integer","","Recommended","If female: Did your periods stop even when you were not pregnant?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_periods_stop_y","Integer","","Recommended","If female: Did you miss at least three cycles in a row?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_medical_disorder","Integer","","Recommended","Was there a medical disorder causing your weight loss?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_med_disorder_y","String","500","Recommended","If yes to medical disorder causing weight loss: Specify:","","",""
"digs_ana_drugs","Integer","","Recommended","Did your lowered weight follow the use of diet pills, amphetamines, cocaine, or other substances?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_ana_drugs_y","String","500","Recommended","If yes to use of substances: Specify:","","",""
"digs_ana_onset","Integer","","Recommended","How old were you the first time your weight was below __? (See weight criterion table for loss of 15%.)","","Ons Age",""
"digs_ana_recent_age","Integer","","Recommended","How old were you the last time your weight was below __? (See weight criterion table for loss of 15%.)","","Rec Age",""
"digs_bulimia_binge","Integer","","Recommended","Has there been a time in your life when you went on food binges (i.e., rapid consumption of a large amount of food in a discrete period of time, usually less than two hours)?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_binge_fear","Integer","","Recommended","During these binges were you afraid you could not stop eating, or that your eating was out of control?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_binge_3","Integer","","Recommended","Did you have eating binges as often as twice a week for at least three months?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_binge_onset","Integer","","Recommended","How old were you when you first binged regularly?","","Ons Age",""
"digs_bulimia_binge_recent","Integer","","Recommended","How old were you the last time you binged regularly?","","Rec Age",""
"digs_bulimia_vomit","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like making yourself vomit?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_lax","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like taking laxatives or diuretics?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_diet","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like strictly dieting?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_fasting","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like .fasting?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_exercise","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like exercising a lot?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_other","Integer","","Recommended","Compensatory Behavior: Did you do anything to make up for eating so much, perhaps like other?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_other_y","String","500","Recommended","If Other on compensatory behavior: Specify:","","",""
"digs_bulimia_compensate_3","Integer","","Recommended","Did you do (Compensatory behavior/s) as often as twice a week for at least 3 months?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_weight_binge","Integer","","Recommended","At this time when you went on food binges were you a lot more concerned about your weight and/or shape than most people your age?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_16_19g_y","Integer","","Recommended","INTERVIEWER: Are questions 16 and 19g both YES?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_binge_comp","Integer","","Recommended","Did these episodes of binge eating and (Compensatory behaviors) both occur on average twice a week for at least 3 months?","0;1;9","0= No; 1= Yes; 9= Unk",""
"digs_bulimia_binge_com_ons","Integer","","Recommended","How old were you when you first binged and (Compensatory behavior/s) regularly?","","Ons Age",""
"digs_bulimia_binge_com_rec","Integer","","Recommended","How old were you the last time you binged and (Compensatory behavior/s) regularly?","","Rec Age",""
"digs_ana_bulimia_concur","Integer","","Recommended","Did these episodes of binge eating and (Compensatory behaviors) occur at any time other than during an anorexia episode?","0;1;9","0= No; 1= Yes; 9= Unk",""
